poll_id,election_year,pollName,election_id,period_start_day,period_end_day,bloc,start_day,y,t
2002_1_13,2002,Ifop,1,2001-12-30,2002-04-21,Droite,2002-04-05,211,14
2002_1_13,2002,Ifop,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-04-05,131,14
2002_1_13,2002,Ifop,1,2001-12-30,2002-04-21,Ecologisme,2002-04-05,80,14
2002_1_13,2002,Ifop,1,2001-12-30,2002-04-21,Gauche,2002-04-05,176,14
2002_1_13,2002,Ifop,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-04-05,85,14
2002_1_14,2002,Ipsos,1,2001-12-30,2002-04-21,Autre,2002-04-05,239,14
2002_1_14,2002,Ipsos,1,2001-12-30,2002-04-21,Centre,2002-04-05,48,14
2002_1_14,2002,Ipsos,1,2001-12-30,2002-04-21,Droite,2002-04-05,219,14
2002_1_14,2002,Ipsos,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-04-05,114,14
2002_1_14,2002,Ipsos,1,2001-12-30,2002-04-21,Ecologisme,2002-04-05,48,14
2002_1_14,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche,2002-04-05,181,14
2002_1_14,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-04-05,105,14
2002_1_15,2002,BVA,1,2001-12-30,2002-04-21,Autre,2002-04-04,168,14
2002_1_15,2002,BVA,1,2001-12-30,2002-04-21,Centre,2002-04-04,33,14
2002_1_15,2002,BVA,1,2001-12-30,2002-04-21,Droite,2002-04-04,131,14
2002_1_15,2002,BVA,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-04-04,79,14
2002_1_15,2002,BVA,1,2001-12-30,2002-04-21,Ecologisme,2002-04-04,43,14
2002_1_15,2002,BVA,1,2001-12-30,2002-04-21,Gauche,2002-04-04,131,14
2002_1_15,2002,BVA,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-04-04,72,14
2002_1_16,2002,Sofres,1,2001-12-30,2002-04-21,Autre,2002-04-04,240,14
2002_1_16,2002,Sofres,1,2001-12-30,2002-04-21,Centre,2002-04-04,60,14
2002_1_16,2002,Sofres,1,2001-12-30,2002-04-21,Droite,2002-04-04,210,14
2002_1_16,2002,Sofres,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-04-04,125,14
2002_1_16,2002,Sofres,1,2001-12-30,2002-04-21,Ecologisme,2002-04-04,70,14
2002_1_16,2002,Sofres,1,2001-12-30,2002-04-21,Gauche,2002-04-04,210,14
2002_1_16,2002,Sofres,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-04-04,85,14
2002_1_17,2002,CSA,1,2001-12-30,2002-04-21,Autre,2002-04-03,265,14
2002_1_17,2002,CSA,1,2001-12-30,2002-04-21,Centre,2002-04-03,45,14
2002_1_17,2002,CSA,1,2001-12-30,2002-04-21,Droite,2002-04-03,220,14
2002_1_17,2002,CSA,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-04-03,115,14
2002_1_17,2002,CSA,1,2001-12-30,2002-04-21,Ecologisme,2002-04-03,85,14
2002_1_17,2002,CSA,1,2001-12-30,2002-04-21,Gauche,2002-04-03,185,14
2002_1_17,2002,CSA,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-04-03,85,14
2002_1_18,2002,Sofres,1,2001-12-30,2002-04-21,Autre,2002-04-03,270,14
2002_1_18,2002,Sofres,1,2001-12-30,2002-04-21,Centre,2002-04-03,40,14
2002_1_18,2002,Sofres,1,2001-12-30,2002-04-21,Droite,2002-04-03,240,14
2002_1_18,2002,Sofres,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-04-03,120,14
2002_1_18,2002,Sofres,1,2001-12-30,2002-04-21,Ecologisme,2002-04-03,50,14
2002_1_18,2002,Sofres,1,2001-12-30,2002-04-21,Gauche,2002-04-03,190,14
2002_1_18,2002,Sofres,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-04-03,90,14
2002_1_19,2002,Ipsos,1,2001-12-30,2002-04-21,Autre,2002-03-29,244,13
2002_1_19,2002,Ipsos,1,2001-12-30,2002-04-21,Centre,2002-03-29,47,13
2002_1_19,2002,Ipsos,1,2001-12-30,2002-04-21,Droite,2002-03-29,225,13
2002_1_19,2002,Ipsos,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-03-29,94,13
2002_1_19,2002,Ipsos,1,2001-12-30,2002-04-21,Ecologisme,2002-03-29,47,13
2002_1_19,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche,2002-03-29,188,13
2002_1_19,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-03-29,94,13
2002_1_2,2002,CSA,1,2001-12-30,2002-04-21,Autre,2002-04-17,305,16
2002_1_2,2002,CSA,1,2001-12-30,2002-04-21,Centre,2002-04-17,60,16
2002_1_2,2002,CSA,1,2001-12-30,2002-04-21,Droite,2002-04-17,195,16
2002_1_2,2002,CSA,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-04-17,140,16
2002_1_2,2002,CSA,1,2001-12-30,2002-04-21,Ecologisme,2002-04-17,50,16
2002_1_2,2002,CSA,1,2001-12-30,2002-04-21,Gauche,2002-04-17,180,16
2002_1_2,2002,CSA,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-04-17,70,16
2002_1_20,2002,Ipsos,1,2001-12-30,2002-04-21,Autre,2002-03-29,286,13
2002_1_20,2002,Ipsos,1,2001-12-30,2002-04-21,Centre,2002-03-29,52,13
2002_1_20,2002,Ipsos,1,2001-12-30,2002-04-21,Droite,2002-03-29,253,13
2002_1_20,2002,Ipsos,1,2001-12-30,2002-04-21,Ecologisme,2002-03-29,47,13
2002_1_20,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche,2002-03-29,197,13
2002_1_20,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-03-29,103,13
2002_1_21,2002,Louis Harris,1,2001-12-30,2002-04-21,Autre,2002-03-29,275,13
2002_1_21,2002,Louis Harris,1,2001-12-30,2002-04-21,Centre,2002-03-29,45,13
2002_1_21,2002,Louis Harris,1,2001-12-30,2002-04-21,Droite,2002-03-29,210,13
2002_1_21,2002,Louis Harris,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-03-29,100,13
2002_1_21,2002,Louis Harris,1,2001-12-30,2002-04-21,Ecologisme,2002-03-29,60,13
2002_1_21,2002,Louis Harris,1,2001-12-30,2002-04-21,Gauche,2002-03-29,210,13
2002_1_21,2002,Louis Harris,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-03-29,100,13
2002_1_22,2002,BVA,1,2001-12-30,2002-04-21,Autre,2002-03-28,161,13
2002_1_22,2002,BVA,1,2001-12-30,2002-04-21,Centre,2002-03-28,33,13
2002_1_22,2002,BVA,1,2001-12-30,2002-04-21,Droite,2002-03-28,132,13
2002_1_22,2002,BVA,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-03-28,86,13
2002_1_22,2002,BVA,1,2001-12-30,2002-04-21,Ecologisme,2002-03-28,43,13
2002_1_22,2002,BVA,1,2001-12-30,2002-04-21,Gauche,2002-03-28,132,13
2002_1_22,2002,BVA,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-03-28,73,13
2002_1_3,2002,Ipsos,1,2001-12-30,2002-04-21,Autre,2002-04-17,283,16
2002_1_3,2002,Ipsos,1,2001-12-30,2002-04-21,Centre,2002-04-17,59,16
2002_1_3,2002,Ipsos,1,2001-12-30,2002-04-21,Droite,2002-04-17,198,16
2002_1_3,2002,Ipsos,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-04-17,138,16
2002_1_3,2002,Ipsos,1,2001-12-30,2002-04-21,Ecologisme,2002-04-17,64,16
2002_1_3,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche,2002-04-17,178,16
2002_1_3,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-04-17,69,16
2002_1_4,2002,Sofres,1,2001-12-30,2002-04-21,Autre,2002-04-17,315,16
2002_1_4,2002,Sofres,1,2001-12-30,2002-04-21,Centre,2002-04-17,60,16
2002_1_4,2002,Sofres,1,2001-12-30,2002-04-21,Droite,2002-04-17,195,16
2002_1_4,2002,Sofres,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-04-17,125,16
2002_1_4,2002,Sofres,1,2001-12-30,2002-04-21,Ecologisme,2002-04-17,60,16
2002_1_4,2002,Sofres,1,2001-12-30,2002-04-21,Gauche,2002-04-17,180,16
2002_1_4,2002,Sofres,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-04-17,65,16
2002_1_5,2002,Louis Harris,1,2001-12-30,2002-04-21,Autre,2002-04-16,162,16
2002_1_5,2002,Louis Harris,1,2001-12-30,2002-04-21,Centre,2002-04-16,41,16
2002_1_5,2002,Louis Harris,1,2001-12-30,2002-04-21,Droite,2002-04-16,118,16
2002_1_5,2002,Louis Harris,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-04-16,77,16
2002_1_5,2002,Louis Harris,1,2001-12-30,2002-04-21,Ecologisme,2002-04-16,41,16
2002_1_5,2002,Louis Harris,1,2001-12-30,2002-04-21,Gauche,2002-04-16,107,16
2002_1_5,2002,Louis Harris,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-04-16,47,16
2002_1_6,2002,Ipsos,1,2001-12-30,2002-04-21,Autre,2002-04-15,285,16
2002_1_6,2002,Ipsos,1,2001-12-30,2002-04-21,Centre,2002-04-15,50,16
2002_1_6,2002,Ipsos,1,2001-12-30,2002-04-21,Droite,2002-04-15,221,16
2002_1_6,2002,Ipsos,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-04-15,131,16
2002_1_6,2002,Ipsos,1,2001-12-30,2002-04-21,Ecologisme,2002-04-15,65,16
2002_1_6,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche,2002-04-15,181,16
2002_1_6,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-04-15,70,16
2002_1_7,2002,Sofres,1,2001-12-30,2002-04-21,Autre,2002-04-13,300,15
2002_1_7,2002,Sofres,1,2001-12-30,2002-04-21,Centre,2002-04-13,60,15
2002_1_7,2002,Sofres,1,2001-12-30,2002-04-21,Droite,2002-04-13,200,15
2002_1_7,2002,Sofres,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-04-13,130,15
2002_1_7,2002,Sofres,1,2001-12-30,2002-04-21,Ecologisme,2002-04-13,50,15
2002_1_7,2002,Sofres,1,2001-12-30,2002-04-21,Gauche,2002-04-13,180,15
2002_1_7,2002,Sofres,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-04-13,80,15
2002_1_8,2002,Ifop,1,2001-12-30,2002-04-21,Autre,2002-04-12,331,15
2002_1_8,2002,Ifop,1,2001-12-30,2002-04-21,Centre,2002-04-12,65,15
2002_1_8,2002,Ifop,1,2001-12-30,2002-04-21,Droite,2002-04-12,201,15
2002_1_8,2002,Ifop,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-04-12,106,15
2002_1_8,2002,Ifop,1,2001-12-30,2002-04-21,Ecologisme,2002-04-12,65,15
2002_1_8,2002,Ifop,1,2001-12-30,2002-04-21,Gauche,2002-04-12,166,15
2002_1_8,2002,Ifop,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-04-12,70,15
2002_1_9,2002,BVA,1,2001-12-30,2002-04-21,Autre,2002-04-10,212,15
2002_1_9,2002,BVA,1,2001-12-30,2002-04-21,Centre,2002-04-10,45,15
2002_1_9,2002,BVA,1,2001-12-30,2002-04-21,Droite,2002-04-10,139,15
2002_1_9,2002,BVA,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-04-10,105,15
2002_1_9,2002,BVA,1,2001-12-30,2002-04-21,Ecologisme,2002-04-10,45,15
2002_1_9,2002,BVA,1,2001-12-30,2002-04-21,Gauche,2002-04-10,135,15
2002_1_9,2002,BVA,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-04-10,67,15
2002_2_1,2002,Ifop,1,2001-12-30,2002-04-21,Autre,2002-03-28,238,13
2002_2_1,2002,Ifop,1,2001-12-30,2002-04-21,Centre,2002-03-28,51,13
2002_2_1,2002,Ifop,1,2001-12-30,2002-04-21,Droite,2002-03-28,197,13
2002_2_1,2002,Ifop,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-03-28,94,13
2002_2_1,2002,Ifop,1,2001-12-30,2002-04-21,Ecologisme,2002-03-28,66,13
2002_2_1,2002,Ifop,1,2001-12-30,2002-04-21,Gauche,2002-03-28,192,13
2002_2_1,2002,Ifop,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-03-28,94,13
2002_2_11,2002,Ifop,1,2001-12-30,2002-04-21,Autre,2002-03-15,281,11
2002_2_11,2002,Ifop,1,2001-12-30,2002-04-21,Centre,2002-03-15,37,11
2002_2_11,2002,Ifop,1,2001-12-30,2002-04-21,Droite,2002-03-15,205,11
2002_2_11,2002,Ifop,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-03-15,75,11
2002_2_11,2002,Ifop,1,2001-12-30,2002-04-21,Ecologisme,2002-03-15,56,11
2002_2_11,2002,Ifop,1,2001-12-30,2002-04-21,Gauche,2002-03-15,177,11
2002_2_11,2002,Ifop,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-03-15,93,11
2002_2_12,2002,Ipsos,1,2001-12-30,2002-04-21,Autre,2002-03-15,255,11
2002_2_12,2002,Ipsos,1,2001-12-30,2002-04-21,Centre,2002-03-15,37,11
2002_2_12,2002,Ipsos,1,2001-12-30,2002-04-21,Droite,2002-03-15,211,11
2002_2_12,2002,Ipsos,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-03-15,92,11
2002_2_12,2002,Ipsos,1,2001-12-30,2002-04-21,Ecologisme,2002-03-15,51,11
2002_2_12,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche,2002-03-15,193,11
2002_2_12,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-03-15,83,11
2002_2_13,2002,Ipsos,1,2001-12-30,2002-04-21,Autre,2002-03-15,286,11
2002_2_13,2002,Ipsos,1,2001-12-30,2002-04-21,Centre,2002-03-15,41,11
2002_2_13,2002,Ipsos,1,2001-12-30,2002-04-21,Droite,2002-03-15,253,11
2002_2_13,2002,Ipsos,1,2001-12-30,2002-04-21,Ecologisme,2002-03-15,51,11
2002_2_13,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche,2002-03-15,202,11
2002_2_13,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-03-15,87,11
2002_2_14,2002,BVA,1,2001-12-30,2002-04-21,Autre,2002-03-14,189,11
2002_2_14,2002,BVA,1,2001-12-30,2002-04-21,Centre,2002-03-14,26,11
2002_2_14,2002,BVA,1,2001-12-30,2002-04-21,Droite,2002-03-14,185,11
2002_2_14,2002,BVA,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-03-14,74,11
2002_2_14,2002,BVA,1,2001-12-30,2002-04-21,Ecologisme,2002-03-14,37,11
2002_2_14,2002,BVA,1,2001-12-30,2002-04-21,Gauche,2002-03-14,163,11
2002_2_14,2002,BVA,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-03-14,67,11
2002_2_15,2002,Sofres,1,2001-12-30,2002-04-21,Autre,2002-03-13,255,11
2002_2_15,2002,Sofres,1,2001-12-30,2002-04-21,Centre,2002-03-13,45,11
2002_2_15,2002,Sofres,1,2001-12-30,2002-04-21,Droite,2002-03-13,235,11
2002_2_15,2002,Sofres,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-03-13,100,11
2002_2_15,2002,Sofres,1,2001-12-30,2002-04-21,Ecologisme,2002-03-13,60,11
2002_2_15,2002,Sofres,1,2001-12-30,2002-04-21,Gauche,2002-03-13,210,11
2002_2_15,2002,Sofres,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-03-13,95,11
2002_2_16,2002,Sofres,1,2001-12-30,2002-04-21,Autre,2002-03-14,260,11
2002_2_16,2002,Sofres,1,2001-12-30,2002-04-21,Centre,2002-03-14,40,11
2002_2_16,2002,Sofres,1,2001-12-30,2002-04-21,Droite,2002-03-14,240,11
2002_2_16,2002,Sofres,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-03-14,110,11
2002_2_16,2002,Sofres,1,2001-12-30,2002-04-21,Ecologisme,2002-03-14,60,11
2002_2_16,2002,Sofres,1,2001-12-30,2002-04-21,Gauche,2002-03-14,200,11
2002_2_16,2002,Sofres,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-03-14,90,11
2002_2_17,2002,CSA,1,2001-12-30,2002-04-21,Autre,2002-03-13,275,11
2002_2_17,2002,CSA,1,2001-12-30,2002-04-21,Centre,2002-03-13,30,11
2002_2_17,2002,CSA,1,2001-12-30,2002-04-21,Droite,2002-03-13,255,11
2002_2_17,2002,CSA,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-03-13,95,11
2002_2_17,2002,CSA,1,2001-12-30,2002-04-21,Ecologisme,2002-03-13,55,11
2002_2_17,2002,CSA,1,2001-12-30,2002-04-21,Gauche,2002-03-13,220,11
2002_2_17,2002,CSA,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-03-13,70,11
2002_2_18,2002,Ipsos,1,2001-12-30,2002-04-21,Autre,2002-03-08,272,10
2002_2_18,2002,Ipsos,1,2001-12-30,2002-04-21,Centre,2002-03-08,28,10
2002_2_18,2002,Ipsos,1,2001-12-30,2002-04-21,Droite,2002-03-08,224,10
2002_2_18,2002,Ipsos,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-03-08,75,10
2002_2_18,2002,Ipsos,1,2001-12-30,2002-04-21,Ecologisme,2002-03-08,56,10
2002_2_18,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche,2002-03-08,205,10
2002_2_18,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-03-08,75,10
2002_2_19,2002,Ipsos,1,2001-12-30,2002-04-21,Autre,2002-03-08,300,10
2002_2_19,2002,Ipsos,1,2001-12-30,2002-04-21,Centre,2002-03-08,33,10
2002_2_19,2002,Ipsos,1,2001-12-30,2002-04-21,Droite,2002-03-08,252,10
2002_2_19,2002,Ipsos,1,2001-12-30,2002-04-21,Ecologisme,2002-03-08,56,10
2002_2_19,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche,2002-03-08,215,10
2002_2_19,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-03-08,79,10
2002_2_2,2002,CSA,1,2001-12-30,2002-04-21,Autre,2002-03-27,295,13
2002_2_2,2002,CSA,1,2001-12-30,2002-04-21,Centre,2002-03-27,45,13
2002_2_2,2002,CSA,1,2001-12-30,2002-04-21,Droite,2002-03-27,201,13
2002_2_2,2002,CSA,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-03-27,120,13
2002_2_2,2002,CSA,1,2001-12-30,2002-04-21,Ecologisme,2002-03-27,50,13
2002_2_2,2002,CSA,1,2001-12-30,2002-04-21,Gauche,2002-03-27,201,13
2002_2_2,2002,CSA,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-03-27,90,13
2002_2_20,2002,Louis Harris,1,2001-12-30,2002-04-21,Autre,2002-03-08,170,10
2002_2_20,2002,Louis Harris,1,2001-12-30,2002-04-21,Centre,2002-03-08,19,10
2002_2_20,2002,Louis Harris,1,2001-12-30,2002-04-21,Droite,2002-03-08,150,10
2002_2_20,2002,Louis Harris,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-03-08,63,10
2002_2_20,2002,Louis Harris,1,2001-12-30,2002-04-21,Ecologisme,2002-03-08,31,10
2002_2_20,2002,Louis Harris,1,2001-12-30,2002-04-21,Gauche,2002-03-08,144,10
2002_2_20,2002,Louis Harris,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-03-08,50,10
2002_2_21,2002,Sofres,1,2001-12-30,2002-04-21,Autre,2002-03-08,260,10
2002_2_21,2002,Sofres,1,2001-12-30,2002-04-21,Centre,2002-03-08,40,10
2002_2_21,2002,Sofres,1,2001-12-30,2002-04-21,Droite,2002-03-08,230,10
2002_2_21,2002,Sofres,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-03-08,110,10
2002_2_21,2002,Sofres,1,2001-12-30,2002-04-21,Ecologisme,2002-03-08,50,10
2002_2_21,2002,Sofres,1,2001-12-30,2002-04-21,Gauche,2002-03-08,220,10
2002_2_21,2002,Sofres,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-03-08,90,10
2002_2_22,2002,Ipsos,1,2001-12-30,2002-04-21,Autre,2002-03-01,260,9
2002_2_22,2002,Ipsos,1,2001-12-30,2002-04-21,Centre,2002-03-01,37,9
2002_2_22,2002,Ipsos,1,2001-12-30,2002-04-21,Droite,2002-03-01,222,9
2002_2_22,2002,Ipsos,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-03-01,83,9
2002_2_22,2002,Ipsos,1,2001-12-30,2002-04-21,Ecologisme,2002-03-01,56,9
2002_2_22,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche,2002-03-01,194,9
2002_2_22,2002,Ipsos,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-03-01,74,9
2002_2_23,2002,BVA,1,2001-12-30,2002-04-21,Autre,2002-02-28,186,9
2002_2_23,2002,BVA,1,2001-12-30,2002-04-21,Centre,2002-02-28,28,9
2002_2_23,2002,BVA,1,2001-12-30,2002-04-21,Droite,2002-02-28,146,9
2002_2_23,2002,BVA,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-02-28,76,9
2002_2_23,2002,BVA,1,2001-12-30,2002-04-21,Ecologisme,2002-02-28,35,9
2002_2_23,2002,BVA,1,2001-12-30,2002-04-21,Gauche,2002-02-28,166,9
2002_2_23,2002,BVA,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-02-28,55,9
2002_2_24,2002,Ifop,1,2001-12-30,2002-04-21,Autre,2002-02-28,273,9
2002_2_24,2002,Ifop,1,2001-12-30,2002-04-21,Centre,2002-02-28,28,9
2002_2_24,2002,Ifop,1,2001-12-30,2002-04-21,Droite,2002-02-28,207,9
2002_2_24,2002,Ifop,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-02-28,75,9
2002_2_24,2002,Ifop,1,2001-12-30,2002-04-21,Ecologisme,2002-02-28,66,9
2002_2_24,2002,Ifop,1,2001-12-30,2002-04-21,Gauche,2002-02-28,198,9
2002_2_24,2002,Ifop,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-02-28,85,9
2002_2_26,2002,Sofres,1,2001-12-30,2002-04-21,Autre,2002-02-27,265,9
2002_2_26,2002,Sofres,1,2001-12-30,2002-04-21,Centre,2002-02-27,30,9
2002_2_26,2002,Sofres,1,2001-12-30,2002-04-21,Droite,2002-02-27,240,9
2002_2_26,2002,Sofres,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-02-27,110,9
2002_2_26,2002,Sofres,1,2001-12-30,2002-04-21,Ecologisme,2002-02-27,60,9
2002_2_26,2002,Sofres,1,2001-12-30,2002-04-21,Gauche,2002-02-27,225,9
2002_2_26,2002,Sofres,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-02-27,70,9
2002_2_27,2002,Ifop,1,2001-12-30,2002-04-21,Autre,2002-02-22,280,8
2002_2_27,2002,Ifop,1,2001-12-30,2002-04-21,Centre,2002-02-22,28,8
2002_2_27,2002,Ifop,1,2001-12-30,2002-04-21,Droite,2002-02-22,216,8
2002_2_27,2002,Ifop,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-02-22,66,8
2002_2_27,2002,Ifop,1,2001-12-30,2002-04-21,Ecologisme,2002-02-22,56,8
2002_2_27,2002,Ifop,1,2001-12-30,2002-04-21,Gauche,2002-02-22,206,8
2002_2_27,2002,Ifop,1,2001-12-30,2002-04-21,Gauche radicale et extreme gauche,2002-02-22,66,8
2002_2_28,2002,Ipsos,1,2001-12-30,2002-04-21,Autre,2002-02-22,263,8
2002_2_28,2002,Ipsos,1,2001-12-30,2002-04-21,Centre,2002-02-22,28,8
2002_2_28,2002,Ipsos,1,2001-12-30,2002-04-21,Droite,2002-02-22,234,8
2002_2_28,2002,Ipsos,1,2001-12-30,2002-04-21,Droite radicale et extreme droite,2002-02-22,84,8
