PollingFirm,FieldworkDate,SampleSize,Abs.,Arthaud,Poutou,Besancenot,Mélenchon,Joly,Duflot,Hollande,Valls,Montebourg,Aubry,Bayrou,Juppé,Sarkozy,Fillon,Copé,Dupont-Aignan,Villiers,Le Pen,Cheminade
OpinionWay,15–16 Apr 2015,979,–,1%,0%,–,11%,–,2%,15%,–,–,–,6%,32%,–,–,–,4%,–,29%,0%
OpinionWay,15–16 Apr 2015,979,–,1%,0%,–,12%,–,2%,16%,–,–,–,12%,–,28%,–,–,3%,–,26%,0%
CSA,27–29 Jan 2015,951,–,0.50%,–,3%,11%,–,2%,18%,–,–,–,9%,22%,–,–,–,2.50%,–,32%,–
CSA,27–29 Jan 2015,951,–,0.50%,–,3%,10%,–,2.50%,19%,–,–,–,11%,–,22.50%,–,–,2.50%,–,29%,–
CSA,27–29 Jan 2015,951,–,0.50%,–,2.50%,10%,–,3%,–,21%,–,–,8%,19%,–,–,–,3%,–,33%,–
CSA,27–29 Jan 2015,951,–,0.50%,–,3%,9%,–,2%,–,22.50%,–,–,10%,–,21.50%,–,–,2.50%,–,29%,–
Ifop,21–23 Jan 2015,983,–,1%,2%,–,8%,–,4%,21%,–,–,–,7%,23%,–,–,–,3%,–,31%,–
Ifop,21–23 Jan 2015,983,–,1%,2%,–,8%,–,3%,21%,–,–,–,9%,–,23%,–,–,4%,–,29%,–
Ifop,21–23 Jan 2015,983,–,1.50%,1.50%,–,8%,–,3%,–,23%,–,–,7%,22%,–,–,–,3%,–,31%,–
Ifop,21–23 Jan 2015,983,–,1%,1%,–,8%,–,4%,–,23%,–,–,7%,–,23%,–,–,3%,–,30%,–
Ifop-Fiducial,28–30 Oct 2014,"1,382",–,1.50%,1.50%,–,10%,–,4%,15%,–,–,–,–,32%,–,–,–,4%,–,32%,–
Ifop-Fiducial,28–30 Oct 2014,"1,382",–,1.50%,1.50%,–,9%,–,3%,14%,–,–,–,13%,–,26%,–,–,3%,–,29%,–
Ifop-Fiducial,28–30 Oct 2014,"1,382",–,1.50%,1.50%,–,9%,–,4%,14%,–,–,–,16%,–,–,18%,–,5%,–,31%,–
Ifop-Fiducial,28–30 Oct 2014,"1,382",–,1.50%,1.50%,–,9%,–,3%,13%,–,–,–,10%,28%,–,–,–,4%,–,30%,–
Ifop-Fiducial,28–30 Oct 2014,"1,382",–,1.50%,1.50%,–,9%,–,–,15%,–,–,–,14%,–,26%,–,–,4%,–,29%,–
Ifop-Fiducial,28–30 Oct 2014,"1,382",–,2%,1.50%,–,8.50%,–,3%,–,15%,–,–,13%,–,27%,–,–,3%,–,27%,–
Ifop-Fiducial,28–30 Oct 2014,"1,382",–,1.50%,1.50%,–,9%,–,2%,–,–,–,13%,10%,30%,–,–,–,4%,–,29%,–
Ifop-Fiducial,28–30 Oct 2014,"1,382",–,2%,1.50%,–,8%,–,3%,–,–,–,14%,14%,–,27%,–,–,3.50%,–,27%,–
Ifop,3–4 Sep 2014,994,–,1%,1%,–,10%,–,3%,16%,–,–,–,11%,24%,–,–,–,4%,–,30%,–
Ifop,3–4 Sep 2014,994,–,1%,1%,–,10%,–,3%,16%,–,–,–,12%,–,25%,–,–,4%,–,28%,–
Ifop,3–4 Sep 2014,994,–,1%,1%,–,10%,–,3%,17%,–,–,–,14%,–,–,17%,–,5%,–,32%,–
Ifop,21–22 Jul 2014,947,–,2%,1%,–,10%,–,3%,17%,–,–,–,13%,–,25%,–,–,3%,–,26%,–
Ifop,21–22 Jul 2014,947,–,2%,1%,–,11%,–,3%,–,17%,–,–,12%,–,25%,–,–,3%,–,26%,–
Ifop,21–22 Jul 2014,947,–,2%,1%,–,11%,–,4%,–,–,10%,–,16%,–,26%,–,–,3%,–,27%,–
Ifop,15–18 Apr 2014,998,–,0.50%,1.50%,–,9%,3%,–,18%,–,–,–,10%,30%,–,–,–,2%,–,26%,<0.5%
Ifop,15–18 Apr 2014,998,–,0.50%,1.50%,–,9%,3%,–,18%,–,–,–,11%,–,31%,–,–,2%,–,24%,<0.5%
Ifop,15–18 Apr 2014,998,–,1%,1.50%,–,9%,3%,–,19%,–,–,–,13%,–,–,22%,–,2.50%,–,29%,<0.5%
OpinionWay,11–13 Apr 2014,988,–,1%,2%,–,11%,2%,–,19%,–,–,–,8%,–,29%,–,–,3%,–,25%,0%
BVA,2–3 May 2013,"1,086",–,1%,1%,–,11%,2%,–,20%,–,–,–,10%,–,29%,–,–,2%,–,24%,<0.5%
Future Thinking,26–29 Apr 2013,"1,000",–,<0.5%,1%,–,15%,2%,–,15%,–,–,–,10%,–,32%,–,–,3%,–,22%,<0.5%
Future Thinking,26–29 Apr 2013,"1,000",–,<0.5%,1%,–,16%,2%,–,18%,–,–,–,13%,–,–,16%,–,3%,–,29%,1%
Future Thinking,26–29 Apr 2013,"1,000",–,1%,1%,–,16%,3%,–,18%,–,–,–,14%,–,–,–,11%,4%,–,31%,1%
CSA,26–28 Apr 2013,993,–,<0.5%,1%,–,12%,2%,–,19%,–,–,–,7%,–,34%,–,–,1%,–,23%,1%
OpinionWay,16–17 Apr 2013,971,–,0.50%,0.50%,–,11%,3%,–,23%,–,–,–,11%,–,28%,–,–,2%,–,21%,0%
Ifop-Fiducial,11–15 Apr 2013,"1,967",–,0.50%,1%,–,11%,1.50%,–,22%,–,–,–,10%,–,30%,–,–,2%,–,22%,<0.5%
Ifop,9–12 Oct 2012,"1,607",–,0.50%,1.50%,–,10%,2%,–,28%,–,–,–,7%,–,29.50%,–,–,2%,–,19.50%,<0.5%
