PollingFirm,FieldworkDate,SampleSize,Abs.,Arthaud,Poutou,Mélenchon,Duflot,Jadot,Hollande,Valls,Montebourg,Macron,Bayrou,Juppé,Sarkozy,Fillon,Le Maire,NKM,Copé,Dupont-Aignan,Le Pen,Cheminade
Kantar Sofres,21–23 Oct 2016,"1,005",25%,1.50%,2%,15%,–,2%,–,13%,–,–,–,33%,–,–,–,–,–,4%,29%,0.50%
Kantar Sofres,21–23 Oct 2016,"1,005",25%,1.50%,1.50%,13%,–,1.50%,–,9%,–,14%,–,28%,–,–,–,–,–,3%,28%,0.50%
Ifop-Fiducial,17–20 Oct 2016,"1,827",–,1%,1.50%,14%,2%,–,14%,–,–,–,–,35%,–,–,–,–,–,5%,27%,0.50%
Ifop-Fiducial,17–20 Oct 2016,"1,827",–,0.50%,1.50%,14.50%,2.50%,–,15%,–,–,–,12.50%,–,23%,–,–,–,–,5%,25%,0.50%
Ifop-Fiducial,17–20 Oct 2016,"1,827",–,1%,1.50%,14.50%,2.50%,–,15%,–,–,–,11.50%,–,–,20%,–,–,–,5%,29%,<0.5%
Ifop-Fiducial,17–20 Oct 2016,"1,827",–,1%,1.50%,15%,2%,–,16%,–,–,–,12.50%,–,–,–,19%,–,–,4.50%,28.50%,<0.5%
Ifop-Fiducial,17–20 Oct 2016,"1,827",–,0.50%,1.50%,15.50%,2%,–,15%,–,–,–,14%,–,–,–,–,15%,–,6%,30%,0.50%
Ifop-Fiducial,17–20 Oct 2016,"1,827",–,0.50%,1.50%,15.50%,3%,–,16%,–,–,–,15%,–,–,–,–,–,11%,6%,31%,0.50%
Ifop-Fiducial,17–20 Oct 2016,"1,827",–,1%,1.50%,14.50%,2%,–,–,13.50%,–,–,–,36%,–,–,–,–,–,4%,27.50%,<0.5%
Ifop-Fiducial,17–20 Oct 2016,"1,827",–,0.50%,1%,14%,2.50%,–,–,9%,–,12%,–,31%,–,–,–,–,–,5%,24.50%,0.50%
Ifop-Fiducial,17–20 Oct 2016,"1,827",–,1%,1%,14%,2.50%,–,–,–,5.50%,15%,–,32%,–,–,–,–,–,4%,24.50%,0.50%
Ifop-Fiducial,17–20 Oct 2016,"1,827",–,1%,1%,13.50%,3%,–,–,–,6%,18%,9%,–,20.50%,–,–,–,–,4%,23.50%,0.50%
BVA,14–16 Oct 2016,916,27%,1%,2%,12.50%,2.50%,–,11%,–,–,–,–,37%,–,–,–,–,–,5%,29%,–
BVA,14–16 Oct 2016,916,27%,1%,1.50%,14%,3%,–,13%,–,–,–,14%,–,22%,–,–,–,–,4%,27.50%,–
BVA,14–16 Oct 2016,916,27%,1%,2%,12%,2%,–,9%,–,–,11%,–,33%,–,–,–,–,–,4%,26%,–
BVA,14–16 Oct 2016,916,27%,1%,2%,12%,2.50%,–,9.50%,–,–,14%,10%,–,20%,–,–,–,–,4%,25%,–
BVA,14–16 Oct 2016,916,27%,1%,2%,13%,2%,–,–,–,9%,–,–,39%,–,–,–,–,–,5%,29%,–
BVA,14–16 Oct 2016,916,27%,1%,1%,15%,3%,–,–,–,10%,–,15%,–,22%,–,–,–,–,5%,28%,–
Ifop for DLF,26–28 Sep 2016,932,–,1.50%,–,12%,2.50%,–,12%,–,–,12%,–,27%,–,–,–,–,–,5%,28%,–
Elabe,20–21 Sep 2016,922,44%,1%,1%,15%,3%,–,15%,–,–,–,–,34%,–,–,–,–,–,3%,28%,–
Elabe,20–21 Sep 2016,922,44%,1%,1%,14%,3%,–,16%,–,–,–,12%,–,23%,–,–,–,–,3%,27%,–
Elabe,20–21 Sep 2016,922,44%,1%,1%,13%,3%,–,12%,–,–,14%,–,26%,–,–,–,–,–,3%,27%,–
Elabe,20–21 Sep 2016,922,44%,0.50%,0.50%,15%,2.50%,–,12.50%,–,–,15%,8%,–,18%,–,–,–,–,3%,25%,–
Elabe,20–21 Sep 2016,922,44%,1%,1%,14%,2.50%,–,–,9%,–,14%,–,28%,–,–,–,–,–,3.50%,27%,–
Elabe,20–21 Sep 2016,922,44%,1%,1%,15%,2%,–,–,9%,–,15%,10%,–,18%,–,–,–,–,3%,26%,–
Elabe,20–21 Sep 2016,922,44%,1%,1.50%,14%,2%,–,–,–,7%,16%,–,29.50%,–,–,–,–,–,2%,27%,–
Elabe,20–21 Sep 2016,922,44%,0.50%,1%,14%,2%,–,–,–,7%,18%,9%,–,19%,–,–,–,–,3%,26.50%,–
Ipsos,9–18 Sep 2016,"12,469",–,1.50%,1.50%,12.50%,3%,–,12.50%,–,–,–,–,34%,–,–,–,–,–,5%,30%,<0.5%
Ipsos,9–18 Sep 2016,"12,469",–,1.50%,1.50%,13%,3%,–,13%,–,–,–,12%,–,22%,–,–,–,–,5%,29%,<0.5%
Ipsos,9–18 Sep 2016,"12,469",–,1.50%,1.50%,11.50%,2.50%,–,10%,–,–,12%,–,28%,–,–,–,–,–,5%,28%,<0.5%
Ipsos,9–18 Sep 2016,"12,469",–,1.50%,1.50%,11.50%,2.50%,–,10%,–,–,14%,9%,–,18%,–,–,–,–,5%,27%,<0.5%
BVA,9–11 Sep 2016,912,30%,1%,1%,12%,3%,–,11%,–,–,–,–,36%,–,–,–,–,–,6%,30%,–
BVA,9–11 Sep 2016,912,30%,0.50%,1%,12.50%,3.50%,–,13%,–,–,–,13%,–,22%,–,–,–,–,5%,29.50%,–
BVA,9–11 Sep 2016,912,30%,1%,1%,13%,3%,–,13%,–,–,–,12%,–,–,18.50%,–,–,–,5.50%,33%,–
BVA,9–11 Sep 2016,912,30%,1%,1%,13%,3.50%,–,14%,–,–,–,12.50%,–,–,–,16%,–,–,7%,32%,–
BVA,9–11 Sep 2016,912,30%,1%,0.50%,10%,3%,–,9%,–,–,16.50%,–,26%,–,–,–,–,–,6%,28%,–
BVA,9–11 Sep 2016,912,30%,1%,1%,11%,3%,–,9%,–,–,18.50%,7%,–,19%,–,–,–,–,5%,25.50%,–
BVA,9–11 Sep 2016,912,30%,0.50%,1.50%,12%,2%,–,–,–,9%,–,–,38%,–,–,–,–,–,7%,30%,–
BVA,9–11 Sep 2016,912,30%,1%,0.50%,13.50%,2.50%,–,–,–,9%,–,14%,–,24%,–,–,–,–,6.50%,29%,–
Ifop-Fiducial,5–7 Sep 2016,"1,903",–,1%,1.50%,13.50%,3%,–,14%,–,–,–,–,33%,–,–,–,–,–,5%,29%,<0.5%
Ifop-Fiducial,5–7 Sep 2016,"1,903",–,1%,1.50%,14%,3%,–,14.50%,–,–,–,13%,–,22%,–,–,–,–,5%,26%,<0.5%
Ifop-Fiducial,5–7 Sep 2016,"1,903",–,1%,1.50%,14.50%,3%,–,15.50%,–,–,–,12%,–,–,–,17%,–,–,5%,30%,0.50%
Ifop-Fiducial,5–7 Sep 2016,"1,903",–,1%,1.50%,12.50%,2.50%,–,10%,–,–,15%,–,27%,–,–,–,–,–,4%,26%,0.50%
Ifop-Fiducial,5–7 Sep 2016,"1,903",–,1%,1.50%,11%,2.50%,–,10%,–,3.50%,14%,–,26%,–,–,–,–,–,4%,26%,0.50%
Ifop-Fiducial,5–7 Sep 2016,"1,903",–,1%,1.50%,11%,2.50%,–,10%,–,4%,15%,9%,–,18%,–,–,–,–,4%,24%,<0.5%
Ifop-Fiducial,5–7 Sep 2016,"1,903",–,1%,1%,13.50%,3%,–,–,8%,–,16%,–,27%,–,–,–,–,–,4%,26%,0.50%
Ifop-Fiducial,5–7 Sep 2016,"1,903",–,1%,1%,11.50%,3%,–,–,7%,5%,14%,–,27%,–,–,–,–,–,4%,26%,0.50%
TNS Sofres,2–5 Sep 2016,"1,006",25%,1.50%,1.50%,12%,3%,–,14%,–,–,–,–,33%,–,–,–,–,–,6%,29%,<0.5%
TNS Sofres,2–5 Sep 2016,"1,006",25%,1%,2%,12%,2%,–,13%,–,–,–,13%,–,25%,–,–,–,–,5%,27%,<0.5%
TNS Sofres,2–5 Sep 2016,"1,006",25%,1.50%,2.50%,13%,4.50%,–,15%,–,–,–,–,–,27%,–,–,–,–,7%,29%,0.50%
TNS Sofres,2–5 Sep 2016,"1,006",25%,1%,1.50%,11.50%,3%,–,11%,–,–,15%,–,25%,–,–,–,–,–,3.50%,28.50%,<0.5%
TNS Sofres,2–5 Sep 2016,"1,006",25%,1%,1%,11%,2%,–,11%,–,–,16%,9%,–,20%,–,–,–,–,3%,26%,<0.5%
TNS Sofres,2–5 Sep 2016,"1,006",25%,1%,1%,12%,3%,–,12%,–,–,18%,–,–,22%,–,–,–,–,4%,27%,<0.5%
TNS Sofres,2–5 Sep 2016,"1,006",25%,1.50%,2%,11%,3.50%,–,–,–,6%,16%,–,27%,–,–,–,–,–,5%,27.50%,0.50%
TNS Sofres,2–5 Sep 2016,"1,006",25%,1.50%,1%,10%,3%,–,–,–,5%,18%,8%,–,22%,–,–,–,–,4%,27%,0.50%
TNS Sofres,2–5 Sep 2016,"1,006",25%,2%,2%,11%,4%,–,–,–,7%,20%,–,–,22%,–,–,–,–,4%,27%,1%
BVA,8–10 Jul 2016,936,31%,1%,1.50%,13.50%,2%,–,13.50%,–,–,–,–,36%,–,–,–,–,–,4.50%,28%,–
BVA,8–10 Jul 2016,936,31%,1%,1%,13%,2%,–,13%,–,–,–,13%,–,23%,–,–,–,–,5%,29%,–
