PollingFirm,FieldworkDate,SampleSize,Abs.,Arthaud,Poutou,Mélenchon,Hamon,Macron,Lassalle,Fillon,Dupont-Aignan,Asselineau,Le Pen,Cheminade
Ifop-Fiducial,27–30 Mar 2017,"2,215",36%,0.50%,1%,14.50%,10%,26%,1%,17.50%,4%,<0.5%,25.50%,<0.5%
Elabe,28–29 Mar 2017,998,41%,0.50%,0.50%,15%,10%,25.50%,1%,18%,4.50%,0.50%,24%,0.50%
OpinionWay,27–29 Mar 2017,"1,636",–,0%,1%,15%,10%,25%,1%,20%,3%,0%,25%,0%
Ifop-Fiducial,26–29 Mar 2017,"2,241",37%,0.50%,0.50%,14%,10%,26%,1%,17.50%,4.50%,0.50%,25.50%,<0.5%
OpinionWay,26–28 Mar 2017,"1,618",–,0%,1%,15%,10%,25%,1%,20%,3%,0%,25%,0%
Ifop-Fiducial,24–28 Mar 2017,"2,231",38%,1%,0.50%,14%,10.50%,25.50%,1%,17.50%,4.50%,0.50%,25%,<0.5%
Ipsos,25–27 Mar 2017,"1,005",35%,1%,1%,14%,12%,24%,1%,18%,3.50%,0.50%,25%,<0.5%
OpinionWay,25–27 Mar 2017,"1,599",–,1%,1%,14%,10%,24%,1%,20%,3%,0%,26%,0%
Ifop-Fiducial,23–27 Mar 2017,"2,235",38%,1%,0.50%,14%,10.50%,25.50%,0.50%,17.50%,5%,0.50%,25%,<0.5%
Le Terrain***,23–27 Mar 2017,586,–,0.80%,2%,19.50%,9%,24.50%,0.30%,15.50%,4%,0.20%,24%,0.20%
OpinionWay,24–26 Mar 2017,"1,676",–,1%,1%,13%,11%,24%,1%,20%,3%,0%,26%,0%
BVA,22–24 Mar 2017,"1,020",24%,0.50%,0.50%,14%,11.50%,26%,1%,17%,4%,0.50%,25%,<0.5%
Ifop-Fiducial,21–24 Mar 2017,"2,225",37%,0.50%,0.50%,13%,10.50%,26%,1%,18%,5%,0.50%,25%,<0.5%
OpinionWay,21–23 Mar 2017,"1,675",–,1%,1%,14%,11%,24%,1%,19%,4%,0%,25%,0%
Ifop-Fiducial,20–23 Mar 2017,"2,245",36.50%,0.50%,0.50%,12.50%,11%,26%,1%,18%,5.50%,<0.5%,25%,<0.5%
Harris Interactive,21–22 Mar 2017,"6,383",–,<0.5%,<0.5%,13.50%,12.50%,26%,1%,18%,4%,<0.5%,25%,<0.5%
OpinionWay,20–22 Mar 2017,"1,672",–,1%,0%,13%,12%,25%,1%,19%,3%,1%,25%,0%
Ifop-Fiducial,19–22 Mar 2017,"1,974",36.50%,0.50%,0.50%,12%,11%,25.50%,1%,18%,5.50%,0.50%,25.50%,<0.5%
Elabe,21-Mar-17,997,38%,0.50%,0.50%,13.50%,11.50%,26%,1%,17%,5%,0.50%,24.50%,<0.5%
OpinionWay,19–21 Mar 2017,"1,676",–,1%,1%,12%,13%,24%,1%,19%,3%,0%,26%,0%
Ifop-Fiducial,18–21 Mar 2017,"1,695",37%,1%,0.50%,11.50%,11.50%,25.50%,1%,17.50%,5%,0.50%,26%,<0.5%
Ifop-Fiducial,18–20 Mar 2017,935,37.50%,1%,0.50%,11.50%,12.50%,25%,0.50%,18%,4.50%,0.50%,26%,<0.5%
OpinionWay,18–20 Mar 2017,"1,667",–,1%,1%,11%,14%,24%,1%,18%,3%,0%,27%,0%
Elabe,17–19 Mar 2017,"2,847",41%,0.50%,0.50%,13%,13.50%,25.50%,1%,17.50%,3%,0.50%,25%,<0.5%
OpinionWay,17–19 Mar 2017,"1,593",–,1%,1%,12%,13%,23%,1%,18%,3%,1%,27%,0%
