PollingFirm,FieldworkDate,SampleSize,Abs.,Arthaud,Poutou,Mélenchon,Jadot,Hollande,Valls,Montebourg,Hamon,Peillon,Pinel,Macron,Bayrou,Fillon,Dupont-Aignan,Le Pen,Cheminade
Ifop-Fiducial,3–6 Jan 2017,"1,860",–,1%,1%,11.50%,2%,–,–,5.50%,–,–,–,19%,7%,24.50%,2%,26.50%,<0.5%
Ifop-Fiducial,3–6 Jan 2017,"1,860",–,1%,1%,11.50%,2%,–,–,–,6%,–,–,19%,7%,24.50%,1.50%,26%,0.50%
Ifop-Fiducial,3–6 Jan 2017,"1,860",–,1%,1.50%,13%,2.50%,–,–,–,–,2.50%,–,20%,7%,25%,1.50%,26%,<0.5%
Elabe,3–4 Jan 2017,925,41%,1%,2%,14%,1.50%,–,13%,–,–,–,–,18%,–,26%,1.50%,23%,–
Elabe,3–4 Jan 2017,925,41%,1%,2.50%,14%,1%,–,12%,–,–,–,–,16%,7.50%,23%,1%,22%,–
Elabe,3–4 Jan 2017,925,41%,0.50%,2%,14%,1.50%,–,–,9%,–,–,–,24%,–,26%,1%,22%,–
Elabe,3–4 Jan 2017,925,41%,1%,2%,13%,1%,–,–,7%,–,–,–,20%,7%,24%,2%,23%,–
Elabe,3–4 Jan 2017,925,41%,1.50%,1.50%,14.50%,1.50%,–,–,–,6%,–,–,23%,–,26%,2%,24%,–
Elabe,3–4 Jan 2017,925,41%,0.50%,2%,13%,1%,–,–,–,6%,–,–,21%,8%,24%,1.50%,23%,–
Elabe,3–4 Jan 2017,925,41%,1%,2%,15%,1.50%,–,–,–,–,3%,–,24%,–,28%,1.50%,24%,–
Elabe,3–4 Jan 2017,925,41%,0.50%,2%,14%,1%,–,–,–,–,3%,–,22%,7%,25%,1.50%,24%,–
Ipsos,2–7 Dec 2016,"12,724",–,1%,1%,14%,2.50%,–,12%,–,–,–,<0.5%,15%,–,27%,2.50%,25%,<0.5%
Ipsos,2–7 Dec 2016,"12,724",–,1%,1%,13%,2.50%,–,11%,–,–,–,<0.5%,13%,6%,26%,2.50%,24%,<0.5%
Ipsos,2–7 Dec 2016,"12,724",–,1%,1%,14%,2.50%,–,–,7%,–,–,<0.5%,18%,–,29%,2.50%,25%,<0.5%
Ipsos,2–7 Dec 2016,"12,724",–,1%,1%,13%,2.50%,–,–,6%,–,–,<0.5%,16%,7%,27%,2.50%,24%,<0.5%
BVA,2–4 Dec 2016,934,28%,0.50%,0.50%,14%,2%,–,13%,–,–,–,0.50%,14%,6%,24%,1.50%,24%,–
BVA,2–4 Dec 2016,934,28%,0.50%,1%,17%,2.50%,–,21%,–,–,–,0.50%,–,–,29%,2.50%,26%,–
BVA,2–4 Dec 2016,934,28%,1%,1%,13%,2%,–,–,6.50%,–,–,0.50%,19%,8%,23%,2%,24%,–
Ifop-Fiducial,2–3 Dec 2016,"1,401",–,0.50%,1%,12.50%,2%,–,10%,–,–,–,<0.5%,13.50%,7%,27.50%,2%,24%,–
Ifop-Fiducial,2–3 Dec 2016,"1,401",–,0.50%,1%,12.50%,1.50%,–,–,6%,–,–,0.50%,16%,8%,28%,2%,24%,–
Ifop-Fiducial,2–3 Dec 2016,"1,401",–,1%,1%,13.50%,1.50%,–,–,–,4%,–,<0.5%,16%,9%,28%,2%,24%,–
Ifop-Fiducial,28–30 Nov 2016,"1,882",–,1%,1%,11%,2%,–,10%,–,–,–,0.50%,15%,5.50%,28%,2%,24%,–
Ifop-Fiducial,28–30 Nov 2016,"1,882",–,0.50%,1%,11.50%,1.50%,–,–,6%,–,–,1%,17%,6%,29%,2.50%,24%,–
Elabe,28–29 Nov 2016,941,41%,0.50%,1%,12%,1.50%,7%,–,–,–,–,–,16%,6%,30%,2%,24%,–
Elabe,28–29 Nov 2016,941,41%,0.50%,1%,12%,1.50%,–,9%,–,–,–,–,14%,5%,31%,2%,24%,–
Elabe,28–29 Nov 2016,941,41%,0.50%,1%,12%,1.50%,–,–,5%,–,–,–,17%,5%,31%,2%,25%,–
Kantar Sofres,28-Nov-16,"1,011",25%,0.50%,1%,13%,2%,8.50%,–,–,–,–,1%,17%,–,30%,2.50%,24%,0.50%
Kantar Sofres,28-Nov-16,"1,011",25%,0.50%,1%,12%,2%,7.50%,–,–,–,–,1%,15%,6%,29%,2.50%,23%,0.50%
Kantar Sofres,28-Nov-16,"1,011",25%,2%,1.50%,15%,3%,14%,–,–,–,–,1%,–,–,34%,3%,26%,0.50%
Kantar Sofres,28-Nov-16,"1,011",25%,1.50%,1%,11.50%,2.50%,–,11%,–,–,–,0.50%,15%,–,29%,2.50%,25%,0.50%
Kantar Sofres,28-Nov-16,"1,011",25%,1.50%,1%,12%,2%,–,9.50%,–,–,–,0.50%,13%,6%,28%,2%,24%,0.50%
Kantar Sofres,28-Nov-16,"1,011",25%,1%,1%,12.50%,2%,–,–,7%,–,–,1%,17.50%,–,31%,2.50%,24%,0.50%
Kantar Sofres,28-Nov-16,"1,011",25%,1%,1%,12%,1.50%,–,–,6%,–,–,1%,16%,6%,29%,2%,24%,0.50%
Harris Interactive,27-Nov-16,"6,093",–,1%,1%,13%,3%,9%,–,–,–,–,–,14%,6%,26%,3%,24%,–
Harris Interactive,28-Nov-16,"6,093",–,1%,1%,15%,2%,–,9%,–,–,–,–,13%,7%,26%,2%,24%,–
Odoxa,25-Nov-16,844,–,2%,1%,12%,2%,8%,–,–,–,–,–,13%,6%,32%,2%,22%,–
