PollingFirm,FieldworkDate,SampleSize,Abs.,Arthaud,Poutou,Mélenchon,Duflot,Hulot,Hollande,Valls,Montebourg,Macron,Bayrou,Juppé,Sarkozy,Fillon,Le Maire,Dupont-Aignan,Asselineau,Le Pen,Cheminade
Elabe,26–27 Apr 2016,911,42%,1%,1%,12%,2%,–,–,18.50%,–,–,13%,–,22%,–,–,5.50%,–,25%,–
Elabe,26–27 Apr 2016,911,42%,1.50%,2%,12%,2%,–,–,19%,–,–,12%,–,–,19%,–,4%,–,28.50%,–
Elabe,26–27 Apr 2016,911,42%,1%,1%,12%,2%,–,–,–,–,21%,–,36%,–,–,–,4%,–,23%,–
Elabe,26–27 Apr 2016,911,42%,1.50%,2%,12%,2.50%,–,–,–,–,25%,11%,–,18%,–,–,4%,–,24%,–
Elabe,26–27 Apr 2016,911,42%,1.50%,1%,11.50%,2.50%,–,–,–,–,25.50%,11.50%,–,–,–,18%,3.50%,–,25%,–
BVA,15–17 Apr 2016,949,30%,1%,2%,13.50%,3%,–,13.50%,–,–,–,–,35%,–,–,–,5%,–,27%,–
BVA,15–17 Apr 2016,949,30%,1%,2%,12%,3%,–,14%,–,–,–,12%,–,22%,–,–,6%,–,28%,–
BVA,15–17 Apr 2016,949,30%,1.50%,2.50%,13%,3%,–,14%,–,–,–,11%,–,–,21%,–,5%,–,29%,–
BVA,15–17 Apr 2016,949,30%,2%,2%,13%,3%,–,15%,–,–,–,11%,–,–,–,18%,6%,–,30%,–
TNS Sofres,15–16 Apr 2016,"1,011",30%,2%,2%,12%,4%,–,13%,–,–,–,–,35%,–,–,–,6%,–,26%,–
TNS Sofres,15–16 Apr 2016,"1,011",30%,1.50%,2.50%,13%,3%,–,14%,–,–,–,12%,–,23%,–,–,6%,–,25%,–
TNS Sofres,15–16 Apr 2016,"1,011",30%,2%,3%,14%,4%,–,14%,–,–,–,–,–,–,23%,–,8%,–,32%,–
TNS Sofres,15–16 Apr 2016,"1,011",30%,2%,3%,16%,5%,–,15%,–,–,–,–,–,–,–,21%,8%,–,30%,–
TNS Sofres,15–16 Apr 2016,"1,011",30%,2%,3%,14%,4%,–,16%,–,–,–,–,–,24%,–,–,8%,–,29%,–
Odoxa,14–15 Apr 2016,949,–,1%,2%,11%,1%,–,14%,–,–,–,–,34%,–,–,–,5%,–,32%,–
Odoxa,14–15 Apr 2016,949,–,1%,2%,11%,2%,–,15%,–,–,–,13%,–,20%,–,–,5%,–,31%,–
Odoxa,14–15 Apr 2016,949,–,1%,2%,12%,2%,–,–,–,–,18%,–,29%,–,–,–,5%,–,31%,–
Odoxa,14–15 Apr 2016,949,–,1%,2%,11%,2%,–,–,–,–,21%,10%,–,19%,–,–,4%,–,30%,–
Ifop-Fiducial,12–14 Apr 2016,"1,876",–,1%,1%,12%,1.50%,–,15%,–,–,–,–,37%,–,–,–,5%,–,27%,0.50%
Ifop-Fiducial,12–14 Apr 2016,"1,876",–,1%,1%,12.50%,1.50%,–,16%,–,–,–,14%,–,21%,–,–,5%,–,27.50%,0.50%
Ifop-Fiducial,12–14 Apr 2016,"1,876",–,1%,1.50%,12.50%,1.50%,–,16%,–,–,–,12%,–,–,21%,–,6%,–,28%,0.50%
Ifop-Fiducial,12–14 Apr 2016,"1,876",–,1%,1%,13.50%,1.50%,–,16%,–,–,–,13%,–,–,–,20%,5.50%,–,28%,0.50%
Ifop-Fiducial,12–14 Apr 2016,"1,876",–,1%,1%,11%,1%,–,14%,–,–,–,7%,34%,–,–,–,4%,–,26.50%,0.50%
Ifop-Fiducial,12–14 Apr 2016,"1,876",–,1%,1%,12.50%,1.50%,–,–,16%,–,–,–,36%,–,–,–,4.50%,–,27%,0.50%
Ifop-Fiducial,12–14 Apr 2016,"1,876",–,1%,1%,13.50%,1.50%,–,–,17%,–,–,12.50%,–,21%,–,–,5%,–,27%,0.50%
Ifop-Fiducial,12–14 Apr 2016,"1,876",–,0.50%,1.50%,10.50%,–,7%,14%,–,–,–,–,36%,–,–,–,4%,–,26%,0.50%
Ifop-Fiducial,12–14 Apr 2016,"1,876",–,1%,1%,11%,1%,–,14%,–,3.50%,–,–,36%,–,–,–,5%,–,27%,0.50%
Ifop-Fiducial,12–14 Apr 2016,"1,876",–,1%,2%,12%,1%,–,–,–,4%,16%,–,33%,–,–,–,4.50%,–,26%,0.50%
Harris Interactive,11–13 Apr 2016,"1,535",–,2%,1%,11%,2%,11%,13%,–,–,–,–,26%,–,–,–,5%,–,29%,–
Harris Interactive,11–13 Apr 2016,"1,535",–,1%,1%,10%,1%,9%,14%,–,–,–,12%,–,19%,–,–,6%,–,27%,–
Ipsos,11–20 Mar 2016,"13,693",–,1.50%,1.50%,11%,3%,–,15%,–,–,–,–,36%,–,–,–,5%,–,27%,–
Ipsos,11–20 Mar 2016,"13,693",–,1.50%,1.50%,11%,3%,–,16%,–,–,–,13%,–,21%,–,–,6%,–,27%,–
Ipsos,11–20 Mar 2016,"13,693",–,1.50%,1.50%,10%,3%,–,14%,–,–,–,8%,31%,–,–,–,5%,–,26%,–
Ifop-Fiducial,11–14 Mar 2016,"1,026",–,1.50%,2.50%,15%,2.50%,–,–,–,–,14%,–,32%,–,–,–,3%,–,29.50%,–
Ifop-Fiducial,11–14 Mar 2016,"1,026",–,1%,2%,15%,2.50%,–,–,–,–,17%,11%,–,19%,–,–,4.50%,–,28%,–
Ifop-Fiducial,17–19 Feb 2016,"1,843",–,1%,1%,11%,2%,–,18%,–,–,–,–,35%,–,–,–,4%,–,28%,–
Ifop-Fiducial,17–19 Feb 2016,"1,843",–,1%,1.50%,11.50%,2%,–,18%,–,–,–,15%,–,21%,–,–,5%,–,25%,–
Ifop-Fiducial,17–19 Feb 2016,"1,843",–,1%,1%,12%,2.50%,–,18%,–,–,–,14.50%,–,–,18%,–,5%,–,28%,–
Ifop-Fiducial,17–19 Feb 2016,"1,843",–,1%,1%,12%,3%,–,18%,–,–,–,15%,–,–,–,17%,5%,–,28%,–
Ifop-Fiducial,17–19 Feb 2016,"1,843",–,1%,1%,10%,2.50%,–,16%,–,–,–,8.50%,30%,–,–,–,4%,–,27%,–
Ifop-Fiducial,17–19 Feb 2016,"1,843",–,1%,1.50%,12%,–,–,18%,–,–,–,15.50%,–,21%,–,–,5%,–,26%,–
Ifop-Fiducial,17–19 Feb 2016,"1,843",–,2%,3.50%,–,–,–,22%,–,–,–,18%,–,21.50%,–,–,5%,–,28%,–
Ipsos,22–31 Jan 2016,"14,954",–,1.50%,1.50%,8.50%,2.50%,–,18%,–,–,–,8%,31%,–,–,–,4%,–,25%,–
Ipsos,22–31 Jan 2016,"14,954",–,1.50%,1.50%,9%,3%,–,20%,–,–,–,13%,–,21%,–,–,5%,–,26%,–
Ipsos,22–31 Jan 2016,"14,954",–,1.50%,1.50%,9%,3%,–,20%,–,–,–,12%,–,–,19%,–,5%,–,29%,–
Odoxa,14–15 Jan 2016,"1,011",–,1%,2%,9%,3%,–,16%,–,–,–,–,34%,–,–,–,5%,–,30%,–
Odoxa,14–15 Jan 2016,"1,011",–,1%,1%,11%,2%,–,19%,–,–,–,13%,–,20%,–,–,5%,–,28%,–
Odoxa,14–15 Jan 2016,"1,011",–,2%,2%,11%,2%,–,–,–,–,19%,–,32%,–,–,–,4%,–,28%,–
Odoxa,14–15 Jan 2016,"1,011",–,2%,1%,12%,2%,–,–,–,–,22%,12%,–,18%,–,–,4%,–,27%,–
