PollingFirm,FieldworkDate,SampleSize,Abs.,Arthaud,Poutou,Mélenchon,Jadot,Hamon,Macron,Bayrou,Lassalle,Fillon,Juppé,Dupont-Aignan,Asselineau,Le Pen,Cheminade
OpinionWay,6–8 Feb 2017,1454,–,0%,1%,13%,1%,16%,21%,–,–,20%,–,4%,–,24%,–
Ifop-fiducial,5–8 Feb 2017,1409,38%,0.50%,0.50%,10.50%,1.50%,14.50%,21%,5.50%,–,18%,–,2%,–,26%,<0.5%
OpinionWay,5–7 Feb 2017,1487,–,0%,2%,12%,1%,15%,22%,–,–,20%,–,3%,–,25%,–
Ifop-fiducial,3–7 Feb 2017,1424,38.50%,0.50%,1%,10.50%,1%,14.50%,21%,5%,–,18.50%,–,2%,–,26%,<0.5%
Elabe,4–6 Feb 2017,993,–,0.50%,0.50%,14%,0.50%,14.50%,23%,–,–,17.50%,–,2.50%,–,27%,–
Elabe,4–6 Feb 2017,993,,0.50%,0.50%,13%,0.50%,14%,22%,4%,–,17%,–,2%,–,26.50%,–
OpinionWay,4–6 Feb 2017,1568,–,0%,1%,12%,1%,14%,23%,–,–,20%,–,4%,–,25%,–
Ifop-fiducial,2–6 Feb 2017,1433,39.50%,0.50%,1%,10%,1%,15.50%,20.50%,5%,–,18.50%,–,2.50%,–,25.50%,<0.5%
OpinionWay,3–5 Feb 2017,1700,–,0%,1%,11%,2%,14%,23%,–,–,20%,–,3%,–,26%,–
Ifop-fiducial,31 Jan–3 Feb 2017,1430,39.50%,0.50%,1%,10%,1%,16.50%,20.50%,4.50%,–,18.50%,–,2.50%,–,25%,<0.5%
BVA,1–2 Feb 2017,640,25%,0.50%,0.50%,11.50%,1.50%,17%,22%,–,–,20%,–,2%,–,25%,–
BVA,1–2 Feb 2017,640,25%,0.50%,0.50%,11%,1%,16%,21%,5%,–,18%,–,2%,–,25%,–
Ifop-fiducial,30 Jan–2 Feb 2017,1414,38%,0.50%,1%,9.50%,1%,17%,20%,4%,–,20%,–,2.50%,–,24.50%,<0.5%
Ifop-fiducial,29 Jan–1 Feb 2017,1409,37%,<0.5%,0.50%,9%,1%,18%,20%,4.50%,–,21%,–,2%,–,24%,<0.5%
Elabe,30–31 Jan 2017,993,39%,0.50%,0.50%,10%,1%,17%,23%,–,–,20%,–,1%,–,27%,–
Elabe,30–31 Jan 2017,993,39%,0.50%,0.50%,10%,1%,16%,22%,4%,–,19%,–,1%,–,26%,–
Kantar Sofres,26–27 Jan 2017,700,29%,0.50%,0.50%,10%,2%,15%,21%,–,–,22%,–,3.50%,–,25%,0.50%
Kantar Sofres,26–27 Jan 2017,700,29%,0.50%,0.50%,10%,2%,13%,20%,5%,–,21%,–,3%,–,25%,<0.5%
