"","poll_id","start_day","end_day","pollName","pollster_id","abstention","election_year","bloc","y","n"
"38","2002_1_16",2002-04-04,2002-04-05,"Sofres",6,0,2002,"Centre",95,1000
"39","2002_1_16",2002-04-04,2002-04-05,"Sofres",6,0,2002,"Droite",255,1000
"40","2002_1_16",2002-04-04,2002-04-05,"Sofres",6,0,2002,"Droite radicale et extreme droite",140,1000
"41","2002_1_17",2002-04-03,2002-04-04,"CSA",2,0,2002,"Gauche radicale et extrême gauche",140,1000
"42","2002_1_17",2002-04-03,2002-04-04,"CSA",2,0,2002,"Gauche",370,1000
"43","2002_1_17",2002-04-03,2002-04-04,"CSA",2,0,2002,"Centre",75,1000
"44","2002_1_17",2002-04-03,2002-04-04,"CSA",2,0,2002,"Droite",285,1000
"45","2002_1_17",2002-04-03,2002-04-04,"CSA",2,0,2002,"Droite radicale et extreme droite",130,1000
"46","2002_1_18",2002-04-03,2002-04-04,"Sofres",6,0,2002,"Gauche radicale et extrême gauche",155,1000
"47","2002_1_18",2002-04-03,2002-04-04,"Sofres",6,0,2002,"Gauche",330,1000
"48","2002_1_18",2002-04-03,2002-04-04,"Sofres",6,0,2002,"Centre",80,1000
"49","2002_1_18",2002-04-03,2002-04-04,"Sofres",6,0,2002,"Droite",295,1000
"50","2002_1_18",2002-04-03,2002-04-04,"Sofres",6,0,2002,"Droite radicale et extreme droite",140,1000
"51","2002_1_19",2002-03-29,2002-03-30,"Ipsos",4,0,2002,"Gauche radicale et extrême gauche",150,939
"52","2002_1_19",2002-03-29,2002-03-30,"Ipsos",4,0,2002,"Gauche",320,939
"53","2002_1_19",2002-03-29,2002-03-30,"Ipsos",4,0,2002,"Centre",75,939
"54","2002_1_19",2002-03-29,2002-03-30,"Ipsos",4,0,2002,"Droite",286,939
"55","2002_1_19",2002-03-29,2002-03-30,"Ipsos",4,0,2002,"Droite radicale et extreme droite",108,939
"56","2002_1_2",2002-04-17,2002-04-18,"CSA",2,0,2002,"Gauche radicale et extrême gauche",155,1000
"57","2002_1_2",2002-04-17,2002-04-18,"CSA",2,0,2002,"Gauche",335,1000
"58","2002_1_2",2002-04-17,2002-04-18,"CSA",2,0,2002,"Centre",95,1000
"59","2002_1_2",2002-04-17,2002-04-18,"CSA",2,0,2002,"Droite",250,1000
"60","2002_1_2",2002-04-17,2002-04-18,"CSA",2,0,2002,"Droite radicale et extreme droite",165,1000
"61","2002_1_21",2002-03-29,2002-03-30,"Louis Harris",5,0,2002,"Gauche radicale et extrême gauche",170,1000
"62","2002_1_21",2002-03-29,2002-03-30,"Louis Harris",5,0,2002,"Gauche",365,1000
"63","2002_1_21",2002-03-29,2002-03-30,"Louis Harris",5,0,2002,"Centre",80,1000
"64","2002_1_21",2002-03-29,2002-03-30,"Louis Harris",5,0,2002,"Droite",275,1000
"65","2002_1_21",2002-03-29,2002-03-30,"Louis Harris",5,0,2002,"Droite radicale et extreme droite",110,1000
"66","2002_1_22",2002-03-28,2002-03-30,"BVA",1,0,2002,"Gauche radicale et extrême gauche",116,660
"67","2002_1_22",2002-03-28,2002-03-30,"BVA",1,0,2002,"Gauche",224,660
"68","2002_1_22",2002-03-28,2002-03-30,"BVA",1,0,2002,"Centre",59,660
"69","2002_1_22",2002-03-28,2002-03-30,"BVA",1,0,2002,"Droite",165,660
"70","2002_1_22",2002-03-28,2002-03-30,"BVA",1,0,2002,"Droite radicale et extreme droite",96,660
"71","2002_1_3",2002-04-17,2002-04-18,"Ipsos",4,0,2002,"Gauche radicale et extrême gauche",163,989
"72","2002_1_3",2002-04-17,2002-04-18,"Ipsos",4,0,2002,"Gauche",326,989
"73","2002_1_3",2002-04-17,2002-04-18,"Ipsos",4,0,2002,"Centre",99,989
"74","2002_1_3",2002-04-17,2002-04-18,"Ipsos",4,0,2002,"Droite",238,989
"75","2002_1_3",2002-04-17,2002-04-18,"Ipsos",4,0,2002,"Droite radicale et extreme droite",163,989
"76","2002_1_4",2002-04-17,2002-04-18,"Sofres",6,0,2002,"Gauche radicale et extrême gauche",170,1000
"77","2002_1_4",2002-04-17,2002-04-18,"Sofres",6,0,2002,"Gauche",330,1000
"78","2002_1_4",2002-04-17,2002-04-18,"Sofres",6,0,2002,"Centre",110,1000
"79","2002_1_4",2002-04-17,2002-04-18,"Sofres",6,0,2002,"Droite",250,1000
"80","2002_1_4",2002-04-17,2002-04-18,"Sofres",6,0,2002,"Droite radicale et extreme droite",140,1000
"81","2002_1_5",2002-04-16,2002-04-17,"Louis Harris",5,0,2002,"Gauche radicale et extrême gauche",89,593
"82","2002_1_5",2002-04-16,2002-04-17,"Louis Harris",5,0,2002,"Gauche",196,593
"83","2002_1_5",2002-04-16,2002-04-17,"Louis Harris",5,0,2002,"Centre",71,593
"84","2002_1_5",2002-04-16,2002-04-17,"Louis Harris",5,0,2002,"Droite",148,593
"85","2002_1_5",2002-04-16,2002-04-17,"Louis Harris",5,0,2002,"Droite radicale et extreme droite",89,593
"86","2002_1_6",2002-04-15,2002-04-16,"Ipsos",4,0,2002,"Gauche radicale et extrême gauche",155,1003
"87","2002_1_6",2002-04-15,2002-04-16,"Ipsos",4,0,2002,"Gauche",331,1003
"88","2002_1_6",2002-04-15,2002-04-16,"Ipsos",4,0,2002,"Centre",90,1003
"89","2002_1_6",2002-04-15,2002-04-16,"Ipsos",4,0,2002,"Droite",266,1003
"90","2002_1_6",2002-04-15,2002-04-16,"Ipsos",4,0,2002,"Droite radicale et extreme droite",161,1003
"91","2002_1_7",2002-04-13,2002-04-15,"Sofres",6,0,2002,"Gauche radicale et extrême gauche",170,1000
"92","2002_1_7",2002-04-13,2002-04-15,"Sofres",6,0,2002,"Gauche",315,1000
"93","2002_1_7",2002-04-13,2002-04-15,"Sofres",6,0,2002,"Centre",110,1000
"94","2002_1_7",2002-04-13,2002-04-15,"Sofres",6,0,2002,"Droite",250,1000
"95","2002_1_7",2002-04-13,2002-04-15,"Sofres",6,0,2002,"Droite radicale et extreme droite",155,1000
"96","2002_1_8",2002-04-12,2002-04-13,"Ifop",3,0,2002,"Gauche radicale et extrême gauche",170,1004
"97","2002_1_8",2002-04-12,2002-04-13,"Ifop",3,0,2002,"Gauche",352,1004
"98","2002_1_8",2002-04-12,2002-04-13,"Ifop",3,0,2002,"Centre",100,1004
"99","2002_1_8",2002-04-12,2002-04-13,"Ifop",3,0,2002,"Droite",246,1004
"100","2002_1_8",2002-04-12,2002-04-13,"Ifop",3,0,2002,"Droite radicale et extreme droite",136,1004
"101","2002_1_9",2002-04-10,2002-04-13,"BVA",1,0,2002,"Gauche radicale et extrême gauche",123,748
"102","2002_1_9",2002-04-10,2002-04-13,"BVA",1,0,2002,"Gauche",247,748
"103","2002_1_9",2002-04-10,2002-04-13,"BVA",1,0,2002,"Centre",82,748
"104","2002_1_9",2002-04-10,2002-04-13,"BVA",1,0,2002,"Droite",176,748
"105","2002_1_9",2002-04-10,2002-04-13,"BVA",1,0,2002,"Droite radicale et extreme droite",120,748
"106","2002_2_1",2002-03-28,2002-03-29,"Ifop",3,0,2002,"Gauche radicale et extrême gauche",145,932
"107","2002_2_1",2002-03-28,2002-03-29,"Ifop",3,0,2002,"Gauche",365,932
"108","2002_2_1",2002-03-28,2002-03-29,"Ifop",3,0,2002,"Centre",75,932
"109","2002_2_1",2002-03-28,2002-03-29,"Ifop",3,0,2002,"Droite",244,932
"110","2002_2_1",2002-03-28,2002-03-29,"Ifop",3,0,2002,"Droite radicale et extreme droite",103,932
"111","2002_2_10",2002-03-20,2002-03-21,"CSA",2,0,2002,"Gauche radicale et extrême gauche",350,935
"112","2002_2_10",2002-03-20,2002-03-21,"CSA",2,0,2002,"Gauche",120,935
"113","2002_2_10",2002-03-20,2002-03-21,"CSA",2,0,2002,"Centre",240,935
"114","2002_2_10",2002-03-20,2002-03-21,"CSA",2,0,2002,"Droite",115,935
"115","2002_2_10",2002-03-20,2002-03-21,"CSA",2,0,2002,"Droite radicale et extreme droite",110,935
"116","2002_2_11",2002-03-15,2002-03-16,"Ifop",3,0,2002,"Gauche radicale et extrême gauche",150,915
"117","2002_2_11",2002-03-15,2002-03-16,"Ifop",3,0,2002,"Gauche",346,915
"118","2002_2_11",2002-03-15,2002-03-16,"Ifop",3,0,2002,"Centre",65,915
"119","2002_2_11",2002-03-15,2002-03-16,"Ifop",3,0,2002,"Droite",270,915
"120","2002_2_11",2002-03-15,2002-03-16,"Ifop",3,0,2002,"Droite radicale et extreme droite",84,915
"121","2002_2_12",2002-03-15,2002-03-16,"Ipsos",4,0,2002,"Gauche radicale et extrême gauche",139,922
"122","2002_2_12",2002-03-15,2002-03-16,"Ipsos",4,0,2002,"Gauche",350,922
"123","2002_2_12",2002-03-15,2002-03-16,"Ipsos",4,0,2002,"Centre",65,922
"124","2002_2_12",2002-03-15,2002-03-16,"Ipsos",4,0,2002,"Droite",262,922
"125","2002_2_12",2002-03-15,2002-03-16,"Ipsos",4,0,2002,"Droite radicale et extreme droite",106,922
"126","2002_2_14",2002-03-14,2002-03-16,"BVA",1,0,2002,"Gauche radicale et extrême gauche",118,741
"127","2002_2_14",2002-03-14,2002-03-16,"BVA",1,0,2002,"Gauche",271,741
"128","2002_2_14",2002-03-14,2002-03-16,"BVA",1,0,2002,"Centre",52,741
"129","2002_2_14",2002-03-14,2002-03-16,"BVA",1,0,2002,"Droite",222,741
"130","2002_2_14",2002-03-14,2002-03-16,"BVA",1,0,2002,"Droite radicale et extreme droite",78,741
"131","2002_2_15",2002-03-13,2002-03-16,"Sofres",6,0,2002,"Gauche radicale et extrême gauche",160,1000
"132","2002_2_15",2002-03-13,2002-03-16,"Sofres",6,0,2002,"Gauche",345,1000
"133","2002_2_15",2002-03-13,2002-03-16,"Sofres",6,0,2002,"Centre",85,1000
"134","2002_2_15",2002-03-13,2002-03-16,"Sofres",6,0,2002,"Droite",300,1000
"135","2002_2_15",2002-03-13,2002-03-16,"Sofres",6,0,2002,"Droite radicale et extreme droite",110,1000
"136","2002_2_16",2002-03-14,2002-03-15,"Sofres",6,0,2002,"Gauche radicale et extrême gauche",155,1000
"137","2002_2_16",2002-03-14,2002-03-15,"Sofres",6,0,2002,"Gauche",345,1000
"138","2002_2_16",2002-03-14,2002-03-15,"Sofres",6,0,2002,"Centre",80,1000
"139","2002_2_16",2002-03-14,2002-03-15,"Sofres",6,0,2002,"Droite",300,1000
"140","2002_2_16",2002-03-14,2002-03-15,"Sofres",6,0,2002,"Droite radicale et extreme droite",120,1000
"141","2002_2_17",2002-03-13,2002-03-14,"CSA",2,0,2002,"Gauche radicale et extrême gauche",130,1000
"142","2002_2_17",2002-03-13,2002-03-14,"CSA",2,0,2002,"Gauche",375,1000
"143","2002_2_17",2002-03-13,2002-03-14,"CSA",2,0,2002,"Centre",60,1000
"144","2002_2_17",2002-03-13,2002-03-14,"CSA",2,0,2002,"Droite",320,1000
"145","2002_2_17",2002-03-13,2002-03-14,"CSA",2,0,2002,"Droite radicale et extreme droite",115,1000
"146","2002_2_18",2002-03-08,2002-03-09,"Ipsos",4,0,2002,"Gauche radicale et extrême gauche",136,935
"147","2002_2_18",2002-03-08,2002-03-09,"Ipsos",4,0,2002,"Gauche",374,935
"148","2002_2_18",2002-03-08,2002-03-09,"Ipsos",4,0,2002,"Centre",56,935
"149","2002_2_18",2002-03-08,2002-03-09,"Ipsos",4,0,2002,"Droite",280,935
"150","2002_2_18",2002-03-08,2002-03-09,"Ipsos",4,0,2002,"Droite radicale et extreme droite",89,935
"151","2002_2_2",2002-03-27,2002-03-28,"CSA",2,0,2002,"Gauche radicale et extrême gauche",155,1002
"152","2002_2_2",2002-03-27,2002-03-28,"CSA",2,0,2002,"Gauche",356,1002
"153","2002_2_2",2002-03-27,2002-03-28,"CSA",2,0,2002,"Centre",80,1002
"154","2002_2_2",2002-03-27,2002-03-28,"CSA",2,0,2002,"Droite",276,1002
"155","2002_2_2",2002-03-27,2002-03-28,"CSA",2,0,2002,"Droite radicale et extreme droite",135,1002
"156","2002_2_20",2002-03-08,2002-03-09,"Louis Harris",5,0,2002,"Gauche radicale et extrême gauche",87,627
"157","2002_2_20",2002-03-08,2002-03-09,"Louis Harris",5,0,2002,"Gauche",244,627
"158","2002_2_20",2002-03-08,2002-03-09,"Louis Harris",5,0,2002,"Centre",38,627
"159","2002_2_20",2002-03-08,2002-03-09,"Louis Harris",5,0,2002,"Droite",182,627
"160","2002_2_20",2002-03-08,2002-03-09,"Louis Harris",5,0,2002,"Droite radicale et extreme droite",76,627
"161","2002_2_21",2002-03-08,2002-03-09,"Sofres",6,0,2002,"Gauche radicale et extrême gauche",150,1000
"162","2002_2_21",2002-03-08,2002-03-09,"Sofres",6,0,2002,"Gauche",360,1000
"163","2002_2_21",2002-03-08,2002-03-09,"Sofres",6,0,2002,"Centre",80,1000
"164","2002_2_21",2002-03-08,2002-03-09,"Sofres",6,0,2002,"Droite",285,1000
"165","2002_2_21",2002-03-08,2002-03-09,"Sofres",6,0,2002,"Droite radicale et extreme droite",125,1000
"166","2002_2_22",2002-03-01,2002-03-02,"Ipsos",4,0,2002,"Gauche radicale et extrême gauche",139,926
"167","2002_2_22",2002-03-01,2002-03-02,"Ipsos",4,0,2002,"Gauche",352,926
"168","2002_2_22",2002-03-01,2002-03-02,"Ipsos",4,0,2002,"Centre",65,926
"169","2002_2_22",2002-03-01,2002-03-02,"Ipsos",4,0,2002,"Droite",278,926
"170","2002_2_22",2002-03-01,2002-03-02,"Ipsos",4,0,2002,"Droite radicale et extreme droite",92,926
"171","2002_2_23",2002-02-28,2002-03-02,"BVA",1,0,2002,"Gauche radicale et extrême gauche",100,692
"172","2002_2_23",2002-02-28,2002-03-02,"BVA",1,0,2002,"Gauche",266,692
"173","2002_2_23",2002-02-28,2002-03-02,"BVA",1,0,2002,"Centre",56,692
"174","2002_2_23",2002-02-28,2002-03-02,"BVA",1,0,2002,"Droite",184,692
"175","2002_2_23",2002-02-28,2002-03-02,"BVA",1,0,2002,"Droite radicale et extreme droite",86,692
"176","2002_2_24",2002-02-28,2002-03-01,"Ifop",3,0,2002,"Gauche radicale et extrême gauche",128,913
"177","2002_2_24",2002-02-28,2002-03-01,"Ifop",3,0,2002,"Gauche",373,913
"178","2002_2_24",2002-02-28,2002-03-01,"Ifop",3,0,2002,"Centre",56,913
"179","2002_2_24",2002-02-28,2002-03-01,"Ifop",3,0,2002,"Droite",272,913
"180","2002_2_24",2002-02-28,2002-03-01,"Ifop",3,0,2002,"Droite radicale et extreme droite",84,913
"181","2002_2_25",2002-02-27,2002-02-28,"CSA",2,0,2002,"Gauche radicale et extrême gauche",357,945
"182","2002_2_25",2002-02-27,2002-02-28,"CSA",2,0,2002,"Gauche",161,945
"183","2002_2_25",2002-02-27,2002-02-28,"CSA",2,0,2002,"Centre",226,945
"184","2002_2_25",2002-02-27,2002-02-28,"CSA",2,0,2002,"Droite",100,945
"185","2002_2_25",2002-02-27,2002-02-28,"CSA",2,0,2002,"Droite radicale et extreme droite",101,945
"186","2002_2_26",2002-02-27,2002-02-28,"Sofres",6,0,2002,"Gauche radicale et extrême gauche",135,1000
"187","2002_2_26",2002-02-27,2002-02-28,"Sofres",6,0,2002,"Gauche",395,1000
"188","2002_2_26",2002-02-27,2002-02-28,"Sofres",6,0,2002,"Centre",60,1000
"189","2002_2_26",2002-02-27,2002-02-28,"Sofres",6,0,2002,"Droite",290,1000
"190","2002_2_26",2002-02-27,2002-02-28,"Sofres",6,0,2002,"Droite radicale et extreme droite",120,1000
"191","2002_2_27",2002-02-22,2002-02-23,"Ifop",3,0,2002,"Gauche radicale et extrême gauche",113,899
"192","2002_2_27",2002-02-22,2002-02-23,"Ifop",3,0,2002,"Gauche",374,899
"193","2002_2_27",2002-02-22,2002-02-23,"Ifop",3,0,2002,"Centre",65,899
"194","2002_2_27",2002-02-22,2002-02-23,"Ifop",3,0,2002,"Droite",272,899
"195","2002_2_27",2002-02-22,2002-02-23,"Ifop",3,0,2002,"Droite radicale et extreme droite",75,899
"196","2002_2_28",2002-02-22,2002-02-23,"Ipsos",4,0,2002,"Gauche radicale et extrême gauche",127,937
"197","2002_2_28",2002-02-22,2002-02-23,"Ipsos",4,0,2002,"Gauche",375,937
"198","2002_2_28",2002-02-22,2002-02-23,"Ipsos",4,0,2002,"Centre",56,937
"199","2002_2_28",2002-02-22,2002-02-23,"Ipsos",4,0,2002,"Droite",281,937
"200","2002_2_28",2002-02-22,2002-02-23,"Ipsos",4,0,2002,"Droite radicale et extreme droite",98,937
"201","2002_2_29",2002-02-22,2002-02-23,"Sofres",6,0,2002,"Gauche radicale et extrême gauche",140,1000
"202","2002_2_29",2002-02-22,2002-02-23,"Sofres",6,0,2002,"Gauche",385,1000
"203","2002_2_29",2002-02-22,2002-02-23,"Sofres",6,0,2002,"Centre",75,1000
"204","2002_2_29",2002-02-22,2002-02-23,"Sofres",6,0,2002,"Droite",285,1000
"205","2002_2_29",2002-02-22,2002-02-23,"Sofres",6,0,2002,"Droite radicale et extreme droite",115,1000
"206","2002_2_3",2002-03-27,2002-03-28,"Sofres",6,0,2002,"Gauche radicale et extrême gauche",170,1000
"207","2002_2_3",2002-03-27,2002-03-28,"Sofres",6,0,2002,"Gauche",355,1000
"208","2002_2_3",2002-03-27,2002-03-28,"Sofres",6,0,2002,"Centre",85,1000
"209","2002_2_3",2002-03-27,2002-03-28,"Sofres",6,0,2002,"Droite",275,1000
"210","2002_2_3",2002-03-27,2002-03-28,"Sofres",6,0,2002,"Droite radicale et extreme droite",115,1000
"211","2002_2_30",2002-02-21,2002-02-22,"Ifop",3,0,2002,"Gauche radicale et extrême gauche",122,901
"212","2002_2_30",2002-02-21,2002-02-22,"Ifop",3,0,2002,"Gauche",366,901
"213","2002_2_30",2002-02-21,2002-02-22,"Ifop",3,0,2002,"Centre",56,901
"214","2002_2_30",2002-02-21,2002-02-22,"Ifop",3,0,2002,"Droite",282,901
"215","2002_2_30",2002-02-21,2002-02-22,"Ifop",3,0,2002,"Droite radicale et extreme droite",75,901
"216","2002_2_31",2002-02-15,2002-02-16,"Ipsos",4,0,2002,"Gauche radicale et extrême gauche",128,915
"217","2002_2_31",2002-02-15,2002-02-16,"Ipsos",4,0,2002,"Gauche",349,915
"218","2002_2_31",2002-02-15,2002-02-16,"Ipsos",4,0,2002,"Centre",54,915
"219","2002_2_31",2002-02-15,2002-02-16,"Ipsos",4,0,2002,"Droite",283,915
"220","2002_2_31",2002-02-15,2002-02-16,"Ipsos",4,0,2002,"Droite radicale et extreme droite",101,915
"221","2002_2_32",2002-02-14,2002-02-16,"BVA",1,0,2002,"Gauche radicale et extrême gauche",93,743
"222","2002_2_32",2002-02-14,2002-02-16,"BVA",1,0,2002,"Gauche",301,743
"223","2002_2_32",2002-02-14,2002-02-16,"BVA",1,0,2002,"Centre",52,743
"224","2002_2_32",2002-02-14,2002-02-16,"BVA",1,0,2002,"Droite",208,743
"225","2002_2_32",2002-02-14,2002-02-16,"BVA",1,0,2002,"Droite radicale et extreme droite",89,743
"226","2002_2_33",2002-02-13,2002-02-15,"Sofres",6,0,2002,"Gauche radicale et extrême gauche",125,1000
"227","2002_2_33",2002-02-13,2002-02-15,"Sofres",6,0,2002,"Gauche",390,1000
"228","2002_2_33",2002-02-13,2002-02-15,"Sofres",6,0,2002,"Centre",60,1000
"229","2002_2_33",2002-02-13,2002-02-15,"Sofres",6,0,2002,"Droite",325,1000
"230","2002_2_33",2002-02-13,2002-02-15,"Sofres",6,0,2002,"Droite radicale et extreme droite",100,1000
"231","2002_2_34",2002-02-13,2002-02-14,"CSA",2,0,2002,"Gauche radicale et extrême gauche",110,1000
"232","2002_2_34",2002-02-13,2002-02-14,"CSA",2,0,2002,"Gauche",390,1000
"233","2002_2_34",2002-02-13,2002-02-14,"CSA",2,0,2002,"Centre",80,1000
"234","2002_2_34",2002-02-13,2002-02-14,"CSA",2,0,2002,"Droite",300,1000
"235","2002_2_34",2002-02-13,2002-02-14,"CSA",2,0,2002,"Droite radicale et extreme droite",120,1000
"236","2002_2_35",2002-02-12,2002-02-12,"Ipsos",4,0,2002,"Gauche radicale et extrême gauche",127,1017
"237","2002_2_35",2002-02-12,2002-02-12,"Ipsos",4,0,2002,"Gauche",412,1017
"238","2002_2_35",2002-02-12,2002-02-12,"Ipsos",4,0,2002,"Centre",62,1017
"239","2002_2_35",2002-02-12,2002-02-12,"Ipsos",4,0,2002,"Droite",325,1017
"240","2002_2_35",2002-02-12,2002-02-12,"Ipsos",4,0,2002,"Droite radicale et extreme droite",91,1017
"241","2002_2_36",2002-02-08,2002-02-09,"Ipsos",4,0,2002,"Gauche radicale et extrême gauche",123,909
"242","2002_2_36",2002-02-08,2002-02-09,"Ipsos",4,0,2002,"Gauche",364,909
"243","2002_2_36",2002-02-08,2002-02-09,"Ipsos",4,0,2002,"Centre",63,909
"244","2002_2_36",2002-02-08,2002-02-09,"Ipsos",4,0,2002,"Droite",259,909
"245","2002_2_36",2002-02-08,2002-02-09,"Ipsos",4,0,2002,"Droite radicale et extreme droite",100,909
"246","2002_2_37",2002-02-07,2002-02-08,"Ifop",3,0,2002,"Gauche radicale et extrême gauche",125,933
"247","2002_2_37",2002-02-07,2002-02-08,"Ifop",3,0,2002,"Gauche",385,933
"248","2002_2_37",2002-02-07,2002-02-08,"Ifop",3,0,2002,"Centre",67,933
"249","2002_2_37",2002-02-07,2002-02-08,"Ifop",3,0,2002,"Droite",279,933
"250","2002_2_37",2002-02-07,2002-02-08,"Ifop",3,0,2002,"Droite radicale et extreme droite",77,933
"251","2002_2_38",2002-02-01,2002-02-02,"Ipsos",4,0,2002,"Gauche radicale et extrême gauche",117,927
"252","2002_2_38",2002-02-01,2002-02-02,"Ipsos",4,0,2002,"Gauche",394,927
"253","2002_2_38",2002-02-01,2002-02-02,"Ipsos",4,0,2002,"Centre",83,927
"254","2002_2_38",2002-02-01,2002-02-02,"Ipsos",4,0,2002,"Droite",250,927
"255","2002_2_38",2002-02-01,2002-02-02,"Ipsos",4,0,2002,"Droite radicale et extreme droite",83,927
"256","2002_2_39",2002-02-01,2002-02-02,"Louis Harris",5,0,2002,"Gauche radicale et extrême gauche",101,842
"257","2002_2_39",2002-02-01,2002-02-02,"Louis Harris",5,0,2002,"Gauche",358,842
"258","2002_2_39",2002-02-01,2002-02-02,"Louis Harris",5,0,2002,"Centre",84,842
"259","2002_2_39",2002-02-01,2002-02-02,"Louis Harris",5,0,2002,"Droite",215,842
"260","2002_2_39",2002-02-01,2002-02-02,"Louis Harris",5,0,2002,"Droite radicale et extreme droite",84,842
"261","2002_2_4",2002-03-27,2002-03-28,"Sofres",6,0,2002,"Gauche radicale et extrême gauche",165,1000
"262","2002_2_4",2002-03-27,2002-03-28,"Sofres",6,0,2002,"Gauche",345,1000
"263","2002_2_4",2002-03-27,2002-03-28,"Sofres",6,0,2002,"Centre",90,1000
"264","2002_2_4",2002-03-27,2002-03-28,"Sofres",6,0,2002,"Droite",285,1000
"265","2002_2_4",2002-03-27,2002-03-28,"Sofres",6,0,2002,"Droite radicale et extreme droite",115,1000
"266","2002_2_40",2002-02-01,2002-02-02,"Sofres",6,0,2002,"Gauche radicale et extrême gauche",135,1000
"267","2002_2_40",2002-02-01,2002-02-02,"Sofres",6,0,2002,"Gauche",395,1000
"268","2002_2_40",2002-02-01,2002-02-02,"Sofres",6,0,2002,"Centre",90,1000
"269","2002_2_40",2002-02-01,2002-02-02,"Sofres",6,0,2002,"Droite",255,1000
"270","2002_2_40",2002-02-01,2002-02-02,"Sofres",6,0,2002,"Droite radicale et extreme droite",125,1000
"271","2002_2_41",2002-01-31,2002-02-02,"BVA",1,0,2002,"Gauche radicale et extrême gauche",102,788
"272","2002_2_41",2002-01-31,2002-02-02,"BVA",1,0,2002,"Gauche",323,788
"273","2002_2_41",2002-01-31,2002-02-02,"BVA",1,0,2002,"Centre",71,788
"274","2002_2_41",2002-01-31,2002-02-02,"BVA",1,0,2002,"Droite",201,788
