"","PollingFirm","SampleSize","poll_id","Candidate","Percentage","start_day","end_day"
"244","Elabe",1000,1026,"Macron",25.5,2017-03-05,2017-03-06
"245","Elabe",1000,1026,"Fillon",19,2017-03-05,2017-03-06
"246","Elabe",1000,1026,"Dupont-Aignan",3,2017-03-05,2017-03-06
"247","Elabe",1000,1026,"Le Pen",26,2017-03-05,2017-03-06
"248","OpinionWay",1559,1027,"Arthaud",0,2017-03-04,2017-03-06
"249","OpinionWay",1559,1027,"Poutou",0,2017-03-04,2017-03-06
"250","OpinionWay",1559,1027,"Mélenchon",10,2017-03-04,2017-03-06
"251","OpinionWay",1559,1027,"Hamon",16,2017-03-04,2017-03-06
"252","OpinionWay",1559,1027,"Macron",25,2017-03-04,2017-03-06
"253","OpinionWay",1559,1027,"Fillon",20,2017-03-04,2017-03-06
"254","OpinionWay",1559,1027,"Dupont-Aignan",3,2017-03-04,2017-03-06
"255","OpinionWay",1559,1027,"Le Pen",26,2017-03-04,2017-03-06
"256","Ifop-fiducial",1381,1028,"_Abstention",35.5,2017-03-02,2017-03-06
"257","Ifop-fiducial",1381,1028,"Arthaud",0.5,2017-03-02,2017-03-06
"258","Ifop-fiducial",1381,1028,"Poutou",0.5,2017-03-02,2017-03-06
"259","Ifop-fiducial",1381,1028,"Mélenchon",11.5,2017-03-02,2017-03-06
"260","Ifop-fiducial",1381,1028,"Hamon",13.5,2017-03-02,2017-03-06
"261","Ifop-fiducial",1381,1028,"Macron",25.5,2017-03-02,2017-03-06
"262","Ifop-fiducial",1381,1028,"Fillon",19,2017-03-02,2017-03-06
"263","Ifop-fiducial",1381,1028,"Dupont-Aignan",3,2017-03-02,2017-03-06
"264","Ifop-fiducial",1381,1028,"Le Pen",26.5,2017-03-02,2017-03-06
"265","Ifop-fiducial",1381,1028,"Cheminade",0,2017-03-02,2017-03-06
"266","OpinionWay",1671,1029,"Arthaud",0,2017-03-03,2017-03-05
"267","OpinionWay",1671,1029,"Poutou",1,2017-03-03,2017-03-05
"268","OpinionWay",1671,1029,"Mélenchon",11,2017-03-03,2017-03-05
"269","OpinionWay",1671,1029,"Hamon",15,2017-03-03,2017-03-05
"270","OpinionWay",1671,1029,"Macron",24,2017-03-03,2017-03-05
"271","OpinionWay",1671,1029,"Fillon",19,2017-03-03,2017-03-05
"272","OpinionWay",1671,1029,"Dupont-Aignan",3,2017-03-03,2017-03-05
"273","OpinionWay",1671,1029,"Le Pen",27,2017-03-03,2017-03-05
"274","Ipsos",10854,1030,"_Abstention",34,2017-03-01,2017-03-05
"275","Ipsos",10854,1030,"Arthaud",1,2017-03-01,2017-03-05
"276","Ipsos",10854,1030,"Poutou",1,2017-03-01,2017-03-05
"277","Ipsos",10854,1030,"Mélenchon",11.5,2017-03-01,2017-03-05
"278","Ipsos",10854,1030,"Hamon",14,2017-03-01,2017-03-05
"279","Ipsos",10854,1030,"Macron",25,2017-03-01,2017-03-05
"280","Ipsos",10854,1030,"Fillon",17.5,2017-03-01,2017-03-05
"281","Ipsos",10854,1030,"Dupont-Aignan",3,2017-03-01,2017-03-05
"282","Ipsos",10854,1030,"Le Pen",27,2017-03-01,2017-03-05
"283","Ipsos",10854,1030,"Cheminade",0,2017-03-01,2017-03-05
"284","Ifop-fiducial",1822,1031,"_Abstention",35,2017-03-02,2017-03-04
"285","Ifop-fiducial",1822,1031,"Arthaud",0.5,2017-03-02,2017-03-04
"286","Ifop-fiducial",1822,1031,"Poutou",0.5,2017-03-02,2017-03-04
"287","Ifop-fiducial",1822,1031,"Mélenchon",12,2017-03-02,2017-03-04
"288","Ifop-fiducial",1822,1031,"Hamon",14,2017-03-02,2017-03-04
"289","Ifop-fiducial",1822,1031,"Macron",25.5,2017-03-02,2017-03-04
"290","Ifop-fiducial",1822,1031,"Fillon",18.5,2017-03-02,2017-03-04
"291","Ifop-fiducial",1822,1031,"Dupont-Aignan",2.5,2017-03-02,2017-03-04
"292","Ifop-fiducial",1822,1031,"Le Pen",26.5,2017-03-02,2017-03-04
"293","Ifop-fiducial",1822,1031,"Cheminade",0,2017-03-02,2017-03-04
"294","Ifop-fiducial",1822,1032,"_Abstention",35,2017-03-02,2017-03-04
"295","Ifop-fiducial",1822,1032,"Arthaud",0.5,2017-03-02,2017-03-04
"296","Ifop-fiducial",1822,1032,"Poutou",0.5,2017-03-02,2017-03-04
"297","Ifop-fiducial",1822,1032,"Mélenchon",11.5,2017-03-02,2017-03-04
"298","Ifop-fiducial",1822,1032,"Hamon",13,2017-03-02,2017-03-04
"299","Ifop-fiducial",1822,1032,"Macron",23,2017-03-02,2017-03-04
"300","Ifop-fiducial",1822,1032,"Juppé",20,2017-03-02,2017-03-04
"301","Ifop-fiducial",1822,1032,"Dupont-Aignan",3,2017-03-02,2017-03-04
"302","Ifop-fiducial",1822,1032,"Le Pen",28.5,2017-03-02,2017-03-04
"303","Ifop-fiducial",1822,1032,"Cheminade",0,2017-03-02,2017-03-04
"304","Kantar Sofres",700,1033,"_Abstention",31,2017-03-02,2017-03-04
"305","Kantar Sofres",700,1033,"Arthaud",1,2017-03-02,2017-03-04
"306","Kantar Sofres",700,1033,"Poutou",1,2017-03-02,2017-03-04
"307","Kantar Sofres",700,1033,"Mélenchon",12,2017-03-02,2017-03-04
"308","Kantar Sofres",700,1033,"Hamon",16,2017-03-02,2017-03-04
"309","Kantar Sofres",700,1033,"Macron",25,2017-03-02,2017-03-04
"310","Kantar Sofres",700,1033,"Fillon",17,2017-03-02,2017-03-04
"311","Kantar Sofres",700,1033,"Dupont-Aignan",2,2017-03-02,2017-03-04
"312","Kantar Sofres",700,1033,"Le Pen",26,2017-03-02,2017-03-04
"313","Kantar Sofres",700,1033,"Cheminade",0,2017-03-02,2017-03-04
"314","Kantar Sofres",700,1034,"_Abstention",31,2017-03-02,2017-03-04
"315","Kantar Sofres",700,1034,"Arthaud",1,2017-03-02,2017-03-04
"316","Kantar Sofres",700,1034,"Poutou",1,2017-03-02,2017-03-04
"317","Kantar Sofres",700,1034,"Mélenchon",11,2017-03-02,2017-03-04
"318","Kantar Sofres",700,1034,"Hamon",13,2017-03-02,2017-03-04
"319","Kantar Sofres",700,1034,"Macron",20,2017-03-02,2017-03-04
"320","Kantar Sofres",700,1034,"Juppé",24.5,2017-03-02,2017-03-04
"321","Kantar Sofres",700,1034,"Dupont-Aignan",2.5,2017-03-02,2017-03-04
"322","Kantar Sofres",700,1034,"Le Pen",27,2017-03-02,2017-03-04
"323","Kantar Sofres",700,1034,"Cheminade",0,2017-03-02,2017-03-04
"324","Ifop-fiducial",1383,1035,"_Abstention",35,2017-02-28,2017-03-03
"325","Ifop-fiducial",1383,1035,"Arthaud",0.5,2017-02-28,2017-03-03
"326","Ifop-fiducial",1383,1035,"Poutou",0.5,2017-02-28,2017-03-03
"327","Ifop-fiducial",1383,1035,"Mélenchon",11,2017-02-28,2017-03-03
"328","Ifop-fiducial",1383,1035,"Hamon",14,2017-02-28,2017-03-03
"329","Ifop-fiducial",1383,1035,"Macron",24.5,2017-02-28,2017-03-03
"330","Ifop-fiducial",1383,1035,"Fillon",20,2017-02-28,2017-03-03
"331","Ifop-fiducial",1383,1035,"Dupont-Aignan",2.5,2017-02-28,2017-03-03
"332","Ifop-fiducial",1383,1035,"Le Pen",27,2017-02-28,2017-03-03
"333","Ifop-fiducial",1383,1035,"Cheminade",0,2017-02-28,2017-03-03
"334","Odoxa",907,1036,"Arthaud",0.5,2017-03-01,2017-03-02
"335","Odoxa",907,1036,"Poutou",1,2017-03-01,2017-03-02
"336","Odoxa",907,1036,"Mélenchon",10,2017-03-01,2017-03-02
"337","Odoxa",907,1036,"Hamon",14,2017-03-01,2017-03-02
"338","Odoxa",907,1036,"Macron",27,2017-03-01,2017-03-02
"339","Odoxa",907,1036,"Fillon",19,2017-03-01,2017-03-02
"340","Odoxa",907,1036,"Dupont-Aignan",3,2017-03-01,2017-03-02
"341","Odoxa",907,1036,"Le Pen",25.5,2017-03-01,2017-03-02
"342","Odoxa",907,1037,"Arthaud",0.5,2017-03-01,2017-03-02
"343","Odoxa",907,1037,"Poutou",1,2017-03-01,2017-03-02
"344","Odoxa",907,1037,"Mélenchon",8,2017-03-01,2017-03-02
