date,president,pollster,N,method,p_approve,p_disapprove,term_id,pollster_id,method_id,president_id,y,year,date_first_round,date_second_round,date_next_first_round,three_weeks,month,years,bloc,bloc_id
1982-11-17,mitterrand1,BVA,914,phone,0.48,0.4,1,1,4,2,438,1981,1981-04-26,1981-05-10,1988-04-24,27,11,2,Gauche,3
1982-11-25,mitterrand1,Kantar,939,face to face,0.49,0.46,1,6,1,2,460,1981,1981-04-26,1981-05-10,1988-04-24,27,11,2,Gauche,3
1982-12-15,mitterrand1,Ifop,1054,phone,0.37,0.46,1,4,4,2,389,1981,1981-04-26,1981-05-10,1988-04-24,28,12,2,Gauche,3
1982-12-18,mitterrand1,BVA,1026,phone,0.53,0.37,1,1,4,2,543,1981,1981-04-26,1981-05-10,1988-04-24,28,12,2,Gauche,3
1982-12-20,mitterrand1,Kantar,1000,face to face,0.48,0.47,1,6,1,2,480,1981,1981-04-26,1981-05-10,1988-04-24,29,12,2,Gauche,3
1983-01-20,mitterrand1,Ifop,962,phone,0.39,0.42,1,4,4,2,375,1981,1981-04-26,1981-05-10,1988-04-24,30,1,3,Gauche,3
1983-01-24,mitterrand1,BVA,1009,phone,0.48,0.38,1,1,4,2,484,1981,1981-04-26,1981-05-10,1988-04-24,30,1,3,Gauche,3
1983-01-28,mitterrand1,Kantar,955,face to face,0.5,0.45,1,6,1,2,477,1981,1981-04-26,1981-05-10,1988-04-24,30,1,3,Gauche,3
1983-02-16,mitterrand1,Ifop,920,phone,0.42,0.42,1,4,4,2,386,1981,1981-04-26,1981-05-10,1988-04-24,31,2,3,Gauche,3
1983-02-21,mitterrand1,Kantar,1015,face to face,0.48,0.46,1,6,1,2,487,1981,1981-04-26,1981-05-10,1988-04-24,32,2,3,Gauche,3
1983-02-26,mitterrand1,BVA,971,phone,0.55,0.33,1,1,4,2,534,1981,1981-04-26,1981-05-10,1988-04-24,32,2,3,Gauche,3
1983-03-18,mitterrand1,Ifop,918,phone,0.45,0.38,1,4,4,2,413,1981,1981-04-26,1981-05-10,1988-04-24,33,3,3,Gauche,3
1983-03-26,mitterrand1,Kantar,949,face to face,0.48,0.46,1,6,1,2,455,1981,1981-04-26,1981-05-10,1988-04-24,33,3,3,Gauche,3
1983-03-27,mitterrand1,BVA,901,phone,0.48,0.36,1,1,4,2,432,1981,1981-04-26,1981-05-10,1988-04-24,33,3,3,Gauche,3
1983-04-16,mitterrand1,BVA,1014,phone,0.46,0.41,1,1,4,2,466,1981,1981-04-26,1981-05-10,1988-04-24,34,4,3,Gauche,3
1983-04-19,mitterrand1,Ifop,982,phone,0.38,0.48,1,4,4,2,373,1981,1981-04-26,1981-05-10,1988-04-24,34,4,3,Gauche,3
1983-04-26,mitterrand1,Kantar,1084,face to face,0.49,0.47,1,6,1,2,531,1981,1981-04-26,1981-05-10,1988-04-24,35,4,3,Gauche,3
1983-05-20,mitterrand1,Ifop,1030,phone,0.33,0.5,1,4,4,2,339,1981,1981-04-26,1981-05-10,1988-04-24,36,5,3,Gauche,3
1983-05-21,mitterrand1,Kantar,981,face to face,0.46,0.51,1,6,1,2,451,1981,1981-04-26,1981-05-10,1988-04-24,36,5,3,Gauche,3
1983-05-26,mitterrand1,BVA,1064,phone,0.39,0.48,1,1,4,2,414,1981,1981-04-26,1981-05-10,1988-04-24,36,5,3,Gauche,3
1983-06-20,mitterrand1,Ifop,968,phone,0.35,0.53,1,4,4,2,338,1981,1981-04-26,1981-05-10,1988-04-24,37,6,3,Gauche,3
1983-06-21,mitterrand1,Kantar,1077,face to face,0.4,0.58,1,6,1,2,430,1981,1981-04-26,1981-05-10,1988-04-24,37,6,3,Gauche,3
1983-06-27,mitterrand1,BVA,949,phone,0.37,0.47,1,1,4,2,351,1981,1981-04-26,1981-05-10,1988-04-24,38,6,3,Gauche,3
1983-07-17,mitterrand1,Ifop,1065,phone,0.35,0.51,1,4,4,2,372,1981,1981-04-26,1981-05-10,1988-04-24,39,7,3,Gauche,3
1983-07-20,mitterrand1,Kantar,1084,face to face,0.41,0.54,1,6,1,2,444,1981,1981-04-26,1981-05-10,1988-04-24,39,7,3,Gauche,3
1983-07-29,mitterrand1,BVA,1076,phone,0.39,0.47,1,1,4,2,419,1981,1981-04-26,1981-05-10,1988-04-24,39,7,3,Gauche,3
1983-08-20,mitterrand1,Ifop,1033,phone,0.35,0.53,1,4,4,2,361,1981,1981-04-26,1981-05-10,1988-04-24,40,8,3,Gauche,3
1983-08-27,mitterrand1,Kantar,937,face to face,0.43,0.51,1,6,1,2,402,1981,1981-04-26,1981-05-10,1988-04-24,40,8,3,Gauche,3
1983-09-16,mitterrand1,Ifop,990,phone,0.33,0.53,1,4,4,2,326,1981,1981-04-26,1981-05-10,1988-04-24,41,9,3,Gauche,3
1983-09-18,mitterrand1,BVA,984,phone,0.4,0.46,1,1,4,2,393,1981,1981-04-26,1981-05-10,1988-04-24,42,9,3,Gauche,3
1983-09-21,mitterrand1,Kantar,1073,face to face,0.38,0.56,1,6,1,2,407,1981,1981-04-26,1981-05-10,1988-04-24,42,9,3,Gauche,3
1983-10-19,mitterrand1,Ifop,950,phone,0.32,0.54,1,4,4,2,304,1981,1981-04-26,1981-05-10,1988-04-24,43,10,3,Gauche,3
1983-10-21,mitterrand1,Kantar,996,face to face,0.42,0.54,1,6,1,2,418,1981,1981-04-26,1981-05-10,1988-04-24,43,10,3,Gauche,3
1983-10-29,mitterrand1,BVA,1078,phone,0.41,0.48,1,1,4,2,441,1981,1981-04-26,1981-05-10,1988-04-24,43,10,3,Gauche,3
1983-11-19,mitterrand1,Ifop,1008,phone,0.39,0.48,1,4,4,2,393,1981,1981-04-26,1981-05-10,1988-04-24,44,11,3,Gauche,3
1983-11-20,mitterrand1,Kantar,1075,face to face,0.46,0.5,1,6,1,2,494,1981,1981-04-26,1981-05-10,1988-04-24,45,11,3,Gauche,3
1983-12-16,mitterrand1,Ifop,1047,phone,0.37,0.47,1,4,4,2,387,1981,1981-04-26,1981-05-10,1988-04-24,46,12,3,Gauche,3
1983-12-20,mitterrand1,BVA,1076,phone,0.45,0.46,1,1,4,2,484,1981,1981-04-26,1981-05-10,1988-04-24,46,12,3,Gauche,3
1983-12-22,mitterrand1,Kantar,978,face to face,0.47,0.48,1,6,1,2,459,1981,1981-04-26,1981-05-10,1988-04-24,46,12,3,Gauche,3
1984-01-18,mitterrand1,Ifop,917,phone,0.34,0.52,1,4,4,2,311,1981,1981-04-26,1981-05-10,1988-04-24,47,1,4,Gauche,3
1984-01-28,mitterrand1,Kantar,999,face to face,0.44,0.52,1,6,1,2,439,1981,1981-04-26,1981-05-10,1988-04-24,48,1,4,Gauche,3
1984-01-30,mitterrand1,BVA,1038,phone,0.43,0.44,1,1,4,2,446,1981,1981-04-26,1981-05-10,1988-04-24,48,1,4,Gauche,3
1984-02-17,mitterrand1,Ifop,1062,phone,0.35,0.49,1,4,4,2,371,1981,1981-04-26,1981-05-10,1988-04-24,49,2,4,Gauche,3
1984-02-21,mitterrand1,Kantar,1016,face to face,0.43,0.53,1,6,1,2,436,1981,1981-04-26,1981-05-10,1988-04-24,49,2,4,Gauche,3
1984-02-26,mitterrand1,BVA,1038,phone,0.43,0.45,1,1,4,2,446,1981,1981-04-26,1981-05-10,1988-04-24,49,2,4,Gauche,3
1984-03-15,mitterrand1,Ifop,937,phone,0.32,0.51,1,4,4,2,299,1981,1981-04-26,1981-05-10,1988-04-24,50,3,4,Gauche,3
1984-03-21,mitterrand1,BVA,974,phone,0.41,0.46,1,1,4,2,399,1981,1981-04-26,1981-05-10,1988-04-24,50,3,4,Gauche,3
1984-03-22,mitterrand1,Kantar,987,face to face,0.44,0.52,1,6,1,2,434,1981,1981-04-26,1981-05-10,1988-04-24,50,3,4,Gauche,3
1984-04-19,mitterrand1,Ifop,957,phone,0.34,0.5,1,4,4,2,325,1981,1981-04-26,1981-05-10,1988-04-24,52,4,4,Gauche,3
1984-04-20,mitterrand1,BVA,1004,phone,0.36,0.54,1,1,4,2,361,1981,1981-04-26,1981-05-10,1988-04-24,52,4,4,Gauche,3
1984-04-27,mitterrand1,Kantar,1066,face to face,0.4,0.54,1,6,1,2,426,1981,1981-04-26,1981-05-10,1988-04-24,52,4,4,Gauche,3
1984-05-15,mitterrand1,Ifop,1089,phone,0.3,0.54,1,4,4,2,326,1981,1981-04-26,1981-05-10,1988-04-24,53,5,4,Gauche,3
1984-05-16,mitterrand1,BVA,1075,phone,0.35,0.51,1,1,4,2,376,1981,1981-04-26,1981-05-10,1988-04-24,53,5,4,Gauche,3
1984-05-27,mitterrand1,Kantar,1088,face to face,0.41,0.54,1,6,1,2,446,1981,1981-04-26,1981-05-10,1988-04-24,54,5,4,Gauche,3
1984-06-16,mitterrand1,BVA,1078,phone,0.44,0.47,1,1,4,2,474,1981,1981-04-26,1981-05-10,1988-04-24,54,6,4,Gauche,3
1984-06-17,mitterrand1,Ifop,996,phone,0.33,0.53,1,4,4,2,328,1981,1981-04-26,1981-05-10,1988-04-24,55,6,4,Gauche,3
1984-06-22,mitterrand1,Kantar,1021,face to face,0.4,0.56,1,6,1,2,408,1981,1981-04-26,1981-05-10,1988-04-24,55,6,4,Gauche,3
1984-07-17,mitterrand1,Ifop,971,phone,0.33,0.52,1,4,4,2,320,1981,1981-04-26,1981-05-10,1988-04-24,56,7,4,Gauche,3
1984-07-19,mitterrand1,BVA,945,phone,0.35,0.54,1,1,4,2,330,1981,1981-04-26,1981-05-10,1988-04-24,56,7,4,Gauche,3
1984-07-26,mitterrand1,Kantar,1043,face to face,0.4,0.56,1,6,1,2,417,1981,1981-04-26,1981-05-10,1988-04-24,56,7,4,Gauche,3
1984-08-15,mitterrand1,Ifop,936,phone,0.32,0.51,1,4,4,2,299,1981,1981-04-26,1981-05-10,1988-04-24,57,8,4,Gauche,3
1984-08-24,mitterrand1,Kantar,1034,face to face,0.4,0.56,1,6,1,2,413,1981,1981-04-26,1981-05-10,1988-04-24,58,8,4,Gauche,3
1984-09-19,mitterrand1,Ifop,964,phone,0.33,0.54,1,4,4,2,318,1981,1981-04-26,1981-05-10,1988-04-24,59,9,4,Gauche,3
1984-09-20,mitterrand1,Kantar,983,face to face,0.38,0.57,1,6,1,2,373,1981,1981-04-26,1981-05-10,1988-04-24,59,9,4,Gauche,3
1984-09-30,mitterrand1,BVA,947,phone,0.33,0.53,1,1,4,2,312,1981,1981-04-26,1981-05-10,1988-04-24,60,9,4,Gauche,3
1984-10-19,mitterrand1,Ifop,1000,phone,0.31,0.52,1,4,4,2,310,1981,1981-04-26,1981-05-10,1988-04-24,60,10,4,Gauche,3
1984-10-22,mitterrand1,Kantar,931,face to face,0.37,0.59,1,6,1,2,344,1981,1981-04-26,1981-05-10,1988-04-24,61,10,4,Gauche,3
1984-10-26,mitterrand1,BVA,994,phone,0.37,0.55,1,1,4,2,367,1981,1981-04-26,1981-05-10,1988-04-24,61,10,4,Gauche,3
1984-11-20,mitterrand1,Ifop,920,phone,0.26,0.57,1,4,4,2,239,1981,1981-04-26,1981-05-10,1988-04-24,62,11,4,Gauche,3
1984-11-23,mitterrand1,BVA,1074,phone,0.37,0.56,1,1,4,2,397,1981,1981-04-26,1981-05-10,1988-04-24,62,11,4,Gauche,3
1984-11-26,mitterrand1,Kantar,945,face to face,0.36,0.6,1,6,1,2,340,1981,1981-04-26,1981-05-10,1988-04-24,62,11,4,Gauche,3
1984-12-16,mitterrand1,Ifop,939,phone,0.28,0.55,1,4,4,2,262,1981,1981-04-26,1981-05-10,1988-04-24,63,12,4,Gauche,3
1984-12-19,mitterrand1,BVA,973,phone,0.33,0.55,1,1,4,2,321,1981,1981-04-26,1981-05-10,1988-04-24,63,12,4,Gauche,3
1984-12-24,mitterrand1,Kantar,916,face to face,0.36,0.6,1,6,1,2,329,1981,1981-04-26,1981-05-10,1988-04-24,64,12,4,Gauche,3
1985-01-16,mitterrand1,Ifop,983,phone,0.31,0.54,1,4,4,2,304,1981,1981-04-26,1981-05-10,1988-04-24,65,1,5,Gauche,3
1985-01-27,mitterrand1,BVA,977,phone,0.32,0.58,1,1,4,2,312,1981,1981-04-26,1981-05-10,1988-04-24,65,1,5,Gauche,3
