pollName,dates,sampleSize,Abs.,Arthaud,Poutou,Mélenchon,Chevènement,Hollande,Joly,Bayrou,Lepage,Villepin,Morin,Nihous,Sarkozy,Boutin,Dupont-Aignan,Le Pen,Cheminade
Ifop-Fiducial*,11–12 Mar 2012,"1,638",–,0.50%,<0.5%,10%,–,27%,2.50%,13%,0.50%,1%,–,–,28.50%,–,1%,16%,<0.5%
Ifop-Fiducial,8–12 Mar 2012,874,–,0.50%,<0.5%,9.50%,–,28.50%,2.50%,12%,0.50%,1%,–,–,28%,–,1%,16.50%,<0.5%
Ifop-Fiducial,6–9 Mar 2012,922,–,0.50%,0.50%,9.50%,–,29%,2.50%,11.50%,1%,1%,–,–,27%,–,0.50%,17%,–
Ifop-Fiducial,5–8 Mar 2012,924,–,<0.5%,0.50%,9.50%,–,29%,2.50%,12%,1%,1%,–,–,26.50%,–,0.50%,17.50%,–
OpinionWay,5–7 Mar 2012,"1,098",–,0.50%,0.50%,8%,–,29%,3%,13%,0.50%,1.50%,–,–,26%,–,1%,17%,–
Ifop-Fiducial,3–7 Mar 2012,"1,182",–,<0.5%,<0.5%,8.50%,–,29.50%,3%,12.50%,1%,1%,–,–,26%,–,0.50%,18%,–
Ifop-Fiducial,3–6 Mar 2012,877,–,<0.5%,<0.5%,8%,–,29.50%,3%,12.50%,1%,1%,–,–,26%,–,0.50%,18.50%,–
CSA,5-Mar-12,888,–,<0.5%,<0.5%,10%,–,30%,2%,13%,0.50%,1.50%,–,–,28%,–,<0.5%,15%,–
Harris Interactive,1–5 Mar 2012,975,–,1%,1%,9%,–,27%,3%,13%,1%,1%,–,–,25%,–,1%,18%,–
Ifop-Fiducial,1–5 Mar 2012,867,–,0.50%,<0.5%,7.50%,–,29%,3%,12%,1%,1%,–,–,26%,–,1%,19%,–
BVA,2–3 Mar 2012,761,–,1%,1%,8%,–,33%,2%,13%,<0.5%,2%,–,–,25%,–,1%,14%,<0.5%
Ipsos,2–3 Mar 2012,966,22%,0.50%,0.50%,9.50%,–,29.50%,2%,12.50%,0.50%,1.50%,–,–,25%,–,1%,17.50%,–
LH2,2–3 Mar 2012,971,–,1%,1%,8.50%,–,30.50%,4.50%,15%,<0.5%,1%,–,–,23%,–,0.50%,15%,–
Ifop-Fiducial,28 Feb–2 Mar 2012,912,–,0.50%,0.50%,8%,–,29%,3%,12%,0.50%,1.50%,–,–,25.50%,–,1%,18.50%,–
Ifop-Fiducial,27 Feb–1 Mar 2012,929,–,0.50%,0.50%,8%,–,29%,3%,12.50%,0.50%,1.50%,–,–,25.50%,–,1%,18%,–
Ifop-Fiducial,24–29 Feb 2012,"1,187",–,0.50%,0.50%,8.50%,–,28%,3%,12%,0.50%,1%,–,–,26.50%,–,1.50%,18%,–
Ifop-Fiducial,24–28 Feb 2012,888,–,0.50%,0.50%,9%,–,28%,2.50%,12%,0.50%,1%,–,–,27%,–,1%,18%,–
TNS Sofres,27-Feb-12,"1,000",26%,<0.5%,<0.5%,9.50%,–,30%,2.50%,10.50%,1%,1%,–,–,28%,–,<0.5%,17%,0.50%
Ifop-Fiducial*,23–26 Feb 2012,"1,723",–,0.50%,0.50%,8.50%,–,28.50%,3%,12.50%,0.50%,1%,–,–,27%,–,1%,17%,–
Ifop-Fiducial,23–26 Feb 2012,882,–,0.50%,0.50%,9%,–,28%,3%,12%,0.50%,1%,–,–,27%,–,1%,17.50%,–
Ipsos,24–25 Feb 2012,959,25%,0.50%,0.50%,8%,–,31.50%,2.50%,11.50%,0.50%,1%,–,–,27%,–,1%,16%,–
Ifop-Fiducial,21–24 Feb 2012,931,–,0.50%,1%,8%,–,27.50%,3%,12.50%,0.50%,1.50%,–,<0.5%,26.50%,–,1%,18%,–
Ifop-Fiducial,20–23 Feb 2012,931,–,0.50%,1%,8%,–,28.50%,2.50%,11.50%,0.50%,1.50%,–,<0.5%,26.50%,–,1%,18.50%,–
Ifop-Fiducial,18–22 Feb 2012,"1,180",–,0.50%,0.50%,8.50%,–,29%,2.50%,11%,1%,1.50%,–,<0.5%,27%,–,0.50%,18%,–
Ifop-Fiducial,18–21 Feb 2012,874,–,0.50%,0.50%,8.50%,–,29%,2.50%,11%,1%,2%,–,<0.5%,27%,–,0.50%,17.50%,–
CSA,20-Feb-12,891,–,0.50%,<0.5%,9%,–,28%,3%,11%,0.50%,2%,–,0.50%,27%,–,1.50%,17%,–
Ifop-Fiducial,16–20 Feb 2012,872,–,0.50%,<0.5%,9%,–,29%,2.50%,11%,1%,2%,–,<0.5%,27%,–,0.50%,17.50%,–
Ipsos,17–18 Feb 2012,969,23%,0.50%,0.50%,9%,–,32%,3%,11%,1%,1.50%,–,<0.5%,25%,–,0.50%,16%,–
LH2,17–18 Feb 2012,967,–,1%,<0.5%,8%,–,32%,3%,13%,0.50%,1.50%,–,0.50%,26%,–,0.50%,14%,–
OpinionWay,17–18 Feb 2012,975,–,0.50%,0.50%,8%,–,29%,2%,13%,0.50%,2%,–,0.50%,27%,–,0.50%,16.50%,–
Ifop-Fiducial,14–17 Feb 2012,938,–,0.50%,<0.5%,8.50%,–,29.50%,2.50%,12%,0.50%,2.50%,<0.5%,<0.5%,26%,–,1%,17%,–
BVA,15–16 Feb 2012,930,–,<0.5%,<0.5%,9%,–,31%,3%,13%,<0.5%,2%,<0.5%,<0.5%,26%,–,1%,15%,<0.5%
Ifop-Fiducial,13–16 Feb 2012,939,–,1%,<0.5%,7.50%,–,29.50%,2.50%,11.50%,0.50%,2.50%,<0.5%,0.50%,26.50%,–,1%,17%,–
Ifop-Fiducial,11–15 Feb 2012,"1,174",–,0.50%,<0.5%,8%,–,30%,3%,11.50%,1%,2%,<0.5%,0.50%,25.50%,<0.5%,0.50%,17.50%,–
Ifop-Fiducial,11–14 Feb 2012,867,–,0.50%,<0.5%,7.50%,–,30%,3.50%,11.50%,1%,2%,<0.5%,0.50%,25.50%,<0.5%,0.50%,17.50%,–
Harris Interactive,9–13 Feb 2012,954,–,<0.5%,<0.5%,8%,–,28%,4%,13%,1%,1%,<0.5%,<0.5%,24%,–,1%,20%,–
Ifop-Fiducial,9–13 Feb 2012,870,–,<0.5%,0.50%,8%,–,30%,3%,12%,0.50%,2%,<0.5%,0.50%,24.50%,0.50%,0.50%,18%,–
Ifop-Fiducial*,9–12 Feb 2012,"1,723",–,<0.5%,0.50%,8.50%,–,30%,3%,12.50%,0.50%,2%,<0.5%,<0.5%,25%,<0.5%,0.50%,17.50%,–
Ifop-Fiducial,7–10 Feb 2012,923,–,0.50%,0.50%,8%,–,31%,3%,10.50%,<0.5%,2%,0.50%,<0.5%,24.50%,<0.5%,0.50%,19%,–
Ifop-Fiducial,6–9 Feb 2012,913,–,1%,<0.5%,8%,–,31%,3%,10%,0.50%,1.50%,0.50%,<0.5%,24.50%,<0.5%,0.50%,19.50%,–
OpinionWay,6–8 Feb 2012,"1,215",–,0.50%,0.50%,7%,–,29%,3%,13%,0.50%,1%,0.50%,0.50%,25.50%,0.50%,0.50%,18%,–
Ifop-Fiducial,4–8 Feb 2012,"1,179",–,1%,<0.5%,8%,–,30.50%,3%,10.50%,0.50%,1%,0.50%,0.50%,24%,<0.5%,0.50%,20%,–
CSA,6–7 Feb 2012,869,–,0.50%,0.50%,8%,–,30%,2%,13%,<0.5%,1%,<0.5%,<0.5%,26%,0.50%,1%,17.50%,–
Ifop-Fiducial,4–7 Feb 2012,871,–,1%,<0.5%,8%,–,30%,2.50%,11%,0.50%,1%,0.50%,0.50%,24%,<0.5%,0.50%,20.50%,–
Ifop-Fiducial,2–6 Feb 2012,876,–,1%,0.50%,8.50%,–,30%,2.50%,11.50%,<0.5%,1%,0.50%,0.50%,23.50%,<0.5%,1%,19.50%,–
BVA,3–4 Feb 2012,779,–,<0.5%,<0.5%,7%,–,34%,2%,14%,<0.5%,1%,<0.5%,<0.5%,26%,<0.5%,<0.5%,16%,<0.5%
Ipsos,3–4 Feb 2012,953,26%,1%,0.50%,8.50%,–,32%,2%,12.50%,<0.5%,2%,<0.5%,<0.5%,25%,<0.5%,<0.5%,16%,–
3%,1%,10%,–,33.50%,3%,16%,<0.5%,2%,0.50%,<0.5%,28.50%,0.50%,1.50%,–,–,,,,
LH2,3–4 Feb 2012,955,–,1%,–,7.50%,–,34%,3%,12%,0.30%,1.50%,0%,–,25.50%,0.20%,–,15%,–
Ifop,31 Jan–3 Feb 2012,922,–,1%,1%,9%,–,33%,3%,17%,–,–,–,–,33%,–,3%,–,–
Ifop-Fiducial,0.50%,0.50%,8%,–,29.50%,2.50%,12.50%,<0.5%,1%,0.50%,0.50%,24.50%,<0.5%,1%,19%,–,,,
Ifop-Fiducial,30 Jan–2 Feb 2012,917,–,0.50%,0.50%,7.50%,<0.5%,30.50%,2.50%,12.50%,<0.5%,1%,0.50%,0.50%,24.50%,0.50%,0.50%,18.50%,–
Ifop-Fiducial,29 Jan–1 Feb 2012,"1,166",–,0.50%,0.50%,8%,0.50%,30.50%,2.50%,12%,<0.5%,1%,<0.5%,<0.5%,24.50%,0.50%,<0.5%,19.50%,–
BVA,30–31 Jan 2012,"1,407",–,<0.5%,<0.5%,8%,<0.5%,34%,3%,12%,<0.5%,2%,<0.5%,<0.5%,25%,<0.5%,1%,15%,–
Ifop-Fiducial,29–31 Jan 2012,866,–,0.50%,0.50%,7.50%,0.50%,31%,2.50%,12%,<0.5%,1%,<0.5%,<0.5%,23.50%,0.50%,0.50%,20%,–
TNS Sofres,30-Jan-12,"1,000",26%,<0.5%,<0.5%,9%,<0.5%,31.50%,3%,12%,0.50%,1.50%,<0.5%,<0.5%,26%,<0.5%,0.50%,16%,–
Ifop-Fiducial*,29–30 Jan 2012,"1,387",–,0.50%,<0.5%,7.50%,0.50%,31%,3%,11.50%,0.50%,1%,0.50%,<0.5%,24.50%,<0.5%,0.50%,19%,–
Ifop-Fiducial,27–30 Jan 2012,871,–,0.50%,0.50%,8%,0.50%,29.50%,2.50%,12.50%,0.50%,1%,0.50%,<0.5%,23%,<0.5%,0.50%,20.50%,–
Ifop-Fiducial,24–27 Jan 2012,935,–,0.50%,0.50%,8%,0.50%,28%,3%,13.50%,0.50%,1.50%,1%,<0.5%,22%,<0.5%,0.50%,20.50%,–
Ifop-Fiducial,23–26 Jan 2012,926,–,<0.5%,0.50%,8%,0.50%,27%,3.50%,13.50%,0.50%,2%,0.50%,<0.5%,23%,0.50%,0.50%,20%,–
OpinionWay,23–25 Jan 2012,"1,087",–,0.50%,0.50%,8%,0.50%,27.50%,3%,14%,1%,1%,1%,–,24%,1%,1%,17%,–
Ifop-Fiducial,21–25 Jan 2012,"1,178",–,0.50%,0.50%,7.50%,0.50%,27.50%,3%,13%,0.50%,2%,0.50%,0.50%,23%,0.50%,0.50%,20%,–
CSA,23–24 Jan 2012,898,–,<0.5%,<0.5%,9%,<0.5%,31%,2%,15%,<0.5%,1%,<0.5%,–,25%,<0.5%,<0.5%,17%,–
Ifop-Fiducial,21–24 Jan 2012,864,–,0.50%,0.50%,7.50%,0.50%,27.50%,3%,13%,0.50%,2.50%,0.50%,0.50%,23.50%,0.50%,0.50%,19%,–
Ifop-Fiducial,20–23 Jan 2012,877,–,0.50%,0.50%,7%,0.50%,27%,2.50%,13.50%,0.50%,2.50%,0.50%,0.50%,23.50%,0.50%,0.50%,20%,–
Harris Interactive,19–22 Jan 2012,"1,029",–,0.50%,<0.5%,8%,<0.5%,27%,4%,14%,<0.5%,1%,0.50%,0.50%,23%,0.50%,1%,20%,–
Ifop-Fiducial,17–20 Jan 2012,937,–,0.50%,0.50%,8%,0.50%,26.50%,3.50%,13%,<0.5%,3%,0.50%,<0.5%,23%,<0.5%,<0.5%,21%,–
BVA,18–19 Jan 2012,959,–,0.50%,<0.5%,7%,<0.5%,30%,4%,13%,<0.5%,1.50%,1%,<0.5%,23%,0.50%,1.50%,18%,–
Ifop-Fiducial,16–19 Jan 2012,923,–,0.50%,0.50%,8.50%,<0.5%,27%,3.50%,12%,0.50%,2.50%,1%,<0.5%,23%,<0.5%,<0.5%,21%,–
Ifop-Fiducial,14–18 Jan 2012,"1,168",–,0.50%,0.50%,8%,0.50%,28%,3%,12.50%,0.50%,1.50%,1%,<0.5%,24%,<0.5%,<0.5%,20%,–
Ifop-Fiducial,14–17 Jan 2012,864,–,<0.5%,0.50%,7.50%,0.50%,28.50%,2.50%,12.50%,1%,1.50%,1%,<0.5%,24.50%,<0.5%,0.50%,19.50%,–
Ifop-Fiducial,13–16 Jan 2012,872,–,<0.5%,<0.5%,7%,0.50%,28.50%,3%,12.50%,0.50%,1.50%,0.50%,<0.5%,25%,<0.5%,1%,20%,–
Ipsos,13–14 Jan 2012,948,23%,1%,<0.5%,7.50%,<0.5%,29%,3%,14%,0.50%,3%,<0.5%,<0.5%,23%,<0.5%,0.50%,18%,–
LH2,13–14 Jan 2012,966,–,0.50%,0%,8.50%,0.50%,30%,3%,14%,0.50%,2%,0%,–,23.50%,0.50%,0%,17%,–
Ifop-Fiducial*,11–13 Jan 2012,"1,550",–,0.50%,0.50%,7.50%,0.50%,28%,3%,12.50%,<0.5%,2%,0.50%,<0.5%,24%,<0.5%,1%,20%,–
Ifop-Fiducial,10–13 Jan 2012,942,–,0.50%,0.50%,6.50%,0.50%,27%,3.50%,12.50%,<0.5%,1.50%,0.50%,0.50%,24%,<0.5%,1%,21.50%,–
Ifop-Fiducial,9–12 Jan 2012,943,–,0.50%,0.50%,6.50%,0.50%,27%,3.50%,13%,<0.5%,2%,1%,<0.5%,23.50%,<0.5%,0.50%,21.50%,–
OpinionWay,10–11 Jan 2012,967,–,0.50%,1%,6%,0.50%,27%,3%,15%,0.50%,2%,1%,–,25%,0.50%,1%,17%,–
CSA,9–10 Jan 2012,875,–,<0.5%,0.50%,7%,<0.5%,29%,2%,13%,<0.5%,3%,<0.5%,–,26%,0.50%,<0.5%,19%,–
TNS Sofres**,6–9 Jan 2012,"2,007",–,0.50%,<0.5%,7%,1%,30%,4%,11%,0.50%,2.50%,<0.5%,<0.5%,25%,<0.5%,0.50%,18%,–
BVA,6–7 Jan 2012,815,–,1%,<0.5%,8%,1%,28%,4%,11%,1%,4%,<0.5%,<0.5%,24%,1%,<0.5%,17%,–
Ifop,4–6 Jan 2012,"1,163",–,0.50%,0.50%,6%,<0.5%,28%,3%,12%,0.50%,2.50%,1%,<0.5%,26%,0.50%,0.50%,19%,–
OpinionWay,16–19 Dec 2011,913,–,0.50%,1%,7.50%,0.50%,27%,4%,14%,0.50%,2%,1%,–,24%,1%,1%,16%,–
Harris Interactive,13–15 Dec 2011,"1,031",–,0.50%,<0.5%,6%,1%,28%,4%,11%,0.50%,3%,0.50%,<0.5%,25%,0.50%,1%,19%,–
Ifop,13–15 Dec 2011,937,–,<0.5%,<0.5%,6.50%,0.50%,27.50%,5%,11%,1%,3.50%,0.50%,<0.5%,24%,<0.5%,0.50%,20%,–
OpinionWay,13–15 Dec 2011,912,–,0.50%,1%,6%,0.50%,29%,3%,11%,0.50%,3%,1%,–,25%,1%,1.50%,17%,–
CSA,12–13 Dec 2011,859,–,1%,0.50%,6%,1%,32%,3%,11%,0.50%,2%,<0.5%,–,26%,0.50%,0.50%,16%,–
LH2,9–10 Dec 2011,953,–,<0.5%,<0.5%,6.50%,0.50%,31.50%,4.50%,13%,<0.5%,1%,1%,–,26%,1%,1%,13.50%,–
BVA,2–3 Dec 2011,798,–,<0.5%,<0.5%,7%,1%,35%,3%,9%,1%,1%,<0.5%,<0.5%,24.50%,1%,0.50%,17%,–
Ipsos,2–3 Dec 2011,955,24%,1%,<0.5%,7.50%,0.50%,32%,6%,7%,0.50%,2%,<0.5%,<0.5%,25.50%,<0.5%,0.50%,17%,–
Ifop,29–30 Nov 2011,934,–,<0.5%,<0.5%,7.50%,0.50%,29.50%,4%,8.50%,0.50%,1.50%,1%,<0.5%,26%,0.50%,1%,19.50%,–
TNS Sofres,25–26 Nov 2011,"1,003",30%,0.50%,0.50%,8%,0.50%,31%,5%,7%,0.50%,1%,0.50%,–,28%,<0.5%,1%,16.50%,–
OpinionWay,23–24 Nov 2011,952,–,1%,1%,7%,1%,30%,5%,7%,–,1%,1%,–,26%,1%,1%,18%,–
BVA,18–19 Nov 2011,784,–,<0.5%,<0.5%,5%,3%,32%,4%,7%,–,2%,1%,<0.5%,27%,<0.5%,1%,18%,–
LH2,18–19 Nov 2011,830,–,0.50%,0%,7%,1.50%,30%,6%,7%,0.50%,2%,0.50%,–,29%,0.50%,0.50%,15%,–
Ifop,14–16 Nov 2011,"1,146",–,0.50%,0.50%,7%,<0.5%,32.50%,4%,6%,0.50%,1.50%,0.50%,0.50%,26%,0.50%,1%,19%,–
CSA,14–15 Nov 2011,822,–,1%,0.50%,5%,1%,34%,4%,7%,0.50%,1.50%,1%,–,27%,0.50%,1%,16%,–
BVA,4–5 Nov 2011,796,–,<0.5%,<0.5%,5%,1%,36%,5%,6%,–,3%,<0.5%,<0.5%,25%,0.50%,0.50%,18%,–
Ifop,2–4 Nov 2011,"1,843",–,<0.5%,0.50%,6%,<0.5%,32.50%,4.50%,7%,1%,2%,1%,<0.5%,25.50%,<0.5%,1%,19%,–
Ipsos,28–29 Oct 2011,970,25%,1%,1%,6%,–,35%,6%,5.50%,–,2%,–,–,24%,–,0.50%,19%,–
LH2,21–22 Oct 2011,813,–,0.50%,0%,6.50%,–,39%,5%,8.50%,0%,1.50%,0.50%,–,24%,0%,0.50%,14%,–
Ifop,18–20 Oct 2011,941,–,0.50%,0.50%,6%,<0.5%,35%,4.50%,6.50%,0.50%,2%,1%,0.50%,25%,0.50%,0.50%,17%,–
BVA,17–18 Oct 2011,753,–,2%,<0.5%,6%,–,39%,4%,7%,–,–,–,–,23%,–,–,19%,–
CSA,17-Oct-11,859,–,1%,0.50%,5%,–,35%,3%,9%,0.50%,2%,1%,–,25%,1.50%,0.50%,16%,–
