pollName,dates,sampleSize,Abs.,Hollande,Sarkozy
Ipsos,2–3 Mar 2012,966,–,58%,42%
LH2,2–3 Mar 2012,971,–,58%,42%
Ifop-Fiducial,28 Feb–2 Mar 2012,912,–,57%,43%
Ifop-Fiducial,27 Feb–1 Mar 2012,929,–,56.50%,43.50%
Ifop-Fiducial,24–29 Feb 2012,"1,187",–,55.50%,44.50%
Ifop-Fiducial,24–28 Feb 2012,888,–,55%,45%
TNS Sofres,27-Feb-12,"1,000",–,57%,43%
Ifop-Fiducial*,23–26 Feb 2012,"1,723",–,56.50%,43.50%
Ifop-Fiducial,23–26 Feb 2012,882,–,55.50%,44.50%
Ipsos,24–25 Feb 2012,959,–,58%,42%
Ifop-Fiducial,21–24 Feb 2012,931,–,56%,44%
Ifop-Fiducial,20–23 Feb 2012,931,–,56%,44%
Ifop-Fiducial,18–22 Feb 2012,"1,180",–,56%,44%
Ifop-Fiducial,18–21 Feb 2012,874,–,56%,44%
CSA,20-Feb-12,891,–,56%,44%
Ifop-Fiducial,16–20 Feb 2012,872,–,56%,44%
Ipsos,17–18 Feb 2012,969,–,59%,41%
LH2,17–18 Feb 2012,967,–,55%,45%
OpinionWay,17–18 Feb 2012,975,–,56%,44%
Ifop-Fiducial,14–17 Feb 2012,938,–,56%,44%
BVA,15–16 Feb 2012,930,–,56%,44%
Ifop-Fiducial,13–16 Feb 2012,939,–,56%,44%
Ifop-Fiducial,11–15 Feb 2012,"1,174",–,57%,43%
Ifop-Fiducial,11–14 Feb 2012,867,–,57%,43%
Harris Interactive,9–13 Feb 2012,954,–,57%,43%
Ifop-Fiducial,9–13 Feb 2012,870,–,57.50%,42.50%
Ifop-Fiducial*,9–12 Feb 2012,"1,723",–,57.50%,42.50%
Ifop-Fiducial,7–10 Feb 2012,923,–,57.50%,42.50%
Ifop-Fiducial,6–9 Feb 2012,913,–,57.50%,42.50%
OpinionWay,6–8 Feb 2012,"1,215",–,56%,44%
Ifop-Fiducial,4–8 Feb 2012,"1,179",–,57.50%,42.50%
CSA,6–7 Feb 2012,869,–,60%,40%
Ifop-Fiducial,4–7 Feb 2012,871,–,57%,43%
Ifop-Fiducial,2–6 Feb 2012,876,–,58%,42%
BVA,3–4 Feb 2012,779,–,58%,42%
Ipsos,3–4 Feb 2012,953,–,59%,41%
LH2,3–4 Feb 2012,955,–,57%,43%
Ifop-Fiducial,31 Jan–3 Feb 2012,922,–,57.50%,42.50%
Ifop-Fiducial,30 Jan–2 Feb 2012,917,–,57%,43%
Ifop-Fiducial,29 Jan–1 Feb 2012,"1,166",–,57%,43%
BVA,30–31 Jan 2012,"1,407",–,57%,43%
Ifop-Fiducial,29–31 Jan 2012,866,–,58%,42%
TNS Sofres,30-Jan-12,"1,000",–,58%,42%
Ifop-Fiducial*,29–30 Jan 2012,"1,387",–,58%,42%
Ifop-Fiducial,27–30 Jan 2012,871,–,57.50%,42.50%
Ifop-Fiducial,24–27 Jan 2012,935,–,57%,43%
Ifop-Fiducial,23–26 Jan 2012,926,–,56%,44%
OpinionWay,23–25 Jan 2012,"1,087",–,56%,44%
Ifop-Fiducial,21–25 Jan 2012,"1,178",–,57%,43%
CSA,23–24 Jan 2012,898,–,60%,40%
Ifop-Fiducial,21–24 Jan 2012,864,–,57%,43%
Ifop-Fiducial,20–23 Jan 2012,877,–,56.50%,43.50%
Harris Interactive,19–22 Jan 2012,"1,029",–,55%,45%
Ifop-Fiducial,17–20 Jan 2012,937,–,57%,43%
BVA,18–19 Jan 2012,959,–,57%,43%
Ifop-Fiducial,16–19 Jan 2012,923,–,57%,43%
Ifop-Fiducial,14–18 Jan 2012,"1,168",–,56.50%,43.50%
Ifop-Fiducial,14–17 Jan 2012,864,–,56%,44%
Ifop-Fiducial,13–16 Jan 2012,872,–,56%,44%
Ipsos,13–14 Jan 2012,948,–,59%,41%
LH2,13–14 Jan 2012,966,–,57%,43%
Ifop-Fiducial*,11–13 Jan 2012,"1,550",–,57%,43%
Ifop-Fiducial,10–13 Jan 2012,942,–,56.50%,43.50%
Ifop-Fiducial,9–12 Jan 2012,943,–,57%,43%
OpinionWay,10–11 Jan 2012,967,–,55%,45%
CSA,9–10 Jan 2012,875,–,57%,43%
TNS Sofres**,6–9 Jan 2012,"2,007",–,59%,41%
BVA,6–7 Jan 2012,815,–,57%,43%
Ifop,4–6 Jan 2012,"1,163",–,54%,46%
OpinionWay,16–19 Dec 2011,913,–,57%,43%
Harris Interactive,13–15 Dec 2011,"1,031",–,57%,43%
Ifop,13–15 Dec 2011,937,–,56%,44%
OpinionWay,13–15 Dec 2011,912,–,57%,43%
CSA,12–13 Dec 2011,859,–,58%,42%
LH2,9–10 Dec 2011,953,–,57%,43%
BVA,2–3 Dec 2011,798,–,59%,41%
Ipsos,2–3 Dec 2011,955,–,60%,40%
Ifop,29–30 Nov 2011,934,–,56%,44%
TNS Sofres,25–26 Nov 2011,"1,003",–,60%,40%
OpinionWay,23–24 Nov 2011,952,–,58%,42%
BVA,18–19 Nov 2011,784,–,58%,42%
LH2,18–19 Nov 2011,830,–,58%,42%
CSA,14–15 Nov 2011,822,–,59%,41%
BVA,4–5 Nov 2011,796,–,61%,39%
Ifop,2–4 Nov 2011,"1,843",–,57%,43%
Ipsos,28–29 Oct 2011,970,–,62%,38%
LH2,21–22 Oct 2011,813,–,60%,40%
Ifop,18–20 Oct 2011,941,–,60%,40%
BVA,17–18 Oct 2011,753,–,64%,36%
CSA,17-Oct-11,859,–,62%,38%
LH2,30 Sep–1 Oct 2011,843,–,60%,40%
LH2,2–3 Sep 2011,818,–,57%,43%
Ifop,30 Aug–2 Sep 2011,"1,918",–,59%,41%
Ifop,19–21 Jul 2011,948,–,57%,43%
BVA,8–9 Jul 2011,782,–,58%,42%
LH2,8–9 Jul 2011,827,–,60%,40%
Harris Interactive,3–5 Jun 2011,"1,449",–,60%,40%
BVA,20–21 May 2011,960,–,62%,38%
TNS Sofres,20–21 May 2011,960,–,58%,42%
LH2,6–7 May 2011,576,–,60%,40%
Ifop,20–21 Apr 2011,917,–,56%,44%
TNS Sofres,18–19 Feb 2011,"1,000",–,56%,44%
CSA,14–15 Feb 2011,"1,005",–,54%,46%
CSA,17–18 Jan 2011,847,–,55%,45%
TNS Sofres,19–20 Nov 2010,"1,000",–,55%,45%
Ifop,18–19 Nov 2010,811,–,53%,47%
TNS Sofres,20–21 Aug 2010,"1,000",–,50%,50%
CSA,4–5 Nov 2009,910,–,43%,57%
