pollName,dates,sampleSize,Arthaud,Besancenot,(nominee),Mélenchon,Chevènement,Strauss-Kahn,Aubry,Hollande,Royal,Hulot,Joly,Bayrou,Villepin,Morin,Borloo,Sarkozy,Dupont-Aignan,Le Pen
OpinionWay,6–7 Apr 2011,991,0.80%,2.90%,–,4.20%,1.90%,–,21.70%,–,–,–,7.40%,8.50%,3.70%,–,7.80%,19.10%,1.40%,20.60%
CSA,28–29 Mar 2011,841,1%,9%,–,4%,–,33%,–,–,–,–,3%,7%,4.50%,2%,–,18%,0.50%,18%
CSA,28–29 Mar 2011,841,0.50%,9%,–,3%,–,–,26%,–,–,–,3%,8%,7%,2%,–,22%,0.50%,19%
CSA,28–29 Mar 2011,841,0.50%,11%,–,3.50%,–,–,–,24%,–,–,4%,6%,7%,2%,–,22%,1%,19%
CSA,28–29 Mar 2011,841,0.50%,9%,–,6%,–,–,–,–,17%,–,5%,10%,7.50%,3%,–,22%,1%,19%
BVA,25–26 Mar 2011,826,1%,7%,–,4%,–,29%,–,–,–,7%,–,4%,6%,5%,–,17%,1%,19%
BVA,25–26 Mar 2011,826,0.50%,6%,–,4%,–,–,24%,–,–,8%,–,5%,7%,6%,–,19%,0.50%,20%
Ipsos,25–26 Mar 2011,965,1%,6%,–,4%,–,34%,–,–,–,–,5%,5%,5%,1%,–,17%,1%,21%
Ipsos,25–26 Mar 2011,965,1%,6%,–,4%,–,–,25%,–,–,–,5%,7%,8%,1%,–,20%,1%,22%
Ipsos,25–26 Mar 2011,965,1%,6%,–,5%,–,–,–,23%,–,–,5%,7%,8%,1%,–,21%,1%,22%
Ipsos,25–26 Mar 2011,965,2%,7%,–,6%,–,–,–,–,17%,–,7%,8%,9%,1%,–,20%,1%,22%
Ipsos,14-Mar-11,948,2%,6%,–,5%,–,33%,–,–,–,–,5%,5%,5%,1%,–,18%,1%,19%
Ipsos,14-Mar-11,948,2%,6%,–,5%,–,–,23%,–,–,–,5%,8%,7%,1%,–,21%,1%,21%
Ipsos,14-Mar-11,948,2%,7%,–,5%,–,–,–,23%,–,–,5%,8%,6%,1%,–,21%,1%,21%
Ipsos,14-Mar-11,948,2%,7%,–,6%,–,–,–,–,17%,–,7%,10%,7%,1%,–,21%,1%,21%
CSA,9–10 Mar 2011,853,1%,8%,–,6%,–,30%,–,–,–,–,4%,5%,4%,1%,–,19%,1%,21%
CSA,9–10 Mar 2011,853,1%,8%,–,5%,–,–,22%,–,–,–,3%,6%,6%,1%,–,24%,1%,23%
CSA,9–10 Mar 2011,853,1%,8%,–,5%,–,–,–,18%,–,–,5%,8%,7%,1%,–,24%,1%,22%
CSA,9–10 Mar 2011,853,1%,8%,–,5%,–,–,–,–,19%,–,6%,7%,6%,1%,–,24%,1%,22%
Ifop,7–9 Mar 2011,"1,046",1%,4%,–,5%,–,29%,–,–,–,–,5.50%,6%,3%,1%,–,23%,1.50%,21%
Ifop,7–9 Mar 2011,"1,046",1%,4%,–,5%,–,–,24%,–,–,–,6%,7%,4.50%,1.50%,–,24%,1%,22%
Ifop,7–9 Mar 2011,"1,046",1%,4%,–,5%,–,–,–,23%,–,–,6.50%,7.50%,4%,2%,–,24%,1%,22%
Ifop,7–9 Mar 2011,"1,046",1%,5%,–,6%,–,–,–,–,19%,–,7%,8%,5%,2%,–,24%,1%,22%
Harris Interactive,5–6 Mar 2011,"1,347",1%,6%,–,7%,–,23%,–,–,–,–,7%,6%,4%,1%,–,20%,1%,24%
Harris Interactive,5–6 Mar 2011,"1,347",1%,6%,–,6%,–,–,–,20%,–,–,7%,8%,5%,1%,–,21%,1%,24%
Harris Interactive,28 Feb–3 Mar 2011,"1,618",1%,5%,–,5%,–,–,21%,–,–,–,7%,8%,7%,1%,–,21%,1%,23%
