pollName,dates,sampleSize,Schivardi,Arthaud,Besancenot,Mélenchon,Strauss-Kahn,Aubry,Hollande,Royal,Montebourg,Hulot,Joly,Bayrou,Villepin,Morin,Borloo,Sarkozy,Fillon,Copé,Dupont-Aignan,Le Pen
CSA,7–8 Jan 2011,"1,001",–,1%,6%,6%,–,22%,–,–,–,–,4%,9%,6%,–,–,28%,–,–,1%,17%
TNS Sofres,19–20 Nov 2010,"1,000",–,1.50%,6.50%,6%,27%,–,–,–,–,–,6.50%,6%,4%,–,5%,24%,–,–,–,13.50%
TNS Sofres,19–20 Nov 2010,"1,000",–,1%,6.50%,6%,–,23%,–,–,–,–,8%,7%,4%,–,6.50%,25%,–,–,–,13%
TNS Sofres,19–20 Nov 2010,"1,000",–,1%,7%,6.50%,–,–,16.50%,–,–,–,8%,8%,5%,–,8.50%,25.50%,–,–,–,14%
TNS Sofres,19–20 Nov 2010,"1,000",–,1%,6.50%,7%,–,–,–,17%,–,–,9%,7%,4%,–,8.50%,26%,–,–,–,14%
Ifop,18–19 Nov 2010,811,–,1%,4.50%,6%,29%,–,–,–,–,–,6%,7.50%,6%,2%,–,24%,–,–,1%,13%
Ifop,18–19 Nov 2010,811,–,1%,5%,6%,–,22%,–,–,–,–,7.50%,9%,7%,2.50%,–,27%,–,–,1%,12%
Ifop,18–19 Nov 2010,811,–,1%,6%,7%,–,–,18%,–,–,–,8%,9.50%,8.50%,2%,–,27%,–,–,1%,12%
Ifop,18–19 Nov 2010,811,–,1%,5.50%,7.50%,–,–,–,18%,–,–,8%,9.50%,7.50%,2%,–,27%,–,–,1%,13%
Ifop,16–18 Nov 2010,931,–,0.50%,4%,6.50%,–,23%,–,–,–,–,7%,7%,5%,–,7%,26%,–,–,1%,13%
Harris Interactive,9–10 Nov 2010,910,–,0.50%,4.50%,7%,–,20%,–,–,–,–,11%,8%,9%,–,–,26%,–,–,–,14%
Harris Interactive,9–10 Nov 2010,910,–,0.50%,4.50%,7%,–,20%,–,–,–,–,11%,9%,8%,–,–,–,26%,–,–,14%
Ifop,12–14 Oct 2010,930,–,1%,5%,5%,–,25%,–,–,–,–,7%,8.50%,7%,–,–,26%,–,–,1.50%,14%
BVA,10–11 Sep 2010,962,–,2%,7%,5%,28%,–,–,–,–,–,9%,8%,8.50%,1.50%,–,–,20%,–,–,11%
BVA,10–11 Sep 2010,962,–,1%,5%,4%,–,25%,–,–,–,–,10%,10%,10%,3%,–,–,21%,–,–,11%
TNS Sofres,20–21 Aug 2010,"1,000",–,1%,9%,5%,25%,–,–,–,–,–,9%,6%,6%,1%,–,26%,–,–,–,12%
TNS Sofres,20–21 Aug 2010,"1,000",–,1%,7%,4%,–,22%,–,–,–,–,9%,7%,7%,2%,–,28%,–,–,–,13%
TNS Sofres,20–21 Aug 2010,"1,000",–,1%,8%,5%,–,–,16%,–,–,–,11%,7%,8%,2%,–,29%,–,–,–,13%
TNS Sofres,20–21 Aug 2010,"1,000",–,1%,8%,5%,–,–,–,16%,–,–,12%,7%,7%,2%,–,29%,–,–,–,13%
