pollName,dates,sampleSize,Abs.,Arthaud,Poutou,Mélenchon,Hollande,Joly,Bayrou,Sarkozy,Dupont-Aignan,Le Pen,Cheminade
Harris Interactive,3–6 Apr 2012,"1,033",–,1%,1%,13%,27%,3%,10%,28%,1%,16%,<0.5%
Ifop-Fiducial,3–6 Apr 2012,"1,284",–,0.50%,0.50%,12.50%,26.50%,3%,10%,29%,1.50%,16.50%,<0.5%
Ifop-Fiducial,2–5 Apr 2012,"1,060",–,0.50%,1%,13%,26.50%,3%,10%,28.50%,1.50%,16%,<0.5%
OpinionWay,3–4 Apr 2012,969,–,0.50%,1%,14%,26%,2%,11%,28.50%,1%,16%,0%
Ifop-Fiducial,31 Mar–4 Apr 2012,"1,432",–,0.50%,1%,12.50%,27%,3%,10.50%,28.50%,1%,16%,<0.5%
CSA,2–3 Apr 2012,884,–,0.50%,0.50%,15%,29%,1.50%,10%,30%,0.50%,13%,<0.5%
Ifop-Fiducial,31 Mar–3 Apr 2012,999,–,0.50%,0.50%,12.50%,27.50%,3%,11%,28.50%,1%,15.50%,<0.5%
Harris Interactive,29 Mar–2 Apr 2012,"1,059",–,0.50%,0.50%,14%,26%,3%,10%,29%,1%,16%,<0.5%
Ifop-Fiducial,29 Mar–2 Apr 2012,893,–,0.50%,0.50%,12.50%,27.50%,2.50%,11%,29%,1%,15.50%,<0.5%
Ipsos,30–31 Mar 2012,881,20%,1%,0.50%,14.50%,27.50%,2%,10%,29.50%,1%,14%,<0.5%
LH2,30–31 Mar 2012,973,–,0.50%,0.50%,15%,28.50%,2%,12%,27.50%,0.50%,13.50%,0%
BVA,29–31 Mar 2012,"2,555",–,1%,1%,14%,28%,2%,11%,27%,1%,15%,<0.5%
Ifop-Fiducial,27–30 Mar 2012,957,–,0.50%,0.50%,13.50%,27%,2.50%,10.50%,28.50%,1%,16%,<0.5%
Ifop-Fiducial,26–29 Mar 2012,950,–,0.50%,<0.5%,14%,26.50%,2.50%,11%,28%,1%,16.50%,<0.5%
Ifop-Fiducial,24–28 Mar 2012,"1,211",–,0.50%,0.50%,14%,26.50%,2.50%,11%,27.50%,1%,16%,0.50%
CSA,26–27 Mar 2012,876,–,0.50%,0.50%,12.50%,26%,2.50%,12.50%,30%,0.50%,15%,<0.5%
OpinionWay,26–27 Mar 2012,"1,148",–,1%,0.50%,11%,27%,2%,12%,28%,1%,17%,0.50%
TNS Sofres,26–27 Mar 2012,"1,000",26%,0.50%,0.50%,13.50%,28%,2%,10%,29%,1%,15%,0.50%
Ifop-Fiducial,24–27 Mar 2012,902,–,<0.5%,0.50%,13.50%,26.50%,2.50%,11.50%,28%,1%,16%,0.50%
Harris Interactive,22–26 Mar 2012,"1,231",–,0.50%,0.50%,13%,27%,3%,11%,28%,1%,16%,<0.5%
Ifop-Fiducial*,22–25 Mar 2012,"1,769",–,0.50%,0.50%,13%,27%,2%,11.50%,28.50%,1%,15.50%,0.50%
Ifop-Fiducial,22–25 Mar 2012,887,–,0.50%,0.50%,13%,26.50%,2.50%,12%,28.50%,0.50%,15.50%,0.50%
Ipsos,23–24 Mar 2012,978,21%,0.50%,0.50%,13%,28%,2%,11.50%,27.50%,1%,16%,<0.5%
Ifop-Fiducial,20–23 Mar 2012,942,–,0.50%,0.50%,12%,27%,3%,12%,28.50%,0.50%,16%,<0.5%
BVA,21–22 Mar 2012,926,–,<0.5%,<0.5%,14%,29.50%,2%,12%,28%,1.50%,13%,<0.5%
Ifop-Fiducial,19–22 Mar 2012,945,–,0.50%,0.50%,11%,27.50%,3%,12%,28%,0.50%,17%,<0.5%
Ifop-Fiducial,17–21 Mar 2012,"1,195",–,0.50%,0.50%,10.50%,28%,2.50%,12%,28%,1%,17%,<0.5%
CSA,19–20 Mar 2012,888,–,<0.5%,<0.5%,13%,28%,2%,13%,30%,0.50%,13.50%,<0.5%
Ifop-Fiducial,17–20 Mar 2012,876,–,0.50%,0.50%,10.50%,28%,2.50%,12%,27.50%,1%,17.50%,<0.5%
