pollName,dates,sampleSize,Schivardi,Laguiller,Besancenot,Buffet,Bové,Chevènement,Royal,Voynet,Hulot,Lepage,Nihous,Bayrou,Sarkozy,Alliot-Marie,Chirac,Dupont-Aignan,Villiers,Le Pen
Ipsos,27 Feb–1 Mar 2007,"1,008",0.50%,2%,3%,2%,1.50%,–,26%,1%,–,0.50%,0.50%,18%,31.50%,–,–,0.50%,0.50%,12.50%
CSA,28-Feb-07,871,<0.5%,1%,2%,2.50%,2%,–,29%,1%,–,0.50%,0.50%,17%,29%,–,–,0.50%,1%,14%
Ipsos,26–28 Feb 2007,"1,009",0.50%,2%,2.50%,2%,1.50%,–,25%,1.50%,–,0.50%,0.50%,18%,32%,–,–,0.50%,1%,12.50%
BVA,26–27 Feb 2007,869,–,2%,5%,3%,1%,–,25%,1%,–,<0.5%,–,17%,31%,–,–,–,1%,14%
Ifop,26-Feb-07,952,<0.5%,2%,4%,2.50%,2%,–,25.50%,0.50%,–,0.50%,0.50%,19%,29%,–,–,0.50%,2%,12%
Ifop*,23–26 Feb 2007,"1,842",<0.5%,2%,3%,3%,2%,–,27%,1%,–,1%,1%,18%,28%,–,–,<0.5%,2%,12%
Ipsos,23–24 Feb 2007,957,0.50%,1%,3%,2%,2%,–,26%,1%,–,0.50%,0.50%,17.50%,31%,–,–,0.50%,1.50%,13%
LH2,23–24 Feb 2007,"1,005",<0.5%,2%,3.50%,2.50%,1.50%,–,27%,1%,–,<0.5%,1%,17%,30%,–,–,0.50%,1%,13%
Ifop,22–23 Feb 2007,889,<0.5%,2.50%,3%,2.50%,2%,–,28%,2%,–,0.50%,<0.5%,17%,28%,–,–,1%,2%,11.50%
CSA,20-Feb-07,884,<0.5%,1%,2.50%,2%,2%,–,29%,1%,–,0.50%,0.50%,17%,28%,–,–,0.50%,2%,14%
BVA,19–20 Feb 2007,845,–,3%,3%,4%,2%,–,26%,1%,–,<0.5%,–,15%,33%,–,–,–,3%,10%
Ipsos,16–17 Feb 2007,952,0.50%,1.50%,4%,2.50%,2%,–,23%,1%,–,0.50%,1%,16%,33%,–,–,0.50%,1.50%,13%
LH2,16–17 Feb 2007,"1,007",<0.5%,2%,3.50%,3.50%,2.50%,–,25%,1%,–,<0.5%,<0.5%,14%,33%,–,–,<0.5%,2.50%,13%
CSA,14–15 Feb 2007,909,<0.5%,1%,3%,2%,2%,–,27%,1%,–,0.50%,1%,13%,33%,–,–,0.50%,2%,14%
TNS Sofres,14–15 Feb 2007,"1,000",–,2%,3.50%,2.50%,3%,–,26%,1%,–,0.50%,<0.5%,12%,33%,–,–,1%,2.50%,13%
Ifop-Fiducial,13–15 Feb 2007,952,<0.5%,2%,4%,2%,2%,–,25.50%,1.50%,–,1%,<0.5%,16%,32%,–,–,0.50%,2.50%,11%
Ifop-Fiducial,13–15 Feb 2007,952,<0.5%,2%,4.50%,2%,2%,–,25%,1.50%,–,1%,<0.5%,15%,29%,–,4%,<0.5%,3%,11%
BVA,12-Feb-07,873,–,2%,2%,3%,2%,–,29%,1%,–,<0.5%,–,14%,35%,–,–,–,2%,10%
CSA,12-Feb-07,919,<0.5%,1%,4%,2%,3%,–,26%,1%,–,0.50%,1%,12%,33%,–,–,0.50%,2%,14%
Ifop,12-Feb-07,879,0.50%,2.50%,3%,2%,3%,–,26%,2%,–,1%,<0.5%,14%,33.50%,–,–,1%,1.50%,10%
Ipsos,12-Feb-07,807,–,2%,2.50%,2%,2%,–,27%,1%,–,0.50%,0.50%,14%,34%,–,–,0.50%,1%,13%
Ipsos,9–10 Feb 2007,944,–,2%,3%,3%,2%,–,25%,2%,–,0.50%,1%,13%,36%,–,–,0.50%,1%,11%
LH2,9–10 Feb 2007,"1,007",<0.5%,3%,3%,3%,2%,–,27%,2%,–,1%,<0.5%,13%,31%,–,–,0.50%,2.50%,12%
BVA,7–8 Feb 2007,843,–,3%,3%,2%,3%,–,26%,1%,–,<0.5%,–,14%,34%,–,–,–,2%,12%
TNS Sofres,7–8 Feb 2007,"1,000",–,3%,3%,2%,3.50%,–,26%,1%,–,0.50%,<0.5%,14%,33%,–,–,<0.5%,1%,13%
Ipsos,2–3 Feb 2007,934,–,1.50%,2.50%,2.50%,2.50%,–,27%,2.50%,–,1%,1%,13%,34%,–,–,0.50%,1%,11%
LH2,2–3 Feb 2007,"1,004",<0.5%,3%,3%,3%,2.50%,–,27%,2%,–,0.50%,1%,13%,33%,–,–,<0.5%,3%,9%
TNS Sofres,31 Jan–1 Feb 2007,"1,000",–,3%,3.50%,2%,–,–,28%,1.50%,–,0.50%,<0.5%,13%,33%,–,–,0.50%,2%,13%
TNS Sofres,31 Jan–1 Feb 2007,"1,000",–,3%,2.50%,2.50%,4%,–,26%,1.50%,–,0.50%,<0.5%,13%,32%,–,–,0.50%,2%,12.50%
CSA,31-Jan-07,902,0.50%,2%,2%,3%,1%,–,27%,2%,–,1%,1%,12%,31%,–,–,0.50%,1%,16%
CSA,31-Jan-07,902,0.50%,2%,3%,3%,–,–,26%,3%,–,1%,1%,12%,31%,–,–,0.50%,1%,16%
Ipsos,26–27 Jan 2007,959,–,2.50%,3.50%,3.50%,1%,–,26%,2%,–,1%,1%,11%,35%,–,–,0.50%,2%,11%
LH2,26–27 Jan 2007,"1,006",<0.5%,2%,2%,5%,2%,–,29%,2%,–,0.50%,0.50%,14%,31%,–,–,<0.5%,2%,10%
Ifop,25–26 Jan 2007,865,<0.5%,3%,3.50%,3%,3%,–,27.50%,2%,–,1%,0.50%,11%,31%,–,–,0.50%,1%,13%
BVA,22–23 Jan 2007,849,–,4%,7%,3%,–,–,27%,0.50%,–,0.50%,–,13%,33%,–,–,–,2%,10%
BVA,22–23 Jan 2007,849,–,4%,5%,3%,2%,–,27%,0.50%,–,0.50%,–,11%,34%,–,–,–,2%,11%
Ipsos,19–20 Jan 2007,963,–,2%,3.50%,3.50%,–,–,29%,2%,–,–,1%,11%,32%,–,–,–,3%,13%
Ifop-Fiducial,18–20 Jan 2007,956,–,3%,4%,3%,–,–,28%,3%,–,1%,–,12.50%,32.50%,–,–,–,2%,11%
Ifop-Fiducial,18–20 Jan 2007,956,–,3%,4%,3%,–,–,27%,3%,–,1%,–,13%,28%,–,5%,–,2%,11%
TNS Sofres,17–18 Jan 2007,"1,000",–,2%,3%,3%,–,–,31%,2%,–,0.50%,<0.5%,9%,35%,–,–,0.50%,1%,13%
CSA,17-Jan-07,845,0.50%,3%,4%,3%,–,–,29%,2%,–,–,0.50%,9%,30%,–,–,1%,3%,15%
Ifop,15-Jan-07,868,0.50%,3%,3.50%,3%,–,–,28%,2%,–,1%,1%,12%,33%,–,–,–,3%,10%
Ifop,15-Jan-07,868,0.50%,3%,3.50%,3%,–,–,28%,2%,–,1%,1%,11%,29%,–,5%,–,2%,11%
TNS Sofres,10–12 Jan 2007,"1,000",–,3.50%,4%,2%,–,–,34%,1.50%,–,0.50%,<0.5%,9%,29%,–,–,0.50%,2%,14%
Ipsos,5–6 Jan 2007,952,–,1.50%,3%,3%,–,–,32%,1.50%,–,–,1.50%,10%,33%,–,–,–,2.50%,12%
Ipsos,5–6 Jan 2007,952,–,1.50%,3%,2.50%,–,–,28%,1%,10%,–,0.50%,9%,30%,–,–,–,2.50%,12%
Ifop,4–5 Jan 2007,939,0.50%,3%,3%,3%,–,–,27%,2%,11%,1%,0.50%,10%,25%,–,–,–,2%,12%
CSA,3-Jan-07,891,–,3%,2%,5%,–,–,34%,1%,–,–,–,6%,32%,–,–,–,2%,15%
Ifop,28–29 Dec 2006,"1,006",–,4%,4%,2%,–,–,31%,2%,–,1%,<0.5%,9%,32%,–,–,–,2%,13%
Ifop-Fiducial,14–15 Dec 2006,951,–,3%,3%,3%,–,–,31%,2%,–,1%,–,8%,29%,–,5%,–,4%,11%
CSA,13-Dec-06,798,–,3%,4%,3%,–,–,31%,2%,–,–,–,8%,30%,–,–,–,3%,16%
BVA,11–12 Dec 2006,797,–,3%,4%,3%,–,–,35%,2%,–,1%,–,8%,32%,–,–,–,3%,9%
BVA,11–12 Dec 2006,797,–,3%,4%,3%,–,–,34%,1.50%,–,0.50%,–,7%,32%,3%,–,–,2%,10%
Ipsos,8–9 Dec 2006,952,–,2%,4%,2%,–,1%,32%,1.50%,–,–,1%,9%,34%,–,–,–,2%,11.50%
TNS Sofres,6–7 Dec 2006,"1,000",–,3.50%,3.50%,2%,–,1%,33%,2%,–,0.50%,<0.5%,8%,33%,–,–,–,2%,11.50%
Ipsos,1–2 Dec 2006,950,–,2%,3%,3%,–,1%,31%,1.50%,–,–,0.50%,8%,35%,–,–,–,2.50%,12.50%
Ifop,30 Nov–1 Dec 2006,901,–,2%,4%,3%,–,1%,31%,2%,–,1%,1%,9%,30%,–,–,–,4%,12%
CSA,21–22 Nov 2006,"1,002",–,3%,5%,3%,–,1%,32%,2%,–,–,–,6%,29%,–,–,–,2%,17%
CSA,21–22 Nov 2006,"1,002",–,4%,5%,3%,–,1%,37%,2%,–,–,–,6%,37%,–,–,–,5%,–
Ifop,17–18 Nov 2006,817,–,3%,5%,4%,–,2%,29%,2%,–,1%,1%,11%,29%,–,–,–,2%,11%
Ifop,17–18 Nov 2006,817,–,3%,5%,4%,–,2%,33%,2%,–,1%,2%,15%,–,–,15%,–,3%,15%
