pollName,dates,sampleSize,Abs.,Schivardi,Laguiller,Besancenot,Buffet,Bové,Royal,Voynet,Nihous,Bayrou,Sarkozy,Villiers,Le Pen
Ipsos,12–14 Apr 2007,"1,355",–,0.50%,1.50%,3.50%,3%,2%,25%,1%,1.50%,17.50%,29.50%,1.50%,13.50%
Ifop,12–13 Apr 2007,928,–,0.50%,2%,4%,3%,2%,24%,1%,2%,18%,28.50%,2%,13%
Ipsos,11–13 Apr 2007,"1,279",–,0.50%,1.50%,3.50%,2.50%,1.50%,24.50%,1.50%,2%,17.50%,29.50%,1.50%,14%
CSA,11–12 Apr 2007,918,–,0.50%,2%,4%,2.50%,1.50%,23%,1%,2%,21%,26%,1.50%,15%
TNS Sofres,11–12 Apr 2007,"1,000",–,<0.5%,2.50%,4%,2.50%,2%,26%,1.50%,1.50%,17%,30%,1%,12%
Ipsos,10–12 Apr 2007,"1,207",–,0.50%,1.50%,3.50%,2%,1.50%,24%,1.50%,2%,18.50%,30%,1.50%,13.50%
CSA,10–11 Apr 2007,876,–,0.50%,2%,3.50%,2%,2%,25%,1.50%,1.50%,19%,27%,1%,15%
Ipsos,9–11 Apr 2007,"1,209",–,0.50%,2%,3.50%,1.50%,2%,24%,1.50%,1.50%,19%,29.50%,1%,14%
BVA,10-Apr-07,867,–,0.50%,2%,3.50%,3%,2%,24%,1%,2%,18%,28%,2%,14%
Ipsos,7–10 Apr 2007,"1,300",–,0.50%,2%,4%,1.50%,2.50%,23.50%,1%,1.50%,19%,30%,1%,13.50%
Ipsos,6–9 Apr 2007,"1,355",–,0.50%,2%,4.50%,2%,2%,23%,1%,1%,19.50%,30.50%,1%,13%
LH2,6–7 Apr 2007,"1,009",–,0.50%,1.50%,4%,2.50%,2%,24%,2%,1%,18%,28%,1.50%,15%
Ipsos,5–7 Apr 2007,"1,355",–,0.50%,2%,5%,2.50%,1.50%,22.50%,1%,1%,19.50%,30.50%,1%,13%
Ifop,5–6 Apr 2007,953,–,0.50%,2%,4.50%,2.50%,2%,22%,1.50%,1.50%,19%,29.50%,1%,14%
Ipsos,4–6 Apr 2007,"1,263",–,0.50%,2%,4.50%,2.50%,1%,23.50%,1%,1%,19%,31.50%,1%,12.50%
CSA,4–5 Apr 2007,881,–,0.50%,2%,3.50%,2%,1.50%,23.50%,1.50%,1.50%,21%,26%,1%,16%
TNS Sofres,4–5 Apr 2007,"1,000",–,<0.5%,2.50%,4%,3%,2%,23.50%,1%,1.50%,20%,28%,1.50%,13%
Ipsos,3–5 Apr 2007,"1,208",–,0.50%,2%,4%,2.50%,1.50%,24%,1%,1%,18.50%,31%,1%,13%
Ipsos,2–4 Apr 2007,"1,209",–,0.50%,1.50%,3.50%,2.50%,1.50%,24.50%,1%,1%,18.50%,31.50%,1%,13%
BVA,2–3 Apr 2007,860,–,0.50%,3%,4%,2.50%,2%,24%,1%,1%,18%,29.50%,2.50%,12%
Ipsos,31 Mar–3 Apr 2007,"1,272",–,0.50%,1%,3.50%,2.50%,1%,25%,1.50%,1%,18.50%,31.50%,1%,13%
Ifop,31 Mar–2 Apr 2007,846,–,0.50%,2%,5%,2%,2%,23%,1%,1.50%,20%,27.50%,1.50%,14%
Ipsos,30 Mar–2 Apr 2007,"1,344",–,0.50%,1.50%,4%,2%,1%,24%,1%,1%,19%,31.50%,1%,13.50%
LH2,30–31 Mar 2007,"1,003",–,<0.5%,1%,5%,3%,2%,26%,1%,1%,18%,29%,1%,13%
Ipsos,29–31 Mar 2007,"1,341",–,0.50%,1.50%,4.50%,2%,1%,24.50%,1%,1%,19%,31%,1%,13%
Ipsos,28–30 Mar 2007,"1,277",–,0.50%,1.50%,4.50%,2.50%,1.50%,24%,0.50%,1.50%,18.50%,32%,1%,12%
CSA,28–29 Mar 2007,922,–,0.50%,2%,3%,4%,2%,24.50%,1%,1%,19.50%,26%,1.50%,15%
TNS Sofres,28–29 Mar 2007,"1,000",–,0.50%,1%,3.50%,2.50%,2.50%,27%,1%,1%,18%,30%,1%,12%
Ipsos,27–29 Mar 2007,"1,104",–,0.50%,2%,4%,2.50%,1.50%,25%,0.50%,1.50%,17.50%,31.50%,1.50%,12%
Ifop-Fiducial,26–28 Mar 2007,954,–,0.50%,2%,3.50%,2.50%,1.50%,23%,1%,1%,21%,28%,2.50%,13.50%
Ipsos,26–28 Mar 2007,"1,006",–,0.50%,2%,4.50%,2%,1.50%,24.50%,0.50%,1.50%,18%,31%,1.50%,12.50%
BVA,26–27 Mar 2007,873,–,0.50%,3%,4.50%,2%,1%,27%,1%,<0.5%,20%,28%,1%,12%
Ipsos,24–27 Mar 2007,"1,110",–,0.50%,2%,3.50%,2%,2%,25%,0.50%,1%,18.50%,30.50%,1.50%,13%
Ipsos,23–26 Mar 2007,"1,247",–,0.50%,1.50%,3.50%,2.50%,1.50%,25.50%,0.50%,1%,18.50%,31%,1%,13%
LH2,23–24 Mar 2007,"1,004",–,0.50%,2.50%,3%,2%,1.50%,27%,1%,2%,20%,27%,1.50%,12%
Ipsos,22–24 Mar 2007,"1,245",–,0.50%,2%,3%,2%,1.50%,25.50%,1%,1%,19%,30%,1%,13.50%
Ifop,22–23 Mar 2007,872,–,0.50%,2%,3.50%,2%,1%,25%,1%,0.50%,22%,26%,2%,14.50%
Ipsos,21–23 Mar 2007,"1,143",–,0.50%,2%,3.50%,2%,1.50%,25%,1%,0.50%,18.50%,31%,1.50%,13%
CSA,21–22 Mar 2007,894,–,0.50%,2%,3.50%,3%,2%,26%,1%,0.50%,21%,26%,1.50%,13%
TNS Sofres,21–22 Mar 2007,"1,000",–,<0.5%,2%,3.50%,2%,2.50%,26.50%,1%,1%,21.50%,28%,1%,11%
Ipsos,20–22 Mar 2007,"1,006",–,0.50%,1%,3.50%,1.50%,2%,24.50%,1%,0.50%,19%,31.50%,1.50%,13.50%
Ipsos,19–21 Mar 2007,"1,009",–,0.50%,1%,3.50%,1.50%,2.50%,25.50%,1%,0.50%,18.50%,30.50%,2%,13%
BVA,19–20 Mar 2007,854,–,0.50%,2%,4%,4%,2%,24%,1%,0.50%,17%,31%,1%,13%
Ipsos,17–20 Mar 2007,"1,069",–,0.50%,1.50%,4%,1%,2%,25.50%,1%,0.50%,20.50%,29.50%,1.50%,12.50%
