pollName,dates,sampleSize,Laguiller,Gluckstein,Besancenot,Hue,Jospin,Taubira,Chevènement,Dieudonné,Mamère,Waechter,Larrouturou,Lepage,Lalonde,Bayrou,Chirac,Madelin,Boutin,Pasqua,Saint-Josse,Mégret,Le Pen
CSA,29–30 Jan 2002,"1,001",6%,–,0.50%,5%,22%,1%,14%,–,7%,–,–,0.50%,–,4%,23%,5%,–,1.50%,–,1.50%,9%
Ipsos,25–26 Jan 2002,962,7%,–,0.50%,5%,22%,0.50%,12%,–,5%,–,–,1%,–,4%,26%,5%,0.50%,1%,–,1.50%,9%
Ifop,17–18 Jan 2002,943,6%,<1%,<1%,5%,20%,<1%,11%,–,8%,<1%,–,1%,<1%,5%,24%,5%,1%,3%,–,1%,9%
CSA,17-Jan-02,"1,006",6%,–,0.50%,4.50%,22%,0.50%,11%,–,7.50%,–,–,0.50%,–,4%,27%,5%,–,1%,–,0.50%,10%
Ipsos,11–12 Jan 2002,947,6%,–,0.50%,6%,24%,0.50%,10%,–,5%,–,–,0.50%,–,5%,28%,4%,0.50%,1%,–,1%,8%
Sofres,11–12 Jan 2002,"1,000",7%,–,0.50%,6%,22%,–,9%,–,6%,–,–,–,–,4%,27%,4%,–,3.50%,–,2%,9%
Ifop,10–11 Jan 2002,963,6%,–,<1%,5%,21%,<1%,11%,–,8%,<1%,–,1%,<1%,4%,27%,3%,1%,3%,–,1%,8%
Sofres,5-Jan-02,800,7%,–,0%,6%,24%,–,9%,–,6%,–,–,–,–,3%,27%,4%,–,3%,–,2%,9%
Ipsos,4–5 Jan 2002,955,6%,–,0.50%,6%,23%,0.50%,11%,–,5%,–,–,0.50%,–,4%,28%,3%,0.50%,2%,–,1%,9%
Louis Harris,4–5 Jan 2002,"1,003",7%,–,<0.5%,5%,24%,–,8%,–,7%,–,–,1%,–,3%,27%,4%,<0.5%,3%,–,2%,9%
BVA,2–5 Jan 2002,735,7%,–,0.50%,6%,24%,0.50%,11%,–,7%,–,–,0.50%,–,5%,21%,4%,0.50%,2%,–,1%,10%
CSA,3–4 Jan 2002,"1,005",5%,–,1%,5.50%,21.50%,0.50%,10.50%,–,6%,–,–,–,–,4%,28%,5%,–,1%,–,2%,10%
Sofres,14–15 Dec 2001,"1,000",7%,–,0.50%,6.50%,22%,–,9%,–,7%,–,–,–,–,3%,27%,5%,–,3%,–,1.50%,8.50%
CSA,11–12 Dec 2001,"1,000",7%,–,0.50%,5.50%,22%,–,10%,–,8%,–,–,–,–,5%,25%,5%,–,2%,–,1%,9%
Ipsos,7–8 Dec 2001,840,6%,–,0.50%,6%,22%,0.50%,12%,–,6%,–,–,1%,–,4%,27%,3%,0.50%,2%,–,1.50%,8%
BVA,29 Nov–1 Dec 2001,680,5%,–,0.50%,5%,24%,–,8%,–,9%,–,–,1%,–,4%,23%,4%,0.50%,4%,–,1%,11%
Ifop,29–30 Nov 2001,943,7%,–,<1%,4%,22%,–,10%,–,8%,<1%,–,1%,–,5%,26%,5%,<1%,4%,–,1%,6%
Sofres,22–23 Nov 2001,"1,000",7%,–,–,6.50%,22%,–,8%,–,6%,–,–,–,–,4.50%,27%,5%,–,4%,–,1%,9%
CSA,14–15 Nov 2001,"1,006",6%,–,1%,5%,23%,–,10%,–,8%,–,–,–,–,4.50%,25%,4.50%,–,3%,–,1%,9%
Ipsos,9–10 Nov 2001,927,5%,–,0.50%,6%,22%,–,11%,–,7%,–,–,0.50%,–,4%,27%,4%,0.50%,3%,–,1.50%,8%
BVA,25–27 Oct 2001,685,7%,–,0.50%,5%,22%,–,12%,–,6%,–,–,1%,–,4%,24%,5%,1%,3%,–,0.50%,9%
Ipsos,19–20 Oct 2001,829,5%,–,0.50%,5%,23%,–,12%,–,6%,–,–,0.50%,–,5%,26%,5%,0.50%,4%,–,1.50%,6%
Sofres,19–20 Oct 2001,"1,000",6%,–,–,6%,23%,–,8.50%,–,5.50%,–,–,–,–,5%,27%,5%,–,3%,–,–,11%
CSA,17–18 Oct 2001,"1,005",7%,–,0.50%,5.50%,23%,–,9%,–,7%,–,–,–,–,5%,26%,5%,–,3%,–,0.50%,8.50%
