pollName,dates,sampleSize,Abs.,Jospin,Chirac
Ifop,11–12 Oct 2001,761,–,49%,51%
BVA,27–29 Sep 2001,704,–,49%,51%
CSA,11–12 Sep 2001,"1,000",–,47%,53%
Sofres,7–8 Sep 2001,"1,000",–,51%,49%
BVA,30 Aug–1 Sep 2001,634,–,49%,51%
CSA,16–17 Jul 2001,"1,005",–,47%,53%
BVA,5–7 Jul 2001,571,–,52%,48%
Ifop,5–6 Jul 2001,826,–,50%,50%
Sofres,22–23 Jun 2001,"1,000",–,51%,49%
CSA,20–21 Jun 2001,"1,000",–,48%,52%
BVA,14–16 Jun 2001,652,–,49%,51%
Ipsos,8–9 Jun 2001,839,–,48%,52%
CSA,29–30 May 2001,900,–,49%,51%
Sofres,15–16 May 2001,840,–,50%,50%
BVA,10–12 May 2001,614,–,51%,49%
CSA,26–27 Apr 2001,922,–,47%,53%
Ifop,26–27 Apr 2001,831,–,51%,49%
BVA,20–21 Apr 2001,710,–,52%,48%
Sofres,28–29 Mar 2001,"1,000",–,52%,48%
CSA,26-Mar-01,"1,000",–,49%,51%
BVA,22–24 Mar 2001,632,–,52%,48%
BVA,22–24 Feb 2001,628,–,52%,48%
Ifop,15–16 Feb 2001,805,–,51%,49%
Ipsos,9–10 Feb 2001,955,–,51%,49%
Sofres,2–3 Feb 2001,"1,000",–,53%,47%
BVA,1–3 Feb 2001,654,–,54%,46%
BVA,11–13 Jan 2001,617,–,51%,49%
CSA,5–6 Jan 2001,"1,000",–,54%,46%
Ipsos,5-Dec-00,818,–,49%,51%
BVA,30 Nov–2 Dec 2000,945,–,51%,49%
Ifop,30 Nov–1 Dec 2000,947,–,51%,49%
CSA,14–15 Nov 2000,"1,000",–,49%,51%
BVA,8–10 Nov 2000,597,–,53%,47%
Sofres,11–13 Oct 2000,"1,000",–,52%,48%
BVA,6–8 Oct 2000,576,–,49%,51%
Ipsos,29–30 Sep 2000,939,–,51%,49%
Ifop,25-Sep-00,804,–,49%,51%
BVA,7–9 Sep 2000,934,–,45%,55%
CSA,6–7 Sep 2000,"1,000",–,48%,52%
Ifop,1–4 Sep 2000,982,–,49%,51%
BVA,20–22 Jul 2000,658,–,49%,51%
Ifop,6–7 Jul 2000,947,–,47%,53%
CSA,28–29 Jun 2000,"1,000",–,51%,49%
BVA,15–17 Jun 2000,616,–,50%,50%
BVA,11–13 May 2000,680,–,47%,53%
CSA,10–13 May 2000,"1,000",–,47%,53%
Ipsos,28–29 Apr 2000,825,–,48%,52%
Ifop,27–28 Apr 2000,952,–,47%,53%
BVA,13–15 Apr 2000,523,–,49%,51%
BVA,16–18 Mar 2000,984,–,50.50%,49.50%
Ipsos,10–11 Mar 2000,920,–,47%,53%
CSA,28–29 Feb 2000,"1,000",–,48%,52%
BVA,17–19 Feb 2000,560,–,51%,49%
BVA,13–15 Jan 2000,545,–,51%,49%
Ifop,6–7 Jan 2000,943,–,51%,49%
CSA,4–5 Jan 2000,"1,000",–,52%,48%
Sofres,27–29 Dec 1999,995,–,53%,47%
BVA,9–11 Dec 1999,573,–,53%,47%
BVA,18–20 Nov 1999,926,–,51%,49%
CSA,3–4 Nov 1999,"1,000",–,52%,48%
BVA,14–16 Oct 1999,977,–,51%,49%
BVA,16–18 Sep 1999,671,–,52%,48%
CSA,1–2 Sep 1999,"1,000",–,50%,50%
BVA,15–17 Jul 1999,574,–,48%,52%
CSA,1–2 Jul 1999,"1,004",–,51%,49%
CSA,6–7 May 1999,"1,002",–,46%,54%
Ifop,29–30 Apr 1999,953,–,50%,50%
CSA,5–6 Mar 1999,"1,003",–,50%,50%
Ifop,4-Jan-99,804,–,47%,53%
CSA,18–19 Dec 1998,"1,006",–,49%,51%
BVA,10–13 Dec 1998,564,–,49%,51%
Ifop,4–5 Dec 1998,957,–,47%,53%
CSA,23–24 Oct 1998,"1,003",–,50%,50%
CSA,21–22 Aug 1998,"1,003",–,51%,49%
Ifop,3–4 Apr 1998,953,–,51%,49%
BVA,5–6 Dec 1997,964,–,56%,44%
Ifop,16–17 Oct 1997,950,–,53%,47%
CSA,18-Aug-97,"1,000",–,51%,49%
CSA,17–19 Apr 1996,"1,000",–,49%,51%
BVA,26–27 Apr 1996,953,–,53%,47%
