year,department,percentage,bloc,votes,election_type
2021,Bouches du Rhone,0.0102,Gauche radicale et extreme gauche,14105,regional
2021,Bouches du Rhone,0.6910000000000001,Abstention,295654.715,regional
2021,Calvados,0.0355,Centre,17797,regional
2021,Calvados,0.1391,Droite,69725,regional
2021,Calvados,0.0565,Droite radicale et extreme droite,28318,regional
2021,Calvados,0.0692,Gauche,34665,regional
2021,Calvados,0.029900000000000003,Gauche radicale et extreme gauche,15014,regional
2021,Calvados,0.6698,Abstention,110864.6262,regional
2021,Cantal,0.0013,Autre,151,regional
2021,Cantal,0.019299999999999998,Centre,2209,regional
2021,Cantal,0.2664,Droite,30546,regional
2021,Cantal,0.0219,Droite radicale et extreme droite,2513,regional
2021,Cantal,0.028300000000000002,Ecologisme,3248,regional
2021,Cantal,0.0429,Gauche,4921,regional
2021,Cantal,0.023,Gauche radicale et extreme gauche,2627,regional
2021,Cantal,0.5969,Abstention,27585.7335,regional
2021,Charente,0.09179999999999999,Centre,23339,regional
2021,Charente,0.0481,Droite,12219,regional
2021,Charente,0.061500000000000006,Droite radicale et extreme droite,15617,regional
2021,Charente,0.0861,Gauche,21877,regional
2021,Charente,0.026600000000000002,Gauche radicale et extreme gauche,6769,regional
2021,Charente,0.6859,Abstention,54749.2239,regional
2021,Charente Maritime,0.09050000000000001,Centre,45464,regional
2021,Charente Maritime,0.062200000000000005,Droite,31260,regional
2021,Charente Maritime,0.0701,Droite radicale et extreme droite,35210,regional
2021,Charente Maritime,0.0746,Gauche,37496,regional
2021,Charente Maritime,0.024,Gauche radicale et extreme gauche,12028,regional
2021,Charente Maritime,0.6786,Abstention,109565.3988,regional
2021,Cher,0.0412,Centre,9213,regional
2021,Cher,0.0638,Droite,14288,regional
2021,Cher,0.0745,Droite radicale et extreme droite,16672,regional
2021,Cher,0.03899999999999999,Ecologisme,8728,regional
2021,Cher,0.08439999999999999,Gauche,18901,regional
2021,Cher,0.0097,Gauche radicale et extreme gauche,2179,regional
2021,Cher,0.6874,Abstention,48104.9394,regional
2021,Correze,0.07050000000000001,Centre,12915,regional
2021,Correze,0.1309,Droite,24008,regional
2021,Correze,0.0592,Droite radicale et extreme droite,10858,regional
2021,Correze,0.1051,Gauche,19279,regional
2021,Correze,0.027800000000000002,Gauche radicale et extreme gauche,5102,regional
2021,Correze,0.6065,Abstention,43766.253000000004,regional
2021,Corse du Sud,0.0374,Centre,4201,regional
2021,Corse du Sud,0.16579999999999998,Droite,18607,regional
2021,Corse du Sud,0.0024,Droite radicale et extreme droite,267,regional
2021,Corse du Sud,0.019299999999999998,Ecologisme,2168,regional
2021,Corse du Sud,0.10619999999999999,Gauche,11916,regional
2021,Corse du Sud,0.2234,Gauche radicale et extreme gauche,25065,regional
2021,Corse du Sud,0.4455,Abstention,27720.792,regional
2021,Cote d'Or,0.044800000000000006,Centre,16052,regional
2021,Cote d'Or,0.07429999999999999,Droite,26606,regional
2021,Cote d'Or,0.07629999999999999,Droite radicale et extreme droite,27353,regional
2021,Cote d'Or,0.0412,Ecologisme,14749,regional
2021,Cote d'Or,0.1017,Gauche,36412,regional
2021,Cote d'Or,0.0086,Gauche radicale et extreme gauche,3064,regional
2021,Cote d'Or,0.6531,Abstention,81138.5316,regional
2021,Cotes d'Armor,0.0018,Autre,838,regional
2021,Cotes d'Armor,0.0729,Centre,33588,regional
2021,Cotes d'Armor,0.0617,Droite,28431,regional
2021,Cotes d'Armor,0.0575,Droite radicale et extreme droite,26518,regional
2021,Cotes d'Armor,0.0688,Ecologisme,31703,regional
2021,Cotes d'Armor,0.0776,Gauche,35790,regional
2021,Cotes d'Armor,0.0315,Gauche radicale et extreme gauche,14542,regional
2021,Cotes d'Armor,0.6282,Abstention,107679.762,regional
2021,Creuse,0.07339999999999999,Centre,6662,regional
2021,Creuse,0.09820000000000001,Droite,8915,regional
2021,Creuse,0.0572,Droite radicale et extreme droite,5188,regional
2021,Creuse,0.10550000000000001,Gauche,9572,regional
2021,Creuse,0.0333,Gauche radicale et extreme gauche,3022,regional
2021,Creuse,0.6324,Abstention,21096.2316,regional
2021,Deux Sevres,0.0971,Centre,26151,regional
2021,Deux Sevres,0.049,Droite,13195,regional
2021,Deux Sevres,0.050300000000000004,Droite radicale et extreme droite,13552,regional
2021,Deux Sevres,0.0762,Gauche,20508,regional
2021,Deux Sevres,0.0282,Gauche radicale et extreme gauche,7609,regional
2021,Deux Sevres,0.6992,Abstention,56645.688,regional
2021,Dordogne,0.0784,Centre,24424,regional
2021,Dordogne,0.0716,Droite,22339,regional
2021,Dordogne,0.07429999999999999,Droite radicale et extreme droite,23170,regional
2021,Dordogne,0.12710000000000002,Gauche,39642,regional
2021,Dordogne,0.0313,Gauche radicale et extreme gauche,9754,regional
2021,Dordogne,0.6173,Abstention,73661.7917,regional
2021,Doubs,0.029900000000000003,Centre,10850,regional
2021,Doubs,0.06280000000000001,Droite,22783,regional
2021,Doubs,0.0733,Droite radicale et extreme droite,26585,regional
2021,Doubs,0.0331,Ecologisme,12012,regional
2021,Doubs,0.1197,Gauche,43414,regional
2021,Doubs,0.0073,Gauche radicale et extreme gauche,2646,regional
2021,Doubs,0.6738999999999999,Abstention,79715.631,regional
2021,Drome,0.0034000000000000002,Autre,1266,regional
2021,Drome,0.0311,Centre,11616,regional
2021,Drome,0.1268,Droite,47427,regional
2021,Drome,0.0492,Droite radicale et extreme droite,18405,regional
2021,Drome,0.053200000000000004,Ecologisme,19901,regional
2021,Drome,0.0379,Gauche,14156,regional
2021,Drome,0.026999999999999996,Gauche radicale et extreme gauche,10071,regional
2021,Drome,0.6714,Abstention,82476.1188,regional
2021,Essonne,0.0018,Autre,1457,regional
2021,Essonne,0.0349,Centre,27770,regional
2021,Essonne,0.099,Droite,78793,regional
2021,Essonne,0.0493,Droite radicale et extreme droite,39210,regional
2021,Essonne,0.043,Ecologisme,34189,regional
2021,Essonne,0.0332,Gauche,26440,regional
2021,Essonne,0.0321,Gauche radicale et extreme gauche,25605,regional
2021,Essonne,0.7067,Abstention,164989.0088,regional
2021,Eure,0.036599999999999994,Centre,15676,regional
2021,Eure,0.1198,Droite,51243,regional
2021,Eure,0.0785,Droite radicale et extreme droite,33588,regional
2021,Eure,0.049,Gauche,20968,regional
2021,Eure,0.0323,Gauche radicale et extreme gauche,13791,regional
2021,Eure,0.6838,Abstention,92494.8908,regional
2021,Eure et Loir,0.0542,Centre,16337,regional
2021,Eure et Loir,0.0537,Droite,16177,regional
2021,Eure et Loir,0.07730000000000001,Droite radicale et extreme droite,23303,regional
2021,Eure et Loir,0.0458,Ecologisme,13813,regional
2021,Eure et Loir,0.065,Gauche,19574,regional
2021,Eure et Loir,0.0077,Gauche radicale et extreme gauche,2331,regional
2021,Eure et Loir,0.6962999999999999,Abstention,63735.820499999994,regional
2021,Finistere,0.0019,Autre,1320,regional
2021,Finistere,0.0547,Centre,37896,regional
2021,Finistere,0.053099999999999994,Droite,36776,regional
2021,Finistere,0.0525,Droite radicale et extreme droite,36341,regional
2021,Finistere,0.0735,Ecologisme,50886,regional
2021,Finistere,0.0755,Gauche,52287,regional
2021,Finistere,0.028699999999999996,Gauche radicale et extreme gauche,19932,regional
2021,Finistere,0.6601,Abstention,155412.6238,regional
2021,Gard,0.0015,Autre,799,regional
2021,Gard,0.0254,Centre,13805,regional
2021,Gard,0.0379,Droite,20580,regional
2021,Gard,0.1016,Droite radicale et extreme droite,55218,regional
2021,Gard,0.0256,Ecologisme,13928,regional
2021,Gard,0.10710000000000001,Gauche,58201,regional
2021,Gard,0.0209,Gauche radicale et extreme gauche,11374,regional
2021,Gard,0.6799999999999999,Abstention,118255.4,regional
2021,Gers,6e-4,Autre,89,regional
2021,Gers,0.044199999999999996,Centre,6425,regional
2021,Gers,0.058600000000000006,Droite,8517,regional
2021,Gers,0.07150000000000001,Droite radicale et extreme droite,10390,regional
2021,Gers,0.0348,Ecologisme,5059,regional
2021,Gers,0.1889,Gauche,27443,regional
2021,Gers,0.027000000000000003,Gauche radicale et extreme gauche,3918,regional
2021,Gers,0.5744,Abstention,35521.4704,regional
2021,Gironde,0.08070000000000001,Centre,89939,regional
2021,Gironde,0.059000000000000004,Droite,65747,regional
2021,Gironde,0.062,Droite radicale et extreme droite,69084,regional
2021,Gironde,0.1003,Gauche,111801,regional
2021,Gironde,0.0222,Gauche radicale et extreme gauche,24686,regional
2021,Gironde,0.6758,Abstention,244137.48059999998,regional
2021,Guadeloupe,0.0158,Autre,4994,regional
2021,Guadeloupe,0.1425,Centre,45110,regional
2021,Guadeloupe,0.0106,Droite,3370,regional
2021,Guadeloupe,0.0116,Droite radicale et extreme droite,3663,regional
2021,Guadeloupe,0.0736,Gauche,23314,regional
2021,Guadeloupe,0.0348,Gauche radicale et extreme gauche,11034,regional
2021,Guadeloupe,0.7111000000000001,Abstention,65054.98350000001,regional
2021,Guyane,0.1475,Droite,15020,regional
2021,Guyane,0.19,Gauche,19341,regional
2021,Guyane,0.6625,Abstention,22764.1625,regional
2021,Haut Rhin,0.0906,Centre,47804,regional
2021,Haut Rhin,0.0697,Droite,36735,regional
2021,Haut Rhin,0.06180000000000001,Droite radicale et extreme droite,32628,regional
2021,Haut Rhin,0.0446,Gauche,23535,regional
2021,Haut Rhin,0.004,Gauche radicale et extreme gauche,2113,regional
2021,Haut Rhin,0.7293000000000001,Abstention,104154.9795,regional
2021,Haute Corse,0.0294,Centre,3756,regional
2021,Haute Corse,0.1162,Droite,14825,regional
2021,Haute Corse,0.0040999999999999995,Droite radicale et extreme droite,524,regional
2021,Haute Corse,0.0225,Ecologisme,2871,regional
2021,Haute Corse,0.08810000000000001,Gauche,11234,regional
2021,Haute Corse,0.30579999999999996,Gauche radicale et extreme gauche,39023,regional
2021,Haute Corse,0.43390000000000006,Abstention,31341.898700000005,regional
2021,Haute Garonne,8e-4,Autre,701,regional
2021,Haute Garonne,0.0461,Centre,41395,regional
2021,Haute Garonne,0.0358,Droite,32153,regional
2021,Haute Garonne,0.0594,Droite radicale et extreme droite,53263,regional
2021,Haute Garonne,0.0421,Ecologisme,37798,regional
2021,Haute Garonne,0.14880000000000002,Gauche,133513,regional
2021,Haute Garonne,0.0242,Gauche radicale et extreme gauche,21743,regional
2021,Haute Garonne,0.6428,Abstention,206059.8248,regional
2021,Haute Loire,0.0018,Autre,318,regional
2021,Haute Loire,0.018799999999999997,Centre,3362,regional
2021,Haute Loire,0.267,Droite,47647,regional
2021,Haute Loire,0.023799999999999998,Droite radicale et extreme droite,4243,regional
2021,Haute Loire,0.0352,Ecologisme,6274,regional
2021,Haute Loire,0.0274,Gauche,4887,regional
2021,Haute Loire,0.0204,Gauche radicale et extreme gauche,3637,regional
2021,Haute Loire,0.6055999999999999,Abstention,42614.860799999995,regional
2021,Haute Marne,0.024499999999999997,Centre,3184,regional
2021,Haute Marne,0.11539999999999999,Droite,15007,regional
2021,Haute Marne,0.1142,Droite radicale et extreme droite,14840,regional
2021,Haute Marne,0.0653,Gauche,8494,regional
2021,Haute Marne,0.013300000000000001,Gauche radicale et extreme gauche,1734,regional
2021,Haute Marne,0.6673,Abstention,28866.7307,regional
2021,Haute Saone,0.037000000000000005,Centre,6535,regional
2021,Haute Saone,0.07490000000000001,Droite,13226,regional
2021,Haute Saone,0.10189999999999999,Droite radicale et extreme droite,18011,regional
2021,Haute Saone,0.0297,Ecologisme,5240,regional
2021,Haute Saone,0.1231,Gauche,21736,regional
2021,Haute Saone,0.011399999999999999,Gauche radicale et extreme gauche,2021,regional
2021,Haute Saone,0.622,Abstention,41530.318,regional
2021,Haute Savoie,0.0016,Autre,859,regional
2021,Haute Savoie,0.0311,Centre,16950,regional
2021,Haute Savoie,0.1231,Droite,67001,regional
2021,Haute Savoie,0.0356,Droite radicale et extreme droite,19379,regional
2021,Haute Savoie,0.0512,Ecologisme,27853,regional
2021,Haute Savoie,0.024,Gauche,13054,regional
2021,Haute Savoie,0.0127,Gauche radicale et extreme gauche,6927,regional
2021,Haute Savoie,0.7207,Abstention,109562.9761,regional
2021,Haute Vienne,0.0768,Centre,20002,regional
2021,Haute Vienne,0.0689,Droite,17928,regional
2021,Haute Vienne,0.0622,Droite radicale et extreme droite,16184,regional
2021,Haute Vienne,0.1105,Gauche,28760,regional
2021,Haute Vienne,0.0305,Gauche radicale et extreme gauche,7932,regional
2021,Haute Vienne,0.6511,Abstention,59123.7866,regional
2021,Hautes Alpes,5e-4,Autre,52,regional
2021,Hautes Alpes,0.1496,Droite,16687,regional
2021,Hautes Alpes,0.1125,Droite radicale et extreme droite,12548,regional
2021,Hautes Alpes,0.11059999999999999,Ecologisme,12329,regional
2021,Hautes Alpes,0.0087,Gauche,972,regional
2021,Hautes Alpes,0.014199999999999999,Gauche radicale et extreme gauche,1582,regional
2021,Hautes Alpes,0.6039,Abstention,26674.263,regional
2021,Hautes Pyrenees,5e-4,Autre,82,regional
2021,Hautes Pyrenees,0.043100000000000006,Centre,7597,regional
2021,Hautes Pyrenees,0.0362,Droite,6385,regional
2021,Hautes Pyrenees,0.0594,Droite radicale et extreme droite,10466,regional
2021,Hautes Pyrenees,0.030899999999999997,Ecologisme,5447,regional
2021,Hautes Pyrenees,0.1769,Gauche,31186,regional
2021,Hautes Pyrenees,0.0285,Gauche radicale et extreme gauche,5028,regional
2021,Hautes Pyrenees,0.6245,Abstention,41336.279500000004,regional
2021,Hauts de Seine,0.0015,Autre,1431,regional
2021,Hauts de Seine,0.0493,Centre,48243,regional
2021,Hauts de Seine,0.1459,Droite,142771,regional
2021,Hauts de Seine,0.0322,Droite radicale et extreme droite,31505,regional
2021,Hauts de Seine,0.050600000000000006,Ecologisme,49556,regional
2021,Hauts de Seine,0.0315,Gauche,30810,regional
2021,Hauts de Seine,0.031,Gauche radicale et extreme gauche,30290,regional
2021,Hauts de Seine,0.6579999999999999,Abstention,220170.74799999996,regional
2021,Herault,0.0022,Autre,1815,regional
2021,Herault,0.024300000000000002,Centre,19923,regional
2021,Herault,0.0333,Droite,27302,regional
2021,Herault,0.0913,Droite radicale et extreme droite,74861,regional
2021,Herault,0.0288,Ecologisme,23618,regional
2021,Herault,0.1198,Gauche,98200,regional
2021,Herault,0.0216,Gauche radicale et extreme gauche,17734,regional
2021,Herault,0.6787,Abstention,178805.55109999998,regional
2021,Ille et Vilaine,0.0012,Autre,931,regional
2021,Ille et Vilaine,0.0525,Centre,39292,regional
2021,Ille et Vilaine,0.0601,Droite,44916,regional
2021,Ille et Vilaine,0.046900000000000004,Droite radicale et extreme droite,35069,regional
2021,Ille et Vilaine,0.081,Ecologisme,60523,regional
2021,Ille et Vilaine,0.0664,Gauche,49666,regional
2021,Ille et Vilaine,0.024900000000000002,Gauche radicale et extreme gauche,18639,regional
2021,Ille et Vilaine,0.667,Abstention,166107.01200000002,regional
2021,Indre,0.0371,Centre,6151,regional
2021,Indre,0.0969,Droite,16068,regional
2021,Indre,0.0722,Droite radicale et extreme droite,11979,regional
2021,Indre,0.042300000000000004,Ecologisme,7027,regional
2021,Indre,0.0803,Gauche,13319,regional
2021,Indre,0.0098,Gauche radicale et extreme gauche,1629,regional
2021,Indre,0.6614,Abstention,37152.8222,regional
2021,Indre et Loire,0.0478,Centre,20678,regional
2021,Indre et Loire,0.0559,Droite,24167,regional
2021,Indre et Loire,0.0546,Droite radicale et extreme droite,23592,regional
2021,Indre et Loire,0.0538,Ecologisme,23248,regional
2021,Indre et Loire,0.0762,Gauche,32936,regional
2021,Indre et Loire,0.0073,Gauche radicale et extreme gauche,3177,regional
2021,Indre et Loire,0.7043999999999999,Abstention,90020.91119999999,regional
2021,Isere,0.0022,Autre,1928,regional
2021,Isere,0.035699999999999996,Centre,30892,regional
2021,Isere,0.1085,Droite,93934,regional
2021,Isere,0.0444,Droite radicale et extreme droite,38476,regional
2021,Isere,0.055099999999999996,Ecologisme,47753,regional
2021,Isere,0.0401,Gauche,34725,regional
2021,Isere,0.0248,Gauche radicale et extreme gauche,21475,regional
2021,Isere,0.6892,Abstention,185520.9236,regional
2021,Jura,0.029300000000000003,Centre,5479,regional
2021,Jura,0.07440000000000001,Droite,13928,regional
2021,Jura,0.0694,Droite radicale et extreme droite,12985,regional
2021,Jura,0.0405,Ecologisme,7575,regional
2021,Jura,0.1144,Gauche,21409,regional
2021,Jura,0.0095,Gauche radicale et extreme gauche,1777,regional
2021,Jura,0.6625,Abstention,41838.862499999996,regional
2021,La Reunion,0.1173,Droite,78411,regional
2021,La Reunion,0.006,Droite radicale et extreme droite,4012,regional
2021,La Reunion,0.0411,Ecologisme,27511,regional
2021,La Reunion,0.177,Gauche,118358,regional
2021,La Reunion,0.0039000000000000003,Gauche radicale et extreme gauche,2627,regional
2021,La Reunion,0.6547000000000001,Abstention,151182.6693,regional
2021,Landes,0.1149,Centre,36615,regional
2021,Landes,0.0637,Droite,20326,regional
2021,Landes,0.059500000000000004,Droite radicale et extreme droite,18950,regional
2021,Landes,0.1267,Gauche,40376,regional
2021,Landes,0.020499999999999997,Gauche radicale et extreme gauche,6538,regional
2021,Landes,0.6147,Abstention,75488.2335,regional
2021,Loir et Cher,0.0815,Centre,19757,regional
2021,Loir et Cher,0.0526,Droite,12757,regional
2021,Loir et Cher,0.0753,Droite radicale et extreme droite,18259,regional
2021,Loir et Cher,0.0492,Ecologisme,11924,regional
2021,Loir et Cher,0.0727,Gauche,17631,regional
2021,Loir et Cher,0.0086,Gauche radicale et extreme gauche,2076,regional
2021,Loir et Cher,0.6600999999999999,Abstention,54394.880399999995,regional
2021,Loire,0.0021,Autre,1057,regional
2021,Loire,0.0266,Centre,13423,regional
2021,Loire,0.1321,Droite,66633,regional
2021,Loire,0.0404,Droite radicale et extreme droite,20371,regional
2021,Loire,0.0346,Ecologisme,17462,regional
2021,Loire,0.0308,Gauche,15542,regional
2021,Loire,0.0254,Gauche radicale et extreme gauche,12778,regional
2021,Loire,0.708,Abstention,104264.328,regional
2021,Loire Atlantique,0.0026,Autre,2674,regional
2021,Loire Atlantique,0.039,Centre,40180,regional
2021,Loire Atlantique,0.0875,Droite,90186,regional
2021,Loire Atlantique,0.04,Droite radicale et extreme droite,41193,regional
2021,Loire Atlantique,0.0679,Ecologisme,69948,regional
2021,Loire Atlantique,0.0538,Gauche,55440,regional
2021,Loire Atlantique,0.008100000000000001,Gauche radicale et extreme gauche,8396,regional
2021,Loire Atlantique,0.7011000000000001,Abstention,215950.71870000003,regional
2021,Loiret,0.0501,Centre,22576,regional
2021,Loiret,0.052300000000000006,Droite,23574,regional
2021,Loiret,0.0725,Droite radicale et extreme droite,32684,regional
2021,Loiret,0.0447,Ecologisme,20121,regional
2021,Loiret,0.0861,Gauche,38775,regional
2021,Loiret,0.006999999999999999,Gauche radicale et extreme gauche,3163,regional
2021,Loiret,0.6873,Abstention,96835.7589,regional
2021,Lot,8e-4,Autre,111,regional
2021,Lot,0.0287,Centre,3927,regional
2021,Lot,0.1469,Droite,20084,regional
2021,Lot,0.0403,Droite radicale et extreme droite,5508,regional
2021,Lot,0.0337,Ecologisme,4609,regional
2021,Lot,0.1423,Gauche,19454,regional
2021,Lot,0.0288,Gauche radicale et extreme gauche,3937,regional
2021,Lot,0.5785,Abstention,33338.955,regional
2021,Lot et Garonne,0.08199999999999999,Centre,19562,regional
2021,Lot et Garonne,0.08109999999999999,Droite,19346,regional
2021,Lot et Garonne,0.0877,Droite radicale et extreme droite,20914,regional
2021,Lot et Garonne,0.09269999999999999,Gauche,22126,regional
2021,Lot et Garonne,0.0263,Gauche radicale et extreme gauche,6263,regional
2021,Lot et Garonne,0.6302000000000001,Abstention,55590.57220000001,regional
2021,Lozere,6e-4,Autre,36,regional
2021,Lozere,0.0317,Centre,1884,regional
2021,Lozere,0.07719999999999999,Droite,4586,regional
2021,Lozere,0.0621,Droite radicale et extreme droite,3687,regional
2021,Lozere,0.0317,Ecologisme,1881,regional
2021,Lozere,0.2242,Gauche,13310,regional
2021,Lozere,0.028399999999999998,Gauche radicale et extreme gauche,1683,regional
2021,Lozere,0.5441,Abstention,14727.154700000001,regional
2021,Maine et Loire,0.001,Autre,567,regional
2021,Maine et Loire,0.0354,Centre,20459,regional
2021,Maine et Loire,0.0983,Droite,56847,regional
2021,Maine et Loire,0.0416,Droite radicale et extreme droite,24071,regional
2021,Maine et Loire,0.06280000000000001,Ecologisme,36332,regional
2021,Maine et Loire,0.0321,Gauche,18559,regional
2021,Maine et Loire,0.0073,Gauche radicale et extreme gauche,4195,regional
2021,Maine et Loire,0.7215,Abstention,116183.145,regional
2021,Manche,0.0361,Centre,13737,regional
2021,Manche,0.1292,Droite,49051,regional
2021,Manche,0.0552,Droite radicale et extreme droite,20978,regional
2021,Manche,0.062,Gauche,23544,regional
2021,Manche,0.0271,Gauche radicale et extreme gauche,10273,regional
2021,Manche,0.6904,Abstention,81179.3032,regional
2021,Marne,0.019,Centre,7150,regional
2021,Marne,0.1097,Droite,41161,regional
2021,Marne,0.0809,Droite radicale et extreme droite,30375,regional
2021,Marne,0.057,Gauche,21383,regional
2021,Marne,0.0079,Gauche radicale et extreme gauche,2973,regional
2021,Marne,0.7255,Abstention,74756.971,regional
2021,Martinique,0.0033,Autre,1018,regional
2021,Martinique,0.022099999999999998,Centre,6780,regional
2021,Martinique,0.0146,Droite,4470,regional
2021,Martinique,0.006999999999999999,Ecologisme,2135,regional
2021,Martinique,0.261,Gauche,79985,regional
2021,Martinique,0.004,Gauche radicale et extreme gauche,1226,regional
2021,Martinique,0.688,Abstention,65782.432,regional
2021,Mayenne,0.0012,Autre,271,regional
2021,Mayenne,0.0225,Centre,5028,regional
2021,Mayenne,0.09449999999999999,Droite,21106,regional
2021,Mayenne,0.039900000000000005,Droite radicale et extreme droite,8910,regional
2021,Mayenne,0.0304,Ecologisme,6790,regional
2021,Mayenne,0.1093,Gauche,24399,regional
2021,Mayenne,0.0055000000000000005,Gauche radicale et extreme gauche,1233,regional
2021,Mayenne,0.6967000000000001,Abstention,47192.367900000005,regional
2021,Meurthe et Moselle,0.025,Centre,12149,regional
2021,Meurthe et Moselle,0.0746,Droite,36328,regional
2021,Meurthe et Moselle,0.08070000000000001,Droite radicale et extreme droite,39265,regional
2021,Meurthe et Moselle,0.0941,Gauche,45854,regional
2021,Meurthe et Moselle,0.0092,Gauche radicale et extreme gauche,4468,regional
2021,Meurthe et Moselle,0.7163999999999999,Abstention,98909.04959999998,regional
2021,Meuse,0.022199999999999998,Centre,2991,regional
